"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.5125,-0.043679,0.11271,9.7379,-0.023341,0.056855,1,0,13.53,11.25,5
9.5962,0.084226,0.13617,9.8185,0.1086,0.080554,1,0.03375,13.53,11.25,5.0338
9.6799,0.21213,0.15962,9.8992,0.24053,0.10425,1,0.0675,13.53,11.25,5.0675
9.6242,0.32271,0.17549,9.8377,0.35414,0.12078,1,0.10125,13.53,11.25,5.1013
9.4186,0.41462,0.18318,9.6231,0.44801,0.1296,1,0.135,13.53,11.25,5.135
9.2129,0.50654,0.19088,9.4085,0.54188,0.13841,1,0.16875,13.53,11.25,5.1687
9.0072,0.59845,0.19857,9.194,0.63575,0.14723,1,0.2025,13.53,11.25,5.2025
8.8016,0.69037,0.20626,8.9794,0.72963,0.15604,1,0.23625,13.53,11.25,5.2362
8.5959,0.78229,0.21396,8.7649,0.8235,0.16485,1,0.27,13.53,11.25,5.27
8.3902,0.8742,0.22165,8.5503,0.91737,0.17367,1,0.30375,13.53,11.25,5.3038
8.1959,0.95361,0.22757,8.3481,0.99841,0.18051,1,0.3375,13.53,11.25,5.3375
8.0665,0.96112,0.2233,8.2168,1.0057,0.17601,1,0.37125,13.53,11.25,5.3713
7.9372,0.96863,0.21903,8.0856,1.013,0.17152,1,0.405,13.53,11.25,5.405
7.8079,0.97614,0.21476,7.9543,1.0203,0.16702,1,0.43875,13.53,11.25,5.4387
7.6785,0.98365,0.21049,7.8231,1.0275,0.16253,1,0.4725,13.53,11.25,5.4725
7.5492,0.99116,0.20622,7.6918,1.0348,0.15803,1,0.50625,13.53,11.25,5.5062
7.4199,0.99867,0.20195,7.5606,1.0421,0.15353,1,0.54,13.53,11.25,5.54
7.2905,1.0062,0.19768,7.4293,1.0494,0.14904,1,0.57375,13.53,11.25,5.5738
7.2076,0.98258,0.20278,7.3466,1.0252,0.1529,1,0.6075,13.53,11.25,5.6075
7.1353,0.9519,0.21001,7.2749,0.99376,0.15867,1,0.64125,13.53,11.25,5.6413
7.063,0.92123,0.21724,7.2033,0.96236,0.16444,1,0.675,13.53,11.25,5.675
6.9907,0.89056,0.22447,7.1316,0.93096,0.17021,1,0.70875,13.53,11.25,5.7087
6.9183,0.85989,0.2317,7.0599,0.89956,0.17598,1,0.7425,13.53,11.25,5.7425
6.846,0.82921,0.23892,6.9882,0.86816,0.18174,1,0.77625,13.53,11.25,5.7762
6.7737,0.79854,0.24615,6.9166,0.83676,0.18751,1,0.81,13.53,11.25,5.81
6.6918,0.76926,0.2557,6.8352,0.80732,0.19545,1,0.84375,13.53,11.25,5.8438
6.5996,0.74148,0.26774,6.7433,0.78001,0.20571,1,0.8775,13.53,11.25,5.8775
6.5074,0.71369,0.27977,6.6514,0.75269,0.21597,1,0.91125,13.53,11.25,5.9113
6.4151,0.68591,0.29181,6.5595,0.72538,0.22623,1,0.945,13.53,11.25,5.945
6.3229,0.65813,0.30385,6.4676,0.69807,0.2365,1,0.97875,13.53,11.25,5.9788
6.2307,0.63035,0.31589,6.3757,0.67075,0.24676,1,1.0125,13.53,11.25,6.0125
6.1385,0.60256,0.32792,6.2838,0.64344,0.25702,1,1.0462,13.53,11.25,6.0462
6.0461,0.57593,0.33934,6.1921,0.61726,0.2666,1,1.08,13.53,11.25,6.08
5.9526,0.5559,0.3472,6.101,0.5976,0.27223,1,1.1137,13.53,11.25,6.1137
5.8591,0.53587,0.35506,6.01,0.57795,0.27786,1,1.1475,13.53,11.25,6.1475
5.7656,0.51584,0.36292,5.919,0.55829,0.28349,1,1.1813,13.53,11.25,6.1813
5.6722,0.49582,0.37078,5.8279,0.53864,0.28912,1,1.215,13.53,11.25,6.215
5.5787,0.47579,0.37864,5.7369,0.51898,0.29475,1,1.2488,13.53,11.25,6.2488
5.4852,0.45576,0.3865,5.6459,0.49933,0.30038,1,1.2825,13.53,11.25,6.2825
5.3917,0.43573,0.39436,5.5549,0.47967,0.30601,1,1.3162,13.53,11.25,6.3162
5.31,0.42097,0.40251,5.478,0.46517,0.3119,1,1.35,13.53,11.25,6.35
5.231,0.40741,0.41073,5.4044,0.45185,0.31785,1,1.3837,13.53,11.25,6.3837
5.152,0.39385,0.41894,5.3308,0.43852,0.32379,1,1.4175,13.53,11.25,6.4175
5.073,0.38029,0.42716,5.2572,0.4252,0.32974,1,1.4513,13.53,11.25,6.4513
4.994,0.36672,0.43538,5.1835,0.41187,0.33568,1,1.485,13.53,11.25,6.485
