"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.01182e-01,1.09139e+00,2.86058e+01,9.28635e+00,7.92290e+00,-2.41000e-01,1.83323e+00,1,0.00000e+00,7.68000e+00,1.10550e+01,6.84500e+00
1.12892e-01,1.24770e+00,2.76914e+01,9.52885e+00,7.52683e+00,-2.58413e-01,1.90410e+00,1,1.00350e-01,7.78035e+00,1.10550e+01,6.84500e+00
1.24601e-01,1.40400e+00,2.67770e+01,9.77134e+00,7.13077e+00,-2.75826e-01,1.97497e+00,1,2.00700e-01,7.88070e+00,1.10550e+01,6.84500e+00
1.36311e-01,1.56031e+00,2.58627e+01,1.00138e+01,6.73471e+00,-2.93239e-01,2.04584e+00,1,3.01050e-01,7.98105e+00,1.10550e+01,6.84500e+00
1.48020e-01,1.71662e+00,2.49483e+01,1.02563e+01,6.33865e+00,-3.10652e-01,2.11670e+00,1,4.01400e-01,8.08140e+00,1.10550e+01,6.84500e+00
1.59730e-01,1.87293e+00,2.40340e+01,1.04988e+01,5.94259e+00,-3.28065e-01,2.18757e+00,1,5.01750e-01,8.18175e+00,1.10550e+01,6.84500e+00
1.71440e-01,2.02924e+00,2.31196e+01,1.07413e+01,5.54653e+00,-3.45478e-01,2.25844e+00,1,6.02100e-01,8.28210e+00,1.10550e+01,6.84500e+00
1.83149e-01,2.18555e+00,2.22053e+01,1.09838e+01,5.15047e+00,-3.62891e-01,2.32931e+00,1,7.02450e-01,8.38245e+00,1.10550e+01,6.84500e+00
1.94859e-01,2.34186e+00,2.12909e+01,1.12263e+01,4.75441e+00,-3.80304e-01,2.40017e+00,1,8.02800e-01,8.48280e+00,1.10550e+01,6.84500e+00
2.00397e-01,2.41637e+00,1.77848e+01,1.13619e+01,4.44714e+00,-3.76675e-01,2.37128e+00,1,9.03150e-01,8.58315e+00,1.10550e+01,6.84500e+00
2.00565e-01,2.41971e+00,1.20239e+01,1.14045e+01,4.21711e+00,-3.54741e-01,2.25559e+00,1,1.00350e+00,8.68350e+00,1.10550e+01,6.84500e+00
2.00733e-01,2.42306e+00,6.26299e+00,1.14471e+01,3.98709e+00,-3.32807e-01,2.13991e+00,1,1.10385e+00,8.78385e+00,1.10550e+01,6.84500e+00
2.00902e-01,2.42640e+00,5.02076e-01,1.14896e+01,3.75706e+00,-3.10873e-01,2.02422e+00,1,1.20420e+00,8.88420e+00,1.10550e+01,6.84500e+00
2.01070e-01,2.42975e+00,-5.25884e+00,1.15322e+01,3.52704e+00,-2.88939e-01,1.90854e+00,1,1.30455e+00,8.98455e+00,1.10550e+01,6.84500e+00
2.01239e-01,2.43309e+00,-1.10197e+01,1.15748e+01,3.29701e+00,-2.67005e-01,1.79285e+00,1,1.40490e+00,9.08490e+00,1.10550e+01,6.84500e+00
2.01407e-01,2.43644e+00,-1.67806e+01,1.16174e+01,3.06699e+00,-2.45071e-01,1.67717e+00,1,1.50525e+00,9.18525e+00,1.10550e+01,6.84500e+00
2.01576e-01,2.43978e+00,-2.25415e+01,1.16600e+01,2.83696e+00,-2.23137e-01,1.56148e+00,1,1.60560e+00,9.28560e+00,1.10550e+01,6.84500e+00
2.01630e-01,2.43315e+00,-2.60408e+01,1.16333e+01,2.74320e+00,-2.00987e-01,1.45280e+00,1,1.70595e+00,9.38595e+00,1.10550e+01,6.84500e+00
2.01532e-01,2.41334e+00,-2.65503e+01,1.15149e+01,2.82955e+00,-1.78550e-01,1.35337e+00,1,1.80630e+00,9.48630e+00,1.10550e+01,6.84500e+00
2.01435e-01,2.39352e+00,-2.70599e+01,1.13966e+01,2.91590e+00,-1.56115e-01,1.25394e+00,1,1.90665e+00,9.58665e+00,1.10550e+01,6.84500e+00
2.01337e-01,2.37370e+00,-2.75694e+01,1.12782e+01,3.00226e+00,-1.33679e-01,1.15451e+00,1,2.00700e+00,9.68700e+00,1.10550e+01,6.84500e+00
2.01240e-01,2.35389e+00,-2.80790e+01,1.11599e+01,3.08861e+00,-1.11243e-01,1.05508e+00,1,2.10735e+00,9.78735e+00,1.10550e+01,6.84500e+00
2.01142e-01,2.33407e+00,-2.85885e+01,1.10415e+01,3.17497e+00,-8.88066e-02,9.55650e-01,1,2.20770e+00,9.88770e+00,1.10550e+01,6.84500e+00
2.01045e-01,2.31425e+00,-2.90981e+01,1.09232e+01,3.26132e+00,-6.63705e-02,8.56219e-01,1,2.30805e+00,9.98805e+00,1.10550e+01,6.84500e+00
2.01327e-01,2.29987e+00,-2.94032e+01,1.08116e+01,3.33413e+00,-4.53766e-02,7.62475e-01,1,2.40840e+00,1.00884e+01,1.10550e+01,6.84500e+00
2.06517e-01,2.35584e+00,-2.70630e+01,1.07883e+01,3.23164e+00,-4.30453e-02,7.42307e-01,1,2.50875e+00,1.01888e+01,1.10550e+01,6.84500e+00
2.11707e-01,2.41181e+00,-2.47228e+01,1.07649e+01,3.12915e+00,-4.07139e-02,7.22139e-01,1,2.60910e+00,1.02891e+01,1.10550e+01,6.84500e+00
2.16898e-01,2.46777e+00,-2.23825e+01,1.07416e+01,3.02665e+00,-3.83826e-02,7.01971e-01,1,2.70945e+00,1.03895e+01,1.10550e+01,6.84500e+00
2.22088e-01,2.52374e+00,-2.00423e+01,1.07182e+01,2.92416e+00,-3.60512e-02,6.81803e-01,1,2.80980e+00,1.04898e+01,1.10550e+01,6.84500e+00
2.27278e-01,2.57971e+00,-1.77020e+01,1.06949e+01,2.82167e+00,-3.37199e-02,6.61635e-01,1,2.91015e+00,1.05901e+01,1.10550e+01,6.84500e+00
2.32468e-01,2.63568e+00,-1.53618e+01,1.06715e+01,2.71917e+00,-3.13885e-02,6.41467e-01,1,3.01050e+00,1.06905e+01,1.10550e+01,6.84500e+00
2.38196e-01,2.68932e+00,-1.39258e+01,1.06286e+01,2.66794e+00,-2.66670e-02,6.16004e-01,1,3.11085e+00,1.07908e+01,1.10550e+01,6.84500e+00
2.44767e-01,2.73932e+00,-1.39077e+01,1.05552e+01,2.69709e+00,-1.81974e-02,5.82238e-01,1,3.21120e+00,1.08912e+01,1.10550e+01,6.84500e+00
2.51338e-01,2.78932e+00,-1.38896e+01,1.04817e+01,2.72624e+00,-9.72781e-03,5.48472e-01,1,3.31155e+00,1.09916e+01,1.10550e+01,6.84500e+00
2.57909e-01,2.83931e+00,-1.38715e+01,1.04083e+01,2.75539e+00,-1.25830e-03,5.14705e-01,1,3.41190e+00,1.10919e+01,1.10550e+01,6.84500e+00
2.64480e-01,2.88931e+00,-1.38533e+01,1.03348e+01,2.78454e+00,7.21128e-03,4.80939e-01,1,3.51225e+00,1.11923e+01,1.10550e+01,6.84500e+00
2.71051e-01,2.93931e+00,-1.38352e+01,1.02614e+01,2.81369e+00,1.56808e-02,4.47173e-01,1,3.61260e+00,1.12926e+01,1.10550e+01,6.84500e+00
2.77825e-01,2.99099e+00,-1.36919e+01,1.01951e+01,2.82847e+00,2.24526e-02,4.18827e-01,1,3.71295e+00,1.13930e+01,1.10550e+01,6.84500e+00
2.85027e-01,3.04623e+00,-1.32844e+01,1.01441e+01,2.81290e+00,2.56411e-02,4.01922e-01,1,3.81330e+00,1.14933e+01,1.10550e+01,6.84500e+00
2.92229e-01,3.10147e+00,-1.28769e+01,1.00931e+01,2.79733e+00,2.88295e-02,3.85016e-01,1,3.91365e+00,1.15936e+01,1.10550e+01,6.84500e+00
2.99431e-01,3.15671e+00,-1.24694e+01,1.00421e+01,2.78175e+00,3.20180e-02,3.68111e-01,1,4.01400e+00,1.16940e+01,1.10550e+01,6.84500e+00
3.06633e-01,3.21195e+00,-1.20619e+01,9.99113e+00,2.76618e+00,3.52064e-02,3.51206e-01,1,4.11435e+00,1.17943e+01,1.10550e+01,6.84500e+00
3.13835e-01,3.26719e+00,-1.16544e+01,9.94013e+00,2.75061e+00,3.83949e-02,3.34300e-01,1,4.21470e+00,1.18947e+01,1.10550e+01,6.84500e+00
3.20418e-01,3.31212e+00,-1.14074e+01,9.88851e+00,2.75648e+00,4.04530e-02,3.17082e-01,1,4.31505e+00,1.19951e+01,1.10550e+01,6.84500e+00
3.26856e-01,3.35466e+00,-1.11978e+01,9.83675e+00,2.76734e+00,4.22485e-02,2.99791e-01,1,4.41540e+00,1.20954e+01,1.10550e+01,6.84500e+00
3.33295e-01,3.39720e+00,-1.09881e+01,9.78499e+00,2.77819e+00,4.40441e-02,2.82500e-01,1,4.51575e+00,1.21958e+01,1.10550e+01,6.84500e+00
3.39733e-01,3.43974e+00,-1.07785e+01,9.73323e+00,2.78904e+00,4.58396e-02,2.65209e-01,1,4.61610e+00,1.22961e+01,1.10550e+01,6.84500e+00
3.46172e-01,3.48228e+00,-1.05689e+01,9.68147e+00,2.79989e+00,4.76352e-02,2.47918e-01,1,4.71645e+00,1.23965e+01,1.10550e+01,6.84500e+00
3.52119e-01,3.51892e+00,-1.03811e+01,9.63392e+00,2.81150e+00,4.81347e-02,2.32346e-01,1,4.81680e+00,1.24968e+01,1.10550e+01,6.84500e+00
3.57950e-01,3.55416e+00,-1.01985e+01,9.58737e+00,2.82330e+00,4.83265e-02,2.17181e-01,1,4.91715e+00,1.25971e+01,1.10550e+01,6.84500e+00
