"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00074614,0.0082865,7.3921,11.521,9.5264,-0.00036903,0.40015,9.5382,5.0027e-05,0.39304,1,0,4.68,11.25,6.845
0.00073548,0.0081305,7.6195,11.423,9.5055,-0.00049376,0.42109,9.5184,4.7982e-05,0.41393,1,0.10035,4.7804,11.25,6.845
0.00072482,0.0079745,7.8468,11.325,9.4845,-0.0006185,0.44203,9.4986,4.5936e-05,0.43482,1,0.2007,4.8807,11.25,6.845
0.00071416,0.0078184,8.0742,11.228,9.4636,-0.00074323,0.46298,9.4788,4.3891e-05,0.45572,1,0.30105,4.9811,11.25,6.845
0.0007035,0.0076624,8.3015,11.13,9.4427,-0.00086796,0.48392,9.4591,4.1845e-05,0.47661,1,0.4014,5.0814,11.25,6.845
0.00069284,0.0075064,8.5288,11.032,9.4218,-0.0009927,0.50486,9.4393,3.98e-05,0.4975,1,0.50175,5.1817,11.25,6.845
0.00068217,0.0073503,8.7562,10.935,9.4008,-0.0011174,0.5258,9.4195,3.7755e-05,0.51839,1,0.6021,5.2821,11.25,6.845
0.00067151,0.0071943,8.9835,10.837,9.3799,-0.0012422,0.54675,9.3997,3.5709e-05,0.53929,1,0.70245,5.3825,11.25,6.845
0.00066085,0.0070383,9.2109,10.739,9.359,-0.0013669,0.56769,9.38,3.3664e-05,0.56018,1,0.8028,5.4828,11.25,6.845
0.00072039,0.007418,9.4156,10.642,9.3245,-0.0014645,0.58978,9.347,2.2992e-05,0.58215,1,0.90315,5.5831,11.25,6.845
0.0010347,0.0097424,9.5384,10.546,9.2406,-0.0014634,0.61602,9.2661,-1.8988e-05,0.60802,1,1.0035,5.6835,11.25,6.845
0.001349,0.012067,9.6611,10.449,9.1568,-0.0014623,0.64227,9.1852,-6.0969e-05,0.6339,1,1.1039,5.7839,11.25,6.845
0.0016634,0.014391,9.7839,10.353,9.073,-0.0014612,0.66851,9.1044,-0.00010295,0.65977,1,1.2042,5.8842,11.25,6.845
0.0019777,0.016715,9.9066,10.256,8.9892,-0.0014601,0.69476,9.0235,-0.00014493,0.68565,1,1.3046,5.9845,11.25,6.845
0.002292,0.01904,10.029,10.16,8.9053,-0.001459,0.721,8.9426,-0.00018691,0.71153,1,1.4049,6.0849,11.25,6.845
0.0026064,0.021364,10.152,10.063,8.8215,-0.0014579,0.74725,8.8617,-0.00022889,0.7374,1,1.5052,6.1852,11.25,6.845
0.0029207,0.023689,10.275,9.9668,8.7377,-0.0014568,0.7735,8.7809,-0.00027087,0.76328,1,1.6056,6.2856,11.25,6.845
0.003235,0.026013,10.398,9.8703,8.6539,-0.0014557,0.79974,8.7,-0.00031285,0.78915,1,1.706,6.386,11.25,6.845
0.0035494,0.028337,10.52,9.7739,8.57,-0.0014546,0.82599,8.6191,-0.00035483,0.81503,1,1.8063,6.4863,11.25,6.845
0.0038637,0.030662,10.643,9.6774,8.4862,-0.0014535,0.85223,8.5382,-0.00039681,0.8409,1,1.9067,6.5866,11.25,6.845
0.0076894,0.070815,11.293,9.6006,8.4216,-0.0031752,0.90575,8.476,-0.00044117,0.89336,1,2.007,6.687,11.25,6.845
