"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0951,9.9399,-0.00016763,0.054558,1,0,7.68,11.25,6.845
1.1261,9.9359,-0.00018534,0.056795,1,0.10035,7.7804,11.25,6.845
1.1571,9.9319,-0.00020304,0.059032,1,0.2007,7.8807,11.25,6.845
1.1881,9.9279,-0.00022075,0.061269,1,0.30105,7.9811,11.25,6.845
1.2162,9.9243,-0.00023788,0.063673,1,0.4014,8.0814,11.25,6.845
1.2413,9.9212,-0.00025443,0.066251,1,0.50175,8.1818,11.25,6.845
1.2664,9.918,-0.00027099,0.068828,1,0.6021,8.2821,11.25,6.845
1.2915,9.9149,-0.00028754,0.071405,1,0.70245,8.3825,11.25,6.845
1.3166,9.9118,-0.00030409,0.073982,1,0.8028,8.4828,11.25,6.845
1.3566,9.9068,-0.00034359,0.077196,1,0.90315,8.5831,11.25,6.845
1.4096,9.9002,-0.00040305,0.080964,1,1.0035,8.6835,11.25,6.845
1.4625,9.8936,-0.00046252,0.084731,1,1.1038,8.7838,11.25,6.845
1.5155,9.887,-0.00052198,0.088499,1,1.2042,8.8842,11.25,6.845
1.5566,9.882,-0.00057087,0.092908,1,1.3046,8.9846,11.25,6.845
1.5969,9.8771,-0.00061899,0.097363,1,1.4049,9.0849,11.25,6.845
1.6371,9.8723,-0.00066712,0.10182,1,1.5053,9.1853,11.25,6.845
1.6773,9.8674,-0.00071525,0.10627,1,1.6056,9.2856,11.25,6.845
1.7413,9.8599,-0.00082779,0.11153,1,1.706,9.386,11.25,6.845
1.8367,9.8489,-0.0010255,0.11785,1,1.8063,9.4863,11.25,6.845
1.932,9.8379,-0.0012232,0.12416,1,1.9067,9.5866,11.25,6.845
2.0226,9.8275,-0.0014096,0.13075,1,2.007,9.687,11.25,6.845
2.0881,9.8201,-0.0015373,0.13877,1,2.1073,9.7873,11.25,6.845
2.1536,9.8126,-0.001665,0.1468,1,2.2077,9.8877,11.25,6.845
2.2191,9.8052,-0.0017927,0.15482,1,2.3081,9.9881,11.25,6.845
2.292,9.7964,-0.0019433,0.16301,1,2.4084,10.088,11.25,6.845
2.4602,9.7706,-0.0023893,0.17326,1,2.5088,10.189,11.25,6.845
2.6285,9.7447,-0.0028353,0.18351,1,2.6091,10.289,11.25,6.845
2.7893,9.7199,-0.0032534,0.19422,1,2.7095,10.389,11.25,6.845
2.8848,9.7047,-0.0034259,0.20905,1,2.8098,10.49,11.25,6.845
2.9802,9.6895,-0.0035985,0.22387,1,2.9102,10.59,11.25,6.845
3.0757,9.6743,-0.003771,0.2387,1,3.0105,10.691,11.25,6.845
3.3108,9.6644,-0.0044413,0.25536,1,3.1108,10.791,11.25,6.845
3.7648,9.6628,-0.0058922,0.27491,1,3.2112,10.891,11.25,6.845
4.2189,9.6611,-0.007343,0.29446,1,3.3116,10.992,11.25,6.845
4.4946,9.6617,-0.0078186,0.32538,1,3.4119,11.092,11.25,6.845
4.6912,9.6633,-0.0078613,0.36135,1,3.5123,11.192,11.25,6.845
4.8878,9.6649,-0.0079039,0.39731,1,3.6126,11.293,11.25,6.845
4.9927,9.6206,-0.00041232,0.4264,1,3.713,11.393,11.25,6.845
4.904,9.4796,0.022981,0.44097,1,3.8133,11.493,11.25,6.845
4.8153,9.3385,0.046374,0.45554,1,3.9137,11.594,11.25,6.845
4.7146,9.2593,0.059284,0.4805,1,4.014,11.694,11.25,6.845
4.6122,9.1891,0.070663,0.50697,1,4.1143,11.794,11.25,6.845
4.5097,9.119,0.082042,0.53345,1,4.2147,11.895,11.25,6.845
3.2458,9.0355,0.10391,0.52785,1,4.3151,11.995,11.25,6.845
1.7122,8.9489,0.12821,0.51479,1,4.4154,12.095,11.25,6.845
0.5947,8.8886,0.14491,0.49254,1,4.5158,12.196,11.25,6.845
-0.23083,8.8467,0.15627,0.46384,1,4.6161,12.296,11.25,6.845
-1.0564,8.8048,0.16763,0.43513,1,4.7165,12.396,11.25,6.845
-2.0114,8.8477,0.16944,0.41041,1,4.8168,12.497,11.25,6.845
-2.9971,8.9108,0.16899,0.38664,1,4.9172,12.597,11.25,6.845
-3.6877,8.9513,0.16969,0.34891,1,5.0175,12.698,11.25,6.845
-4.2993,8.9857,0.17068,0.30745,1,5.1178,12.798,11.25,6.845
-4.637,9.0002,0.17137,0.27298,1,5.2182,12.898,11.25,6.845
-4.2143,8.9594,0.1712,0.25793,1,5.3186,12.999,11.25,6.845
-3.9196,8.925,0.17164,0.24101,1,5.4189,13.099,11.25,6.845
-3.7937,8.8989,0.17288,0.22164,1,5.5193,13.199,11.25,6.845
-3.6266,8.8733,0.17363,0.20363,1,5.6196,13.3,11.25,6.845
-3.2045,8.8506,0.17131,0.19405,1,5.72,13.4,11.25,6.845
-2.8746,8.8305,0.16972,0.18347,1,5.8203,13.5,11.25,6.845
-2.6468,8.8136,0.16896,0.17178,1,5.9207,13.601,11.25,6.845
-2.4327,8.7989,0.16811,0.16193,1,6.021,13.701,11.25,6.845
-2.2394,8.7876,0.16714,0.15493,1,6.1213,13.801,11.25,6.845
-2.1119,8.7776,0.16674,0.14629,1,6.2217,13.902,11.25,6.845
-1.9934,8.7677,0.16641,0.13744,1,6.3221,14.002,11.25,6.845
-1.8874,8.76,0.1659,0.13164,1,6.4224,14.102,11.25,6.845
-1.8039,8.7526,0.16561,0.12483,1,6.5228,14.203,11.25,6.845
-1.7343,8.7454,0.16545,0.11739,1,6.6231,14.303,11.25,6.845
-1.6506,8.7379,0.16515,0.1123,1,6.7235,14.403,11.25,6.845
-1.5831,8.7308,0.16498,0.10653,1,6.8238,14.504,11.25,6.845
-1.5232,8.7239,0.16487,0.10055,1,6.9241,14.604,11.25,6.845
-1.4485,8.7175,0.1647,0.097203,1,7.0245,14.705,11.25,6.845
-1.3935,8.7116,0.16465,0.092909,1,7.1248,14.805,11.25,6.845
-1.3163,8.7047,0.16454,0.088896,1,7.2252,14.905,11.25,6.845
-1.243,8.6975,0.16449,0.08441,1,7.3256,15.006,11.25,6.845
-1.1845,8.691,0.16445,0.080384,1,7.4259,15.106,11.25,6.845
-1.1332,8.6853,0.1644,0.076851,1,7.5263,15.206,11.25,6.845
-1.089,8.68,0.1644,0.073332,1,7.6266,15.307,11.25,6.845
-1.0502,8.6749,0.16442,0.069835,1,7.727,15.407,11.25,6.845
