U:0,,,Points:0,
9.8117,1,,10.68,-0.96
9.8018,0.998991001,,10.78,-0.937777778
9.7913,0.99792085,,10.881,-0.915333333
9.78,0.996769163,,10.981,-0.893111111
9.7667,0.995413639,,11.081,-0.870888889
9.7525,0.993966387,,11.182,-0.848444444
9.7362,0.992305105,,11.282,-0.826222222
9.7153,0.990174995,,11.382,-0.804
9.69,0.987596441,,11.483,-0.781555556
9.6575,0.984284069,,11.583,-0.759333333
9.6169,0.980146152,,11.684,-0.736888889
9.5714,0.975508831,,11.784,-0.714666667
9.4995,0.968180845,,11.884,-0.692444444
9.3045,0.948306614,,11.985,-0.67
9.1887,0.936504377,,12.085,-0.647777778
9.1811,0.935729792,,12.185,-0.625555556
9.1395,0.931489956,,12.286,-0.603111111
9.0827,0.925700949,,12.386,-0.580888889
9.0364,0.920982093,,12.486,-0.558666667
9.0034,0.917618761,,12.587,-0.536222222
8.9767,0.91489752,,12.687,-0.514
8.9507,0.912247623,,12.787,-0.491777778
8.9239,0.90951619,,12.888,-0.469333333
8.8966,0.906733797,,12.988,-0.447111111
8.8687,0.903890253,,13.088,-0.424888889
8.8402,0.900985558,,13.189,-0.402444444
8.8104,0.897948368,,13.289,-0.380222222
8.7791,0.894758299,,13.389,-0.358
8.7462,0.891405159,,13.49,-0.335555556
8.7115,0.887868565,,13.59,-0.313333333
8.6739,0.884036406,,13.691,-0.290888889
8.633,0.879867913,,13.791,-0.268666667
8.5889,0.875373279,,13.891,-0.246444444
8.5412,0.870511736,,13.992,-0.224
8.486,0.8648858,,14.092,-0.201777778
8.4245,0.858617773,,14.192,-0.179555556
8.3567,0.851707655,,14.293,-0.157111111
8.2775,0.843635659,,14.393,-0.134888889
8.1758,0.833270483,,14.493,-0.112666667
8.0617,0.82164151,,14.594,-0.090222222
7.9421,0.809451981,,14.694,-0.068
7.7796,0.792890121,,14.794,-0.045777778
7.5827,0.772822243,,14.895,-0.023333333
7.3063,0.744651793,,14.995,-0.001111111
7.0465,0.718173201,,15.095,0.021111111
6.7988,0.692927831,,15.196,0.043555556
6.5941,0.672064984,,15.296,0.065777778
6.4019,0.652476125,,15.396,0.088
6.2265,0.634599509,,15.497,0.110444444
6.097,0.62140098,,15.597,0.132666667
5.9855,0.610036997,,15.698,0.155111111
5.9116,0.602505172,,15.798,0.177333333
5.8439,0.595605247,,15.898,0.199555556
5.7829,0.589388179,,15.999,0.222
5.7258,0.583568597,,16.099,0.244222222
5.6704,0.577922276,,16.199,0.266444444
5.6234,0.573132077,,16.3,0.288888889
5.5795,0.568657827,,16.4,0.311111111
5.5423,0.564866435,,16.5,0.333333333
5.5091,0.56148272,,16.601,0.355777778
5.4793,0.558445529,,16.701,0.378
5.4533,0.555795632,,16.801,0.400222222
5.4285,0.553268037,,16.902,0.422666667
5.4068,0.551056392,,17.002,0.444888889
5.3854,0.548875322,,17.102,0.467111111
5.3664,0.546938859,,17.203,0.489555556
5.3476,0.545022779,,17.303,0.511777778
5.3306,0.543290154,,17.403,0.534
5.3141,0.541608488,,17.504,0.556444444
5.2991,0.540079701,,17.604,0.578666667
5.2848,0.538622257,,17.705,0.601111111
5.2719,0.5373075,,17.805,0.623333333
5.2599,0.536084471,,17.905,0.645555556
5.2493,0.535004128,,18.006,0.668
5.2394,0.533995128,,18.106,0.690222222
5.2309,0.533128816,,18.206,0.712444444
5.2231,0.532333846,,18.307,0.734888889
5.2166,0.531671372,,18.407,0.757111111
5.2105,0.531049665,,18.507,0.779333333
5.2058,0.530570645,,18.608,0.801777778
5.2013,0.530112009,,18.708,0.824
5.1982,0.52979606,,18.808,0.846222222
5.1952,0.529490302,,18.909,0.868666667
5.1936,0.529327232,,19.009,0.890888889
5.1921,0.529174353,,19.109,0.913111111
5.1919,0.529153969,,19.21,0.935555556
5.1919,0.529153969,,19.31,0.957777778
5.1928,0.529245696,,19.41,0.98
5.1942,0.529388383,,19.511,1.002444444
5.1962,0.529592222,,19.611,1.024666667
5.1989,0.529867403,,19.712,1.047111111
5.2018,0.530162969,,19.812,1.069333333
5.2056,0.530550261,,19.912,1.091555556
5.2095,0.530947746,,20.013,1.114
5.2144,0.53144715,,20.113,1.136222222
5.2194,0.531956746,,20.213,1.158444444
5.2249,0.532517301,,20.314,1.180888889
5.2309,0.533128816,,20.414,1.203111111
5.2371,0.533760714,,20.514,1.225333333
5.2441,0.534474148,,20.615,1.247777778
5.2511,0.535187582,,20.715,1.27
