p,U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.905,9.855,1,0.00015312,-0.015875,1,0,10.68,11.25,2
2.9702,9.8482,0.999309995,0.00017216,-0.019065,1,0.10035,10.78,11.25,2
3.0396,9.8408,0.998559107,0.00019365,-0.022427,1,0.2007,10.881,11.25,2
3.1141,9.8328,0.997747336,0.00021805,-0.025994,1,0.30105,10.981,11.25,2
3.2012,9.8232,0.996773212,0.0002499,-0.02995,1,0.4014,11.081,11.25,2
3.2984,9.8128,0.99571791,0.00028795,-0.033929,1,0.50175,11.182,11.25,2
3.4142,9.8006,0.994479959,0.0003365,-0.03821,1,0.6021,11.282,11.25,2
3.5622,9.7843,0.992825977,0.00040389,-0.043245,1,0.70245,11.382,11.25,2
3.7354,9.7638,0.990745814,0.00049091,-0.048702,1,0.8028,11.483,11.25,2
3.9576,9.7362,0.987945205,0.00061465,-0.054579,1,0.90315,11.583,11.25,2
4.2608,9.7007,0.984342973,0.00079908,-0.060913,1,1.0035,11.684,11.25,2
4.646,9.6608,0.980294267,0.0010031,-0.067777,1,1.1038,11.784,11.25,2
4.8686,9.5931,0.973424658,0.00082853,-0.075328,1,1.2042,11.884,11.25,2
4.101,9.4022,0.95405378,-0.00050464,-0.083661,1,1.3046,11.985,11.25,2
2.4565,9.2939,0.943064434,-0.0013588,-0.092634,1,1.4049,12.085,11.25,2
1.5806,9.2951,0.9431862,-0.0011773,-0.10221,1,1.5052,12.185,11.25,2
1.6764,9.2629,0.939918823,-0.0009731,-0.11253,1,1.6056,12.286,11.25,2
2.1447,9.2164,0.935200406,-0.00086113,-0.12366,1,1.7059,12.386,11.25,2
2.5575,9.1814,0.931648909,-0.00078994,-0.1356,1,1.8063,12.486,11.25,2
2.7968,9.1607,0.929548453,-0.00074139,-0.1484,1,1.9066,12.587,11.25,2
2.9235,9.1476,0.928219178,-0.00071629,-0.16209,1,2.007,12.687,11.25,2
3.0148,9.1364,0.927082699,-0.00072706,-0.17696,1,2.1073,12.787,11.25,2
3.0993,9.1259,0.92601725,-0.00077077,-0.19293,1,2.2077,12.888,11.25,2
3.1739,9.1163,0.925043125,-0.00084571,-0.21001,1,2.3081,12.988,11.25,2
3.2362,9.1077,0.924170472,-0.00095228,-0.22825,1,2.4084,13.088,11.25,2
3.2843,9.1002,0.923409437,-0.0010912,-0.2477,1,2.5087,13.189,11.25,2
3.3136,9.0939,0.922770167,-0.0012786,-0.26888,1,2.6091,13.289,11.25,2
3.328,9.0887,0.922242516,-0.0015116,-0.29159,1,2.7094,13.389,11.25,2
3.3281,9.0843,0.921796043,-0.0017913,-0.31577,1,2.8098,13.49,11.25,2
3.3137,9.0809,0.92145104,-0.0021201,-0.34147,1,2.9101,13.59,11.25,2
3.2775,9.079,0.921258245,-0.0025237,-0.36935,1,3.0105,13.691,11.25,2
