p,U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,,Points:2
0.48138,10.076,1.026382805,-0.025092,0.023565,1,0,12.48,0,-2.5,3.155
0.49012,10.076,1.026382805,-0.028347,0.023651,1,0.225,12.48,0.225,-2.45,3.155
0.49886,10.075,1.026280941,-0.031605,0.023729,1,0.45,12.48,0.45,-2.4,3.155
0.5105,10.074,1.026179077,-0.035686,0.023839,1,0.675,12.48,0.675,-2.35,3.155
0.52213,10.073,1.026077213,-0.039768,0.023938,1,0.9,12.48,0.9,-2.3,3.155
0.53423,10.072,1.025975349,-0.043386,0.02403,1,1.125,12.48,1.125,-2.25,3.155
0.54633,10.072,1.025975349,-0.047002,0.02411,1,1.35,12.48,1.35,-2.2,3.155
0.56158,10.07,1.025771621,-0.051301,0.024198,1,1.575,12.48,1.575,-2.15,3.155
0.57683,10.069,1.025669757,-0.055594,0.02427,1,1.8,12.48,1.8,-2.1,3.155
0.59355,10.068,1.025567892,-0.059712,0.024315,1,2.025,12.48,2.025,-2.05,3.155
0.61026,10.067,1.025466028,-0.06382,0.02434,1,2.25,12.48,2.25,-2,3.155
0.63081,10.066,1.025364164,-0.068501,0.024334,1,2.475,12.48,2.475,-1.95,3.155
0.65134,10.064,1.025160436,-0.073167,0.024304,1,2.7,12.48,2.7,-1.9,3.155
0.67486,10.063,1.025058572,-0.077929,0.024202,1,2.925,12.48,2.925,-1.85,3.155
0.69833,10.061,1.024854844,-0.082665,0.024072,1,3.15,12.48,3.15,-1.8,3.155
0.72694,10.059,1.024651115,-0.087936,0.023841,1,3.375,12.48,3.375,-1.75,3.155
0.75546,10.057,1.024447387,-0.09317,0.023574,1,3.6,12.48,3.6,-1.7,3.155
0.78931,10.054,1.024141795,-0.098741,0.023155,1,3.825,12.48,3.825,-1.65,3.155
0.82302,10.052,1.023938067,-0.10426,0.022693,1,4.05,12.48,4.05,-1.6,3.155
0.86127,10.049,1.023632474,-0.10988,0.022069,1,4.275,12.48,4.275,-1.55,3.155
0.89931,10.046,1.023326882,-0.11544,0.021397,1,4.5,12.48,4.5,-1.5,3.155
0.95422,10.041,1.022817561,-0.12273,0.020287,1,4.725,12.48,4.725,-1.45,3.155
1.0073,10.037,1.022410105,-0.12935,0.019081,1,4.95,12.48,4.95,-1.4,3.155
1.0658,10.032,1.021900784,-0.13619,0.017643,1,5.175,12.48,5.175,-1.35,3.155
1.1321,10.027,1.021391464,-0.14335,0.015916,1,5.4,12.48,5.4,-1.3,3.155
1.2052,10.021,1.020780279,-0.15068,0.01385,1,5.625,12.48,5.625,-1.25,3.155
1.2863,10.014,1.02006723,-0.15821,0.011439,1,5.85,12.48,5.85,-1.2,3.155
1.3788,10.006,1.019252317,-0.16602,0.0085957,1,6.075,12.48,6.075,-1.15,3.155
1.4813,9.9977,1.018406845,-0.17387,0.0052694,1,6.3,12.48,6.3,-1.1,3.155
1.5955,9.9881,1.01742895,-0.1818,0.001454,1,6.525,12.48,6.525,-1.05,3.155
1.7265,9.977,1.016298258,-0.18979,-0.0029588,1,6.75,12.48,6.75,-1,3.155
1.8717,9.9649,1.015065702,-0.19754,-0.0080092,1,6.975,12.48,6.975,-0.95,3.155
2.0334,9.9514,1.013690537,-0.205,-0.013684,1,7.2,12.48,7.2,-0.9,3.155
2.2185,9.936,1.012121829,-0.21199,-0.02008,1,7.425,12.48,7.425,-0.85,3.155
2.4219,9.9193,1.010420699,-0.21811,-0.027197,1,7.65,12.48,7.65,-0.8,3.155
2.6459,9.9011,1.008566772,-0.22323,-0.034957,1,7.875,12.48,7.875,-0.75,3.155
2.8972,9.8809,1.006509117,-0.22682,-0.043346,1,8.1,12.48,8.1,-0.7,3.155
3.1656,9.8597,1.004349598,-0.22858,-0.052286,1,8.325,12.48,8.325,-0.65,3.155
3.4507,9.8374,1.002078028,-0.2283,-0.061575,1,8.55,12.48,8.55,-0.6,3.155
3.7522,9.8139,0.999684221,-0.22515,-0.070939,1,8.775,12.48,8.775,-0.55,3.155
4.0514,9.7906,0.997310787,-0.21936,-0.080277,1,9,12.48,9,-0.5,3.155
4.341,9.7677,0.994978099,-0.21085,-0.089263,1,9.225,12.48,9.225,-0.45,3.155
4.6046,9.7459,0.992757462,-0.19905,-0.097392,1,9.45,12.48,9.45,-0.4,3.155
4.8218,9.7263,0.990760925,-0.18501,-0.10477,1,9.675,12.48,9.675,-0.35,3.155
4.9822,9.7095,0.989049608,-0.16911,-0.11114,1,9.9,12.48,9.9,-0.3,3.155
5.0601,9.6966,0.987735561,-0.15114,-0.1161,1,10.125,12.48,10.125,-0.25,3.155
5.0524,9.6884,0.986900275,-0.13177,-0.12008,1,10.35,12.48,10.35,-0.2,3.155
4.949,9.6858,0.986635428,-0.11292,-0.12303,1,10.575,12.48,10.575,-0.15,3.155
4.7178,9.6877,0.98682897,-0.087087,-0.12484,1,10.8,12.48,10.8,-0.1,3.155
4.3871,9.461,0.963736376,-0.056547,-0.12733,1,11.025,12.48,11.025,-0.05,3.155
3.9817,9.0311,0.919944993,0.00021246,-0.13042,1,11.25,12.48,11.25,0,3.155
4.0254,9.4638,0.964021595,0.057641,-0.12704,1,11.475,12.48,11.475,0.05,3.155
4.0331,9.6894,0.987002139,0.088381,-0.12396,1,11.7,12.48,11.7,0.1,3.155
3.979,9.6877,0.98682897,0.11431,-0.1216,1,11.925,12.48,11.925,0.15,3.155
3.8582,9.691,0.987165122,0.13327,-0.11838,1,12.15,12.48,12.15,0.2,3.155
3.7068,9.6997,0.98805134,0.15249,-0.11411,1,12.375,12.48,12.375,0.25,3.155
3.5392,9.7128,0.989385759,0.16993,-0.10886,1,12.6,12.48,12.6,0.3,3.155
3.3607,9.7302,0.991158195,0.18546,-0.10255,1,12.825,12.48,12.825,0.35,3.155
3.1818,9.7498,0.993154732,0.19891,-0.095226,1,13.05,12.48,13.05,0.4,3.155
3.0032,9.7711,0.995324437,0.21003,-0.087132,1,13.275,12.48,13.275,0.45,3.155
2.8253,9.794,0.997657125,0.21817,-0.078461,1,13.5,12.48,13.5,0.5,3.155
2.6541,9.8168,0.999979627,0.22363,-0.069371,1,13.725,12.48,13.725,0.55,3.155
2.4885,9.8395,1.002291943,0.22661,-0.060176,1,13.95,12.48,13.95,0.6,3.155
2.3288,9.8616,1.004543139,0.22683,-0.051203,1,14.175,12.48,14.175,0.65,3.155
2.1791,9.8824,1.006661913,0.22512,-0.042476,1,14.4,12.48,14.4,0.7,3.155
2.0374,9.9019,1.008648263,0.22176,-0.034197,1,14.625,12.48,14.625,0.75,3.155
1.9043,9.9201,1.01050219,0.2167,-0.026641,1,14.85,12.48,14.85,0.8,3.155
1.7816,9.9365,1.012172762,0.21075,-0.019637,1,15.075,12.48,15.075,0.85,3.155
1.6674,9.9515,1.013700723,0.20406,-0.013267,1,15.3,12.48,15.3,0.9,3.155
1.5618,9.965,1.015075889,0.19665,-0.0077087,1,15.525,12.48,15.525,0.95,3.155
1.4654,9.9771,1.016308445,0.18904,-0.0027054,1,15.75,12.48,15.75,1,3.155
1.3764,9.988,1.017418763,0.18127,0.0017213,1,15.975,12.48,15.975,1.05,3.155
