U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
15.08,1.018024708,-0.023484,0.029658,1,0,12.48,0,3.155
15.079,1.0179572,-0.026589,0.029744,1,0.225,12.48,0.225,3.155
15.078,1.017889691,-0.029697,0.029824,1,0.45,12.48,0.45,3.155
15.078,1.017889691,-0.033589,0.029936,1,0.675,12.48,0.675,3.155
15.077,1.017822183,-0.037483,0.030038,1,0.9,12.48,0.9,3.155
15.076,1.017754675,-0.040912,0.030135,1,1.125,12.48,1.125,3.155
15.075,1.017687167,-0.044339,0.03022,1,1.35,12.48,1.35,3.155
15.074,1.017619658,-0.048403,0.030317,1,1.575,12.48,1.575,3.155
15.073,1.01755215,-0.052463,0.030398,1,1.8,12.48,1.8,3.155
15.072,1.017484642,-0.056335,0.030456,1,2.025,12.48,2.025,3.155
15.071,1.017417134,-0.060198,0.030496,1,2.25,12.48,2.25,3.155
15.069,1.017282117,-0.064582,0.03051,1,2.475,12.48,2.475,3.155
15.068,1.017214609,-0.068953,0.030503,1,2.7,12.48,2.7,3.155
15.067,1.017147101,-0.073394,0.030432,1,2.925,12.48,2.925,3.155
15.065,1.017012084,-0.077813,0.030335,1,3.15,12.48,3.15,3.155
15.063,1.016877067,-0.082707,0.030148,1,3.375,12.48,3.375,3.155
15.061,1.016742051,-0.08757,0.02993,1,3.6,12.48,3.6,3.155
15.059,1.016607034,-0.092728,0.029573,1,3.825,12.48,3.825,3.155
15.056,1.01640451,-0.09784,0.029178,1,4.05,12.48,4.05,3.155
15.054,1.016269493,-0.10303,0.028635,1,4.275,12.48,4.275,3.155
15.051,1.016066968,-0.10816,0.028049,1,4.5,12.48,4.5,3.155
15.047,1.015796935,-0.11488,0.027071,1,4.725,12.48,4.725,3.155
15.043,1.015526902,-0.12098,0.026,1,4.95,12.48,4.95,3.155
15.039,1.015256869,-0.12727,0.024719,1,5.175,12.48,5.175,3.155
15.034,1.014919328,-0.13386,0.02317,1,5.4,12.48,5.4,3.155
15.029,1.014581786,-0.14061,0.021314,1,5.625,12.48,5.625,3.155
15.023,1.014176737,-0.14753,0.01914,1,5.85,12.48,5.85,3.155
15.016,1.013704179,-0.15472,0.016565,1,6.075,12.48,6.075,3.155
15.008,1.013164113,-0.16196,0.013551,1,6.3,12.48,6.3,3.155
15,1.012624046,-0.16928,0.010088,1,6.525,12.48,6.525,3.155
14.99,1.011948964,-0.17668,0.0060645,1,6.75,12.48,6.75,3.155
14.979,1.011206373,-0.18389,0.0014634,1,6.975,12.48,6.975,3.155
14.968,1.010463782,-0.19087,-0.003711,1,7.2,12.48,7.2,3.155
14.954,1.009518666,-0.19751,-0.0095648,1,7.425,12.48,7.425,3.155
14.94,1.00857355,-0.20345,-0.016062,1,7.65,12.48,7.65,3.155
14.924,1.007493418,-0.2086,-0.023147,1,7.875,12.48,7.875,3.155
14.907,1.006345777,-0.21259,-0.030838,1,8.1,12.48,8.1,3.155
14.889,1.005130629,-0.21517,-0.039014,1,8.325,12.48,8.325,3.155
14.87,1.003847971,-0.21622,-0.047522,1,8.55,12.48,8.55,3.155
14.85,1.002497806,-0.21514,-0.05617,1,8.775,12.48,8.775,3.155
14.83,1.001147641,-0.21213,-0.064829,1,9,12.48,9,3.155
14.81,0.999797475,-0.20714,-0.073265,1,9.225,12.48,9.225,3.155
14.79,0.99844731,-0.1997,-0.081084,1,9.45,12.48,9.45,3.155
14.772,0.997232161,-0.19055,-0.088375,1,9.675,12.48,9.675,3.155
14.756,0.996152029,-0.17993,-0.094934,1,9.9,12.48,9.9,3.155
14.744,0.995341929,-0.16739,-0.10036,1,10.125,12.48,10.125,3.155
14.737,0.994869371,-0.15288,-0.10506,1,10.35,12.48,10.35,3.155
14.736,0.994801863,-0.13935,-0.10889,1,10.575,12.48,10.575,3.155
14.739,0.995004388,-0.11428,-0.11163,1,10.8,12.48,10.8,3.155
14.396,0.971849052,-0.082986,-0.11508,1,11.025,12.48,11.025,3.155
13.746,0.927968676,-0.012171,-0.11914,1,11.25,12.48,11.25,3.155
14.394,0.971714035,0.060661,-0.11649,1,11.475,12.48,11.475,3.155
14.729,0.994329305,0.094417,-0.11396,1,11.7,12.48,11.7,3.155
14.721,0.993789239,0.12222,-0.11197,1,11.925,12.48,11.925,3.155
14.718,0.993586714,0.13946,-0.10887,1,12.15,12.48,12.15,3.155
14.723,0.993924256,0.1579,-0.10458,1,12.375,12.48,12.375,3.155
14.734,0.994666847,0.17427,-0.099142,1,12.6,12.48,12.6,3.155
14.75,0.995746979,0.1887,-0.092508,1,12.825,12.48,12.825,3.155
14.769,0.997029636,0.20102,-0.084801,1,13.05,12.48,13.05,3.155
14.79,0.99844731,0.21091,-0.076314,1,13.275,12.48,13.275,3.155
14.813,1,0.21772,-0.067299,1,13.5,12.48,13.5,3.155
14.835,1.001485182,0.22183,-0.057936,1,13.725,12.48,13.725,3.155
14.857,1.002970364,0.22346,-0.048564,1,13.95,12.48,13.95,3.155
