U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
23.834,1,0.00056799,0.020689,1,0,10.68,11.25,3.155
23.822,0.999496518,0.00065023,0.018507,1,0.10035,10.78,11.25,3.155
23.808,0.998909121,0.00074336,0.016164,1,0.2007,10.881,11.25,3.155
23.793,0.998279768,0.00084947,0.013629,1,0.30105,10.981,11.25,3.155
23.774,0.997482588,0.00098695,0.010708,1,0.4014,11.081,11.25,3.155
23.754,0.996643451,0.0011453,0.007703,1,0.50175,11.182,11.25,3.155
23.728,0.995552572,0.0013437,0.0043907,1,0.6021,11.282,11.25,3.155
23.694,0.994126038,0.00162,0.00039631,1,0.70245,11.382,11.25,3.155
23.649,0.992237979,0.0019696,-0.0040127,1,0.8028,11.483,11.25,3.155
23.587,0.989636654,0.0024311,-0.0088405,1,0.90315,11.583,11.25,3.155
23.505,0.98619619,0.00307,-0.01413,1,1.0035,11.684,11.25,3.155
23.413,0.982336158,0.0037628,-0.019935,1,1.1038,11.784,11.25,3.155
23.253,0.975623059,0.0033565,-0.026354,1,1.2042,11.884,11.25,3.155
22.789,0.956155073,-0.0001527,-0.033611,1,1.3046,11.985,11.25,3.155
22.525,0.945078459,-0.0020909,-0.041972,1,1.4049,12.085,11.25,3.155
22.535,0.945498028,-0.0010802,-0.051262,1,1.5052,12.185,11.25,3.155
22.465,0.942561047,-4.08E-06,-0.061343,1,1.6056,12.286,11.25,3.155
22.356,0.937987749,0.00076935,-0.072209,1,1.7059,12.386,11.25,3.155
22.273,0.934505329,0.0013804,-0.083916,1,1.8063,12.486,11.25,3.155
22.224,0.932449442,0.0019067,-0.09654,1,1.9066,12.587,11.25,3.155
22.192,0.931106822,0.0023809,-0.11014,1,2.007,12.687,11.25,3.155
22.165,0.929973987,0.0028192,-0.12503,1,2.1073,12.787,11.25,3.155
22.139,0.928883108,0.0032412,-0.14112,1,2.2077,12.888,11.25,3.155
22.114,0.927834186,0.0036455,-0.15839,1,2.3081,12.988,11.25,3.155
22.09,0.926827222,0.004019,-0.17691,1,2.4084,13.088,11.25,3.155
22.068,0.925904171,0.0043428,-0.19668,1,2.5087,13.189,11.25,3.155
22.048,0.925065033,0.0045296,-0.21825,1,2.6091,13.289,11.25,3.155
22.028,0.924225896,0.0045091,-0.24133,1,2.7094,13.389,11.25,3.155
22.009,0.923428715,0.0042059,-0.26586,1,2.8098,13.49,11.25,3.155
21.99,0.922631535,0.003542,-0.29182,1,2.9101,13.59,11.25,3.155
21.972,0.921876311,0.0021419,-0.31975,1,3.0105,13.691,11.25,3.155
21.955,0.921163044,-0.00023043,-0.34937,1,3.1108,13.791,11.25,3.155
21.938,0.920449778,-0.0036623,-0.38034,1,3.2112,13.891,11.25,3.155
21.921,0.919736511,-0.0083154,-0.41266,1,3.3116,13.992,11.25,3.155
21.904,0.919023244,-0.015818,-0.4469,1,3.4119,14.092,11.25,3.155
21.886,0.91826802,-0.025738,-0.48209,1,3.5122,14.192,11.25,3.155
21.867,0.91747084,-0.038213,-0.51813,1,3.6126,14.293,11.25,3.155
21.846,0.916589746,-0.055768,-0.55523,1,3.7129,14.393,11.25,3.155
21.82,0.915498867,-0.078388,-0.59299,1,3.8133,14.493,11.25,3.155
21.789,0.914198204,-0.10525,-0.63133,1,3.9136,14.594,11.25,3.155
21.748,0.912477973,-0.13968,-0.6708,1,4.014,14.694,11.25,3.155
21.694,0.910212302,-0.18162,-0.71241,1,4.1143,14.794,11.25,3.155
