"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
23.875,0.0002241,0.0091359,1,0,10.68,11.25,2
23.865,0.00025669,0.0067332,1,0.10035,10.78,11.25,2
23.855,0.00029425,0.0041963,1,0.2007,10.881,11.25,2
23.843,0.00033772,0.0014995,1,0.30105,10.981,11.25,2
23.827,0.00039691,-0.0015066,1,0.4014,11.081,11.25,2
23.809,0.00046808,-0.0045457,1,0.50175,11.182,11.25,2
23.787,0.00056145,-0.0078326,1,0.6021,11.282,11.25,2
23.757,0.00069923,-0.011718,1,0.70245,11.382,11.25,2
23.716,0.00088579,-0.015949,1,0.8028,11.483,11.25,2
23.658,0.0011516,-0.020539,1,0.90315,11.583,11.25,2
23.581,0.0015471,-0.025549,1,1.0035,11.684,11.25,2
23.492,0.0019753,-0.031096,1,1.1038,11.784,11.25,2
23.334,0.0015125,-0.037409,1,1.2042,11.884,11.25,2
22.873,-0.0016391,-0.044274,1,1.3046,11.985,11.25,2
22.617,-0.0036043,-0.050843,1,1.4049,12.085,11.25,2
22.634,-0.0030904,-0.057355,1,1.5052,12.185,11.25,2
22.571,-0.0025256,-0.064422,1,1.6056,12.286,11.25,2
22.471,-0.0022278,-0.07223,1,1.7059,12.386,11.25,2
22.396,-0.0020897,-0.080759,1,1.8063,12.486,11.25,2
22.356,-0.0020561,-0.089933,1,1.9066,12.587,11.25,2
22.335,-0.0021053,-0.099711,1,2.007,12.687,11.25,2
22.318,-0.0022395,-0.11024,1,2.1073,12.787,11.25,2
22.303,-0.0024354,-0.12145,1,2.2077,12.888,11.25,2
22.29,-0.0026876,-0.13331,1,2.3081,12.988,11.25,2
22.279,-0.0029986,-0.14585,1,2.4084,13.088,11.25,2
22.27,-0.0033736,-0.15906,1,2.5087,13.189,11.25,2
22.264,-0.0038554,-0.17321,1,2.6091,13.289,11.25,2
22.259,-0.0044486,-0.18814,1,2.7094,13.389,11.25,2
22.255,-0.0051615,-0.20381,1,2.8098,13.49,11.25,2
22.252,-0.0060053,-0.22022,1,2.9101,13.59,11.25,2
22.251,-0.0070592,-0.23766,1,3.0105,13.691,11.25,2
22.251,-0.0083239,-0.25602,1,3.1108,13.791,11.25,2
22.252,-0.009779,-0.27516,1,3.2112,13.891,11.25,2
22.255,-0.011434,-0.2951,1,3.3116,13.992,11.25,2
22.259,-0.013428,-0.31633,1,3.4119,14.092,11.25,2
22.265,-0.015624,-0.33837,1,3.5122,14.192,11.25,2
22.272,-0.018008,-0.36119,1,3.6126,14.293,11.25,2
22.281,-0.020655,-0.38523,1,3.7129,14.393,11.25,2
22.293,-0.023426,-0.41017,1,3.8133,14.493,11.25,2
22.306,-0.026257,-0.43578,1,3.9136,14.594,11.25,2
22.323,-0.029069,-0.46233,1,4.014,14.694,11.25,2
22.343,-0.031639,-0.48929,1,4.1143,14.794,11.25,2
22.366,-0.033968,-0.51631,1,4.2147,14.895,11.25,2
22.396,-0.035582,-0.54267,1,4.3151,14.995,11.25,2
22.43,-0.036316,-0.56669,1,4.4154,15.095,11.25,2
22.468,-0.036409,-0.58891,1,4.5157,15.196,11.25,2
22.516,-0.034458,-0.60201,1,4.6161,15.296,11.25,2
22.566,-0.031514,-0.60838,1,4.7164,15.396,11.25,2
22.619,-0.027235,-0.60568,1,4.8168,15.497,11.25,2
22.672,-0.021573,-0.58732,1,4.9171,15.597,11.25,2
22.723,-0.015531,-0.56243,1,5.0175,15.698,11.25,2
