U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
14.765,14.766,14.766,14.76566667,1,,,,7.68,11.25,6.845
14.754,14.755,14.755,14.75466667,0.999255029,,,,7.7804,11.25,6.845
14.742,14.743,14.743,14.74266667,0.998442332,,,,7.8807,11.25,6.845
14.729,14.73,14.731,14.73,0.997584487,,,,7.9811,11.25,6.845
14.717,14.718,14.718,14.71766667,0.996749216,,,,8.0814,11.25,6.845
14.703,14.704,14.704,14.70366667,0.99580107,,,,8.1818,11.25,6.845
14.688,14.689,14.69,14.689,0.994807775,,,,8.2821,11.25,6.845
14.674,14.674,14.675,14.67433333,0.99381448,,,,8.3825,11.25,6.845
14.657,14.658,14.659,14.658,0.99270831,,,,8.4828,11.25,6.845
14.64,14.641,14.642,14.641,0.99155699,,,,8.5831,11.25,6.845
14.623,14.624,14.625,14.624,0.990405671,,,,8.6835,11.25,6.845
14.604,14.605,14.606,14.605,0.989118902,,,,8.7838,11.25,6.845
14.584,14.585,14.586,14.585,0.987764408,,,,8.8842,11.25,6.845
14.564,14.564,14.566,14.56466667,0.98638734,,,,8.9846,11.25,6.845
14.541,14.541,14.544,14.542,0.984852247,,,,9.0849,11.25,6.845
14.517,14.518,14.52,14.51833333,0.98324943,,,,9.1853,11.25,6.845
14.493,14.493,14.496,14.494,0.981601463,,,,9.2856,11.25,6.845
14.465,14.466,14.47,14.467,0.979772897,,,,9.386,11.25,6.845
14.438,14.439,14.443,14.44,0.97794433,,,,9.4863,11.25,6.845
14.407,14.408,14.413,14.40933333,0.97586744,,,,9.5866,11.25,6.845
14.376,14.376,14.382,14.378,0.9737454,,,,9.687,11.25,6.845
14.342,14.341,14.349,14.344,0.971442761,,,,9.7873,11.25,6.845
14.305,14.305,14.313,14.30766667,0.968982098,,,,9.8877,11.25,6.845
14.267,14.265,14.276,14.26933333,0.966385986,,,,9.9881,11.25,6.845
14.225,14.223,14.235,14.22766667,0.963564124,,,,10.088,11.25,6.845
14.18,14.177,14.192,14.183,0.960539088,,,,10.189,11.25,6.845
14.132,14.128,14.145,14.135,0.957288304,,,,10.289,11.25,6.845
14.079,14.073,14.095,14.08233333,0.953721471,,,,10.389,11.25,6.845
14.023,14.016,14.041,14.02666667,0.949951464,,,,10.49,11.25,6.845
13.96,13.951,13.982,13.96433333,0.945729959,,,,10.59,11.25,6.845
13.894,13.882,13.919,13.89833333,0.94126013,,,,10.691,11.25,6.845
13.818,13.804,13.848,13.82333333,0.93618078,,,,10.791,11.25,6.845
13.736,13.718,13.771,13.74166667,0.930649931,,,,10.891,11.25,6.845
13.646,13.624,13.687,13.65233333,0.92459986,,,,10.992,11.25,6.845
13.542,13.515,13.589,13.54866667,0.917579069,,,,11.092,11.25,6.845
13.431,13.399,13.486,13.43866667,0.910129354,,,,11.192,11.25,6.845
13.304,13.265,13.369,13.31266667,0.901596045,,,,11.293,11.25,6.845
13.15,13.104,13.226,13.16,0.891256744,,,,11.393,11.25,6.845
12.976,12.921,13.065,12.98733333,0.87956295,,,,11.493,11.25,6.845
12.77,12.705,12.876,12.78366667,0.865769691,,,,11.594,11.25,6.845
12.535,12.462,12.657,12.55133333,0.850034991,,,,11.694,11.25,6.845
12.29,12.224,12.423,12.31233333,0.833848793,,,,11.794,11.25,6.845
11.965,11.892,12.132,11.99633333,0.812447796,,,,11.895,11.25,6.845
11.416,11.279,11.657,11.45066667,0.775492697,,,,11.995,11.25,6.845
10.908,10.769,11.184,10.95366667,0.741833533,,,,12.095,11.25,6.845
10.7,10.622,10.927,10.74966667,0.728017699,,,,12.196,11.25,6.845
10.503,10.459,10.696,10.55266667,0.714675937,,,,12.296,11.25,6.845
10.298,10.265,10.47,10.34433333,0.70056663,,,,12.396,11.25,6.845
10.147,10.122,10.292,10.187,0.689911281,,,,12.497,11.25,6.845
10.059,10.047,10.18,10.09533333,0.683703185,,,,12.597,11.25,6.845
9.9985,9.9913,10.102,10.0306,0.679319141,,,,12.698,11.25,6.845
9.923,9.9161,10.016,9.9517,0.673975664,,,,12.798,11.25,6.845
9.8424,9.8366,9.9246,9.867866667,0.668298079,,,,12.898,11.25,6.845
9.7691,9.7643,9.8393,9.7909,0.663085536,,,,12.999,11.25,6.845
9.7043,9.7004,9.7627,9.722466667,0.658450911,,,,13.099,11.25,6.845
9.6472,9.6435,9.6951,9.661933333,0.65435131,,,,13.199,11.25,6.845
9.5967,9.5926,9.636,9.608433333,0.65072804,,,,13.3,11.25,6.845
9.5507,9.5454,9.5815,9.5592,0.647393729,,,,13.4,11.25,6.845
9.5076,9.5005,9.5307,9.512933333,0.644260334,,,,13.5,11.25,6.845
9.467,9.4579,9.4832,9.469366667,0.641309795,,,,13.601,11.25,6.845
9.4288,9.418,9.4403,9.429033333,0.638578233,,,,13.701,11.25,6.845
9.3927,9.38,9.399,9.390566667,0.635973091,,,,13.801,11.25,6.845
9.3578,9.3435,9.3595,9.3536,0.633469535,,,,13.902,11.25,6.845
9.3239,9.3084,9.3222,9.318166667,0.631069824,,,,14.002,11.25,6.845
9.2912,9.275,9.2866,9.284266667,0.628773958,,,,14.102,11.25,6.845
9.259,9.2427,9.2518,9.251166667,0.626532271,,,,14.203,11.25,6.845
9.2273,9.2115,9.2181,9.218966667,0.624351536,,,,14.303,11.25,6.845
9.1959,9.1812,9.1854,9.1875,0.622220466,,,,14.403,11.25,6.845
9.165,9.1523,9.1535,9.156933333,0.620150349,,,,14.504,11.25,6.845
9.1343,9.1241,9.1223,9.1269,0.618116351,,,,14.604,11.25,6.845
9.1039,9.0966,9.0914,9.0973,0.616111701,,,,14.705,11.25,6.845
9.0741,9.0705,9.0618,9.0688,0.614181547,,,,14.805,11.25,6.845
9.0448,9.0451,9.0329,9.040933333,0.612294286,,,,14.905,11.25,6.845
9.0162,9.0201,9.0044,9.013566667,0.610440888,,,,15.006,11.25,6.845
8.9887,8.9967,8.9777,8.9877,0.608689076,,,,15.106,11.25,6.845
8.9618,8.9738,8.9514,8.962333333,0.606971127,,,,15.206,11.25,6.845
8.9365,8.9515,8.9269,8.9383,0.605343477,,,,15.307,11.25,6.845
8.9123,8.9306,8.9039,8.9156,0.603806127,,,,15.407,11.25,6.845
8.8892,8.9101,8.8813,8.893533333,0.602311669,,,,15.507,11.25,6.845
8.8683,8.8909,8.8615,8.873566667,0.600959433,,,,15.608,11.25,6.845
8.8482,8.8725,8.8425,8.8544,0.599661377,,,,15.708,11.25,6.845
8.83,8.855,8.825,8.836666667,0.598460392,,,,15.808,11.25,6.845
8.8132,8.8387,8.8091,8.820333333,0.597354223,,,,15.909,11.25,6.845
8.7974,8.823,8.7941,8.804833333,0.59630449,,,,16.009,11.25,6.845
8.7837,8.8089,8.7811,8.791233333,0.595383435,,,,16.109,11.25,6.845
8.7706,8.7953,8.7686,8.778166667,0.594498499,,,,16.21,11.25,6.845
8.7592,8.7832,8.7577,8.7667,0.593721922,,,,16.31,11.25,6.845
8.7487,8.7718,8.7474,8.755966667,0.592995011,,,,16.41,11.25,6.845
8.7392,8.7614,8.7383,8.7463,0.592340339,,,,16.511,11.25,6.845
8.7308,8.7522,8.7298,8.7376,0.591751134,,,,16.611,11.25,6.845
8.7229,8.7437,8.7221,8.729566667,0.591207079,,,,16.712,11.25,6.845
8.7163,8.7367,8.715,8.722666667,0.590739779,,,,16.812,11.25,6.845
8.71,8.7299,8.7083,8.716066667,0.590292796,,,,16.912,11.25,6.845
8.7048,8.7249,8.7022,8.710633333,0.589924826,,,,17.013,11.25,6.845
8.6999,8.7202,8.6963,8.705466667,0.589574915,,,,17.113,11.25,6.845
8.6958,8.7169,8.6909,8.7012,0.589285956,,,,17.213,11.25,6.845
8.692,8.7141,8.6854,8.697166667,0.5890128,,,,17.314,11.25,6.845
8.6889,8.7123,8.6806,8.693933333,0.588793824,,,,17.414,11.25,6.845
8.686,8.7114,8.6753,8.6909,0.588588392,,,,17.514,11.25,6.845
8.6836,8.7112,8.6707,8.6885,0.588425853,,,,17.615,11.25,6.845
8.6815,8.7119,8.6655,8.6863,0.588276858,,,,17.715,11.25,6.845
