U:0,U:0,U:0,,,Points:2,
14.228,14.231,14.231,14.23,0.963765662,5,0
14.228,14.231,14.231,14.23,0.963765662,5.0338,0.015022222
14.228,14.231,14.231,14.23,0.963765662,5.0675,0.03
14.228,14.231,14.231,14.23,0.963765662,5.1013,0.045022222
14.229,14.232,14.232,14.231,0.96383339,5.135,0.06
14.23,14.232,14.233,14.23166667,0.963878542,5.1687,0.074977778
14.231,14.233,14.233,14.23233333,0.963923693,5.2025,0.09
14.231,14.234,14.234,14.233,0.963968845,5.2362,0.104977778
14.232,14.235,14.235,14.234,0.964036573,5.27,0.12
14.233,14.235,14.236,14.23466667,0.964081725,5.3038,0.135022222
14.234,14.236,14.237,14.23566667,0.964149453,5.3375,0.15
14.236,14.238,14.239,14.23766667,0.964284908,5.3713,0.165022222
14.238,14.24,14.241,14.23966667,0.964420363,5.405,0.18
14.24,14.242,14.243,14.24166667,0.964555819,5.4387,0.194977778
14.242,14.244,14.245,14.24366667,0.964691274,5.4725,0.21
14.243,14.246,14.247,14.24533333,0.964804154,5.5062,0.224977778
14.245,14.248,14.249,14.24733333,0.964939609,5.54,0.24
14.247,14.249,14.251,14.249,0.965052489,5.5738,0.255022222
14.25,14.252,14.254,14.252,0.965255672,5.6075,0.27
14.253,14.255,14.257,14.255,0.965458855,5.6413,0.285022222
14.256,14.258,14.26,14.258,0.965662039,5.675,0.3
14.259,14.261,14.263,14.261,0.965865222,5.7087,0.314977778
14.262,14.264,14.266,14.264,0.966068405,5.7425,0.33
14.265,14.267,14.269,14.267,0.966271588,5.7762,0.344977778
14.268,14.27,14.272,14.27,0.966474771,5.81,0.36
14.272,14.273,14.276,14.27366667,0.966723106,5.8438,0.375022222
14.276,14.277,14.28,14.27766667,0.966994017,5.8775,0.39
14.28,14.281,14.284,14.28166667,0.967264928,5.9113,0.405022222
14.284,14.286,14.288,14.286,0.967558415,5.945,0.42
14.288,14.29,14.292,14.29,0.967829326,5.9788,0.435022222
14.292,14.294,14.297,14.29433333,0.968122813,6.0125,0.45
14.296,14.298,14.301,14.29833333,0.968393724,6.0462,0.464977778
14.301,14.302,14.305,14.30266667,0.968687211,6.08,0.48
14.306,14.307,14.31,14.30766667,0.969025849,6.1137,0.494977778
14.311,14.312,14.316,14.313,0.969387064,6.1475,0.51
14.316,14.317,14.321,14.318,0.969725703,6.1813,0.525022222
14.321,14.322,14.326,14.323,0.970064341,6.215,0.54
14.327,14.328,14.331,14.32866667,0.970448132,6.2488,0.555022222
14.332,14.333,14.336,14.33366667,0.970786771,6.2825,0.57
14.337,14.338,14.342,14.339,0.971147985,6.3162,0.584977778
14.343,14.344,14.348,14.345,0.971554352,6.35,0.6
14.349,14.35,14.354,14.351,0.971960718,6.3837,0.614977778
14.355,14.356,14.36,14.357,0.972367084,6.4175,0.63
14.361,14.362,14.366,14.363,0.972773451,6.4513,0.645022222
14.368,14.368,14.372,14.36933333,0.973202393,6.485,0.66
14.374,14.374,14.378,14.37533333,0.973608759,6.5188,0.675022222
14.38,14.38,14.385,14.38166667,0.974037702,6.5525,0.69
14.386,14.387,14.391,14.388,0.974466644,6.5862,0.704977778
14.393,14.394,14.398,14.395,0.974940738,6.62,0.72
14.4,14.401,14.405,14.402,0.975414832,6.6537,0.734977778
14.407,14.408,14.412,14.409,0.975888927,6.6875,0.75
14.414,14.415,14.419,14.416,0.976363021,6.7213,0.765022222
14.421,14.422,14.426,14.423,0.976837115,6.755,0.78
14.428,14.429,14.433,14.43,0.977311209,6.7888,0.795022222
14.435,14.436,14.44,14.437,0.977785303,6.8225,0.81
14.443,14.443,14.447,14.44433333,0.978281973,6.8562,0.824977778
14.45,14.451,14.455,14.452,0.978801219,6.89,0.84
14.458,14.458,14.462,14.45933333,0.979297889,6.9237,0.854977778
14.465,14.466,14.469,14.46666667,0.979794559,6.9575,0.87
14.473,14.473,14.477,14.47433333,0.980313805,6.9913,0.885022222
14.48,14.481,14.484,14.48166667,0.980810475,7.025,0.9
14.488,14.488,14.492,14.48933333,0.981329721,7.0588,0.915022222
14.495,14.496,14.499,14.49666667,0.981826391,7.0925,0.93
14.503,14.504,14.507,14.50466667,0.982368213,7.1262,0.944977778
14.511,14.511,14.515,14.51233333,0.982887459,7.16,0.96
14.519,14.519,14.523,14.52033333,0.983429281,7.1937,0.974977778
14.527,14.527,14.53,14.528,0.983948527,7.2275,0.99
14.534,14.535,14.538,14.53566667,0.984467773,7.2613,1.005022222
14.542,14.543,14.546,14.54366667,0.985009595,7.295,1.02
14.55,14.55,14.554,14.55133333,0.985528841,7.3288,1.035022222
14.558,14.558,14.561,14.559,0.986048087,7.3625,1.05
14.565,14.566,14.569,14.56666667,0.986567333,7.3962,1.064977778
14.573,14.574,14.577,14.57466667,0.987109155,7.43,1.08
14.581,14.582,14.584,14.58233333,0.9876284,7.4637,1.094977778
14.589,14.589,14.592,14.59,0.988147646,7.4975,1.11
14.597,14.597,14.6,14.598,0.988689468,7.5312,1.124977778
14.604,14.605,14.608,14.60566667,0.989208714,7.565,1.14
14.612,14.612,14.615,14.613,0.989705384,7.5988,1.155022222
14.619,14.62,14.622,14.62033333,0.990202054,7.6325,1.17
14.627,14.627,14.63,14.628,0.9907213,7.6663,1.185022222
14.634,14.635,14.637,14.63533333,0.99121797,7.7,1.2
14.642,14.642,14.645,14.643,0.991737216,7.7337,1.214977778
14.649,14.65,14.652,14.65033333,0.992233886,7.7675,1.23
14.657,14.657,14.66,14.658,0.992753132,7.8012,1.244977778
14.664,14.665,14.666,14.665,0.993227227,7.835,1.26
14.671,14.672,14.673,14.672,0.993701321,7.8688,1.275022222
14.678,14.679,14.68,14.679,0.994175415,7.9025,1.29
14.685,14.686,14.687,14.686,0.994649509,7.9363,1.305022222
14.692,14.693,14.694,14.693,0.995123603,7.97,1.32
14.699,14.7,14.701,14.7,0.995597697,8.0037,1.334977778
14.706,14.707,14.708,14.707,0.996071791,8.0375,1.35
14.713,14.713,14.715,14.71366667,0.99652331,8.0712,1.364977778
14.719,14.72,14.721,14.72,0.996952252,8.105,1.38
