U:0,U:0,U:0,,,Points:2
14.033,13.725,13.725,13.82766667,0.936516537,5
14.032,13.725,13.725,13.82733333,0.936493961,5.0338
14.032,13.725,13.725,13.82733333,0.936493961,5.0675
14.032,13.725,13.725,13.82733333,0.936493961,5.1013
14.035,13.725,13.726,13.82866667,0.936584265,5.135
14.037,13.726,13.727,13.83,0.936674568,5.1687
14.039,13.726,13.728,13.831,0.936742296,5.2025
14.042,13.727,13.729,13.83266667,0.936855176,5.2362
14.044,13.728,13.73,13.834,0.936945479,5.27
14.047,13.728,13.731,13.83533333,0.937035783,5.3038
14.05,13.729,13.733,13.83733333,0.937171238,5.3375
14.055,13.73,13.736,13.84033333,0.937374421,5.3713
14.061,13.732,13.738,13.84366667,0.937600181,5.405
14.066,13.734,13.741,13.847,0.93782594,5.4387
14.072,13.736,13.744,13.85066667,0.938074275,5.4725
14.077,13.738,13.746,13.85366667,0.938277458,5.5062
14.083,13.739,13.749,13.857,0.938503217,5.54
14.088,13.741,13.752,13.86033333,0.938728976,5.5738
14.096,13.744,13.756,13.86533333,0.939067615,5.6075
14.104,13.748,13.761,13.871,0.939451405,5.6413
14.112,13.751,13.765,13.876,0.939790044,5.675
14.12,13.755,13.77,13.88166667,0.940173835,5.7087
14.128,13.759,13.774,13.887,0.940535049,5.7425
14.136,13.762,13.779,13.89233333,0.940896264,5.7762
14.144,13.766,13.783,13.89766667,0.941257478,5.81
14.153,13.77,13.789,13.904,0.941686421,5.8438
14.163,13.776,13.796,13.91166667,0.942205667,5.8775
14.172,13.782,13.802,13.91866667,0.942679761,5.9113
14.182,13.788,13.809,13.92633333,0.943199007,5.945
14.191,13.794,13.815,13.93333333,0.943673101,5.9788
14.201,13.8,13.822,13.941,0.944192347,6.0125
14.211,13.806,13.829,13.94866667,0.944711593,6.0462
14.221,13.812,13.836,13.95633333,0.945230839,6.08
14.232,13.821,13.845,13.966,0.94588554,6.1137
14.242,13.83,13.854,13.97533333,0.946517666,6.1475
14.252,13.839,13.863,13.98466667,0.947149791,6.1813
14.263,13.847,13.872,13.994,0.947781917,6.215
14.273,13.856,13.881,14.00333333,0.948414042,6.2488
14.284,13.865,13.89,14.013,0.949068744,6.2825
14.295,13.874,13.899,14.02266667,0.949723445,6.3162
14.306,13.885,13.91,14.03366667,0.95046845,6.35
14.317,13.896,13.922,14.045,0.951236031,6.3837
14.328,13.908,13.933,14.05633333,0.952003612,6.4175
14.338,13.92,13.945,14.06766667,0.952771193,6.4513
14.349,13.931,13.956,14.07866667,0.953516198,6.485
14.361,13.943,13.968,14.09066667,0.954328931,6.5188
14.372,13.955,13.979,14.102,0.955096512,6.5525
14.383,13.967,13.992,14.114,0.955909245,6.5862
14.394,13.982,14.006,14.12733333,0.956812281,6.62
14.405,13.996,14.02,14.14033333,0.957692742,6.6537
14.415,14.01,14.033,14.15266667,0.958528051,6.6875
14.426,14.025,14.047,14.166,0.959431087,6.7213
14.437,14.039,14.061,14.179,0.960311548,6.755
14.449,14.053,14.075,14.19233333,0.961214584,6.7888
14.46,14.068,14.089,14.20566667,0.96211762,6.8225
14.471,14.084,14.105,14.22,0.963088385,6.8562
14.481,14.101,14.121,14.23433333,0.964059149,6.89
14.492,14.117,14.136,14.24833333,0.965007337,6.9237
14.502,14.133,14.152,14.26233333,0.965955525,6.9575
14.513,14.149,14.168,14.27666667,0.96692629,6.9913
14.524,14.166,14.184,14.29133333,0.96791963,7.025
14.535,14.182,14.199,14.30533333,0.968867818,7.0588
14.545,14.199,14.216,14.32,0.969861158,7.0925
14.555,14.216,14.232,14.33433333,0.970831922,7.1262
14.565,14.234,14.249,14.34933333,0.971847838,7.16
14.575,14.251,14.265,14.36366667,0.972818603,7.1937
14.585,14.268,14.282,14.37833333,0.973811943,7.2275
14.596,14.285,14.299,14.39333333,0.974827859,7.2613
14.606,14.303,14.315,14.408,0.975821199,7.295
14.616,14.32,14.332,14.42266667,0.976814539,7.3288
14.625,14.336,14.347,14.436,0.977717575,7.3625
14.634,14.353,14.364,14.45033333,0.97868834,7.3962
14.643,14.37,14.38,14.46433333,0.979636528,7.43
14.652,14.386,14.396,14.478,0.98056214,7.4637
14.662,14.403,14.412,14.49233333,0.981532904,7.4975
14.672,14.42,14.428,14.50666667,0.982503669,7.5312
14.681,14.436,14.444,14.52033333,0.983429281,7.565
14.689,14.451,14.459,14.533,0.984287166,7.5988
14.697,14.466,14.474,14.54566667,0.98514505,7.6325
14.705,14.481,14.488,14.558,0.985980359,7.6663
14.713,14.497,14.503,14.571,0.98686082,7.7
14.722,14.512,14.518,14.584,0.98774128,7.7337
14.731,14.527,14.533,14.597,0.988621741,7.7675
14.739,14.542,14.547,14.60933333,0.989457049,7.8012
14.747,14.555,14.56,14.62066667,0.99022463,7.835
14.754,14.568,14.573,14.63166667,0.990969635,7.8688
14.761,14.581,14.586,14.64266667,0.99171464,7.9025
14.768,14.594,14.599,14.65366667,0.992459646,7.9363
14.775,14.608,14.611,14.66466667,0.993204651,7.97
14.783,14.621,14.624,14.676,0.993972232,8.0037
14.79,14.634,14.637,14.687,0.994717237,8.0375
14.797,14.646,14.649,14.69733333,0.99541709,8.0712
14.803,14.657,14.66,14.70666667,0.996049215,8.105
14.809,14.668,14.67,14.71566667,0.996658765,8.1388
14.816,14.679,14.681,14.72533333,0.997313467,8.1725
14.822,14.69,14.692,14.73466667,0.997945592,8.2063
14.828,14.701,14.703,14.744,0.998577718,8.24
14.835,14.712,14.714,14.75366667,0.999232419,8.2738
14.841,14.722,14.724,14.76233333,0.999819393,8.3075
14.846,14.731,14.733,14.77,1.000338639,8.3413
14.851,14.74,14.742,14.77766667,1.000857885,8.375
