"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
22.235,0.037794,-1.1336,22.254,0.024798,-1.1544,1,0,13.53,11.445,5
22.322,0.25001,-1.1195,22.339,0.2417,-1.14,1,0.03375,13.53,11.445,5.0338
22.409,0.46223,-1.1053,22.425,0.45861,-1.1255,1,0.0675,13.53,11.445,5.0675
22.431,0.63486,-1.0625,22.447,0.63681,-1.0834,1,0.10125,13.53,11.445,5.1013
22.331,0.77444,-1.0012,22.35,0.78299,-1.0235,1,0.135,13.53,11.445,5.135
22.128,0.93257,-0.9644,22.151,0.94789,-0.98703,1,0.16875,13.53,11.445,5.1687
21.924,1.0907,-0.92756,21.953,1.1128,-0.95055,1,0.2025,13.53,11.445,5.2025
21.721,1.2488,-0.89072,21.754,1.2777,-0.91408,1,0.23625,13.53,11.445,5.2362
21.517,1.407,-0.85387,21.556,1.4426,-0.8776,1,0.27,13.53,11.445,5.27
21.314,1.5651,-0.81703,21.357,1.6075,-0.84113,1,0.30375,13.53,11.445,5.3038
21.134,1.7046,-0.77235,21.182,1.7527,-0.79738,1,0.3375,13.53,11.445,5.3375
21.09,1.7369,-0.68287,21.142,1.7848,-0.71203,1,0.37125,13.53,11.445,5.3713
20.964,1.7678,-0.63028,21.02,1.8136,-0.66244,1,0.405,13.53,11.445,5.405
20.839,1.7988,-0.5777,20.899,1.8425,-0.61284,1,0.43875,13.53,11.445,5.4387
20.713,1.8297,-0.52512,20.777,1.8713,-0.56325,1,0.4725,13.53,11.445,5.4725
20.588,1.8607,-0.47254,20.655,1.9002,-0.51365,1,0.50625,13.53,11.445,5.5062
20.462,1.8916,-0.41995,20.533,1.929,-0.46405,1,0.54,13.53,11.445,5.54
20.337,1.9226,-0.36737,20.411,1.9578,-0.41446,1,0.57375,13.53,11.445,5.5738
20.307,1.9036,-0.3066,20.385,1.938,-0.3563,1,0.6075,13.53,11.445,5.6075
20.301,1.8626,-0.26014,20.382,1.8961,-0.31127,1,0.64125,13.53,11.445,5.6413
20.297,1.8164,-0.22151,20.38,1.849,-0.27354,1,0.675,13.53,11.445,5.675
