U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
21.96,21.069,21.13,21.38633333,0.897793264,,,,16.68,11.25,5
22.023,21.104,21.191,21.43933333,0.900018191,,,,16.68,11.25,5.0338
22.087,21.115,21.253,21.485,0.901935267,,,,16.68,11.25,5.0675
22.021,21.046,21.266,21.44433333,0.90022809,,,,16.68,11.25,5.1013
21.816,20.905,21.193,21.30466667,0.894364916,,,,16.68,11.25,5.135
21.611,20.764,21.056,21.14366667,0.887606174,,,,16.68,11.25,5.1687
21.406,20.624,20.92,20.98333333,0.880875418,,,,16.68,11.25,5.2025
21.201,20.483,20.783,20.82233333,0.874116676,,,,16.68,11.25,5.2362
20.996,20.342,20.647,20.66166667,0.867371927,,,,16.68,11.25,5.27
20.791,20.228,20.51,20.50966667,0.860991002,,,,16.68,11.25,5.3038
20.599,20.175,20.385,20.38633333,0.855813498,,,,16.68,11.25,5.3375
20.481,20.098,20.325,20.30133333,0.852245218,,,,16.68,11.25,5.3713
20.363,20.021,20.219,20.201,0.848033248,,,,16.68,11.25,5.405
20.245,19.944,20.114,20.101,0.843835271,,,,16.68,11.25,5.4387
20.127,19.867,20.008,20.00066667,0.839623302,,,,16.68,11.25,5.4725
20.009,19.79,19.903,19.90066667,0.835425325,,,,16.68,11.25,5.5062
19.891,19.714,19.798,19.801,0.831241342,,,,16.68,11.25,5.54
19.774,19.687,19.692,19.71766667,0.827743028,,,,16.68,11.25,5.5738
19.729,19.662,19.662,19.68433333,0.826343702,,,,16.68,11.25,5.6075
19.701,19.638,19.644,19.661,0.825364174,,,,16.68,11.25,5.6413
19.674,19.614,19.625,19.63766667,0.824384647,,,,16.68,11.25,5.675
19.646,19.59,19.606,19.614,0.823391125,,,,16.68,11.25,5.7087
19.618,19.566,19.586,19.59,0.822383611,,,,16.68,11.25,5.7425
19.591,19.542,19.567,19.56666667,0.821404083,,,,16.68,11.25,5.7762
19.563,19.527,19.547,19.54566667,0.820522508,,,,16.68,11.25,5.81
19.536,19.509,19.524,19.523,0.819570967,,,,16.68,11.25,5.8438
19.509,19.482,19.498,19.49633333,0.818451506,,,,16.68,11.25,5.8775
19.483,19.455,19.472,19.47,0.817346039,,,,16.68,11.25,5.9113
19.456,19.429,19.447,19.444,0.816254565,,,,16.68,11.25,5.945
19.429,19.402,19.421,19.41733333,0.815135105,,,,16.68,11.25,5.9788
19.403,19.375,19.395,19.391,0.814029638,,,,16.68,11.25,6.0125
