"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7529,0.00019189,0.18575,9.7825,0.00010663,0.15982,1,0,7.68,11.25,6.845
9.7405,0.00018163,0.19354,9.7715,0.00011189,0.16677,1,0.10035,7.7804,11.25,6.845
9.7282,0.00017136,0.20132,9.7606,0.00011714,0.17373,1,0.2007,7.8807,11.25,6.845
9.7158,0.00016109,0.2091,9.7497,0.0001224,0.18069,1,0.30105,7.9811,11.25,6.845
9.7034,0.00015083,0.21688,9.7387,0.00012765,0.18764,1,0.4014,8.0814,11.25,6.845
9.6898,0.00013162,0.22556,9.7267,0.00013372,0.19545,1,0.50175,8.1818,11.25,6.845
9.6741,9.676e-05,0.2358,9.7127,0.00014119,0.20475,1,0.6021,8.2821,11.25,6.845
9.6583,6.1899e-05,0.24604,9.6987,0.00014867,0.21405,1,0.70245,8.3825,11.25,6.845
9.6426,2.7038e-05,0.25629,9.6847,0.00015615,0.22335,1,0.8028,8.4828,11.25,6.845
9.6268,-7.8231e-06,0.26653,9.6707,0.00016363,0.23266,1,0.90315,8.5831,11.25,6.845
9.6078,-8.2653e-05,0.27919,9.6539,0.00017388,0.24428,1,1.0035,8.6835,11.25,6.845
9.5879,-0.00016966,0.29258,9.6362,0.00018496,0.2566,1,1.1038,8.7838,11.25,6.845
9.5679,-0.00025667,0.30597,9.6184,0.00019605,0.26893,1,1.2042,8.8842,11.25,6.845
9.548,-0.00034367,0.31936,9.6007,0.00020714,0.28126,1,1.3046,8.9846,11.25,6.845
9.525,-0.00049005,0.3351,9.5803,0.00022198,0.29586,1,1.4049,9.0849,11.25,6.845
9.4999,-0.00067729,0.35245,9.558,0.00023939,0.31202,1,1.5053,9.1853,11.25,6.845
9.4748,-0.00086454,0.3698,9.5357,0.00025681,0.32819,1,1.6056,9.2856,11.25,6.845
9.4497,-0.0010518,0.38715,9.5134,0.00027423,0.34436,1,1.706,9.386,11.25,6.845
9.4194,-0.0013805,0.40843,9.4866,0.00030053,0.36437,1,1.8063,9.4863,11.25,6.845
9.3878,-0.0017442,0.43069,9.4588,0.00032903,0.38533,1,1.9067,9.5866,11.25,6.845
9.3563,-0.0021079,0.45295,9.4309,0.00035753,0.40628,1,2.007,9.687,11.25,6.845
9.3218,-0.0025735,0.47738,9.4006,0.00039261,0.42936,1,2.1073,9.7873,11.25,6.845
9.2821,-0.0032203,0.50568,9.3659,0.00043939,0.45621,1,2.2077,9.8877,11.25,6.845
9.2424,-0.0038671,0.53397,9.3312,0.00048618,0.48305,1,2.3081,9.9881,11.25,6.845
9.2003,-0.0046076,0.56399,9.2946,0.00053952,0.51158,1,2.4084,10.088,11.25,6.845
9.1503,-0.0056542,0.59967,9.2517,0.00061426,0.54557,1,2.5088,10.189,11.25,6.845
9.1002,-0.0067007,0.63535,9.2087,0.000689,0.57957,1,2.6091,10.289,11.25,6.845
9.0448,-0.0079261,0.67462,9.1617,0.00077894,0.61697,1,2.7095,10.389,11.25,6.845
8.9813,-0.0094238,0.71935,9.1087,0.00089201,0.65956,1,2.8098,10.49,11.25,6.845
8.9177,-0.010922,0.76409,9.0556,0.0010051,0.70214,1,2.9102,10.59,11.25,6.845
8.8399,-0.012646,0.81798,8.9925,0.001154,0.75311,1,3.0105,10.691,11.25,6.845
8.759,-0.01442,0.87389,8.9272,0.0013107,0.80593,1,3.1108,10.791,11.25,6.845
8.667,-0.016035,0.93645,8.8545,0.0014817,0.86454,1,3.2112,10.891,11.25,6.845
8.5629,-0.017475,1.0062,8.7736,0.0016681,0.92945,1,3.3116,10.992,11.25,6.845
8.4521,-0.018236,1.08,8.6889,0.0018458,0.99734,1,3.4119,11.092,11.25,6.845
8.3292,-0.017755,1.1609,8.5971,0.0020075,1.0706,1,3.5123,11.192,11.25,6.845
8.191,-0.015923,1.2557,8.4958,0.0021418,1.1554,1,3.6126,11.293,11.25,6.845
8.032,-0.012258,1.3693,8.3819,0.0022388,1.2556,1,3.713,11.393,11.25,6.845
7.7433,-0.00013856,1.5044,8.192,0.0022793,1.3721,1,3.8133,11.493,11.25,6.845
7.6208,0.0121,1.6635,8.0881,0.0023709,1.5048,1,3.9137,11.594,11.25,6.845
7.7789,0.023406,1.8579,8.1305,0.0025512,1.6607,1,4.014,11.694,11.25,6.845
7.2216,0.063142,1.9819,7.805,0.054603,1.7833,1,4.1143,11.794,11.25,6.845
6.5643,0.11029,2.0294,7.4138,0.12205,1.8574,1,4.2147,11.895,11.25,6.845
6.1436,0.16115,1.8458,7.0901,0.2034,1.7755,1,4.3151,11.995,11.25,6.845
6.2289,0.20009,1.6269,7.0319,0.25045,1.6307,1,4.4154,12.095,11.25,6.845
6.706,0.22979,1.3808,7.1795,0.27092,1.4373,1,4.5158,12.196,11.25,6.845
6.5279,0.26093,1.2503,7.0098,0.27577,1.2817,1,4.6161,12.296,11.25,6.845
6.2797,0.28865,1.1416,6.8036,0.27835,1.138,1,4.7165,12.396,11.25,6.845
6.1244,0.29749,1.0656,6.6295,0.28001,1.0302,1,4.8168,12.497,11.25,6.845
6.006,0.3028,0.99269,6.4886,0.28155,0.93113,1,4.9172,12.597,11.25,6.845
5.9429,0.30282,0.92426,6.3974,0.28289,0.84533,1,5.0175,12.698,11.25,6.845
5.8866,0.30202,0.86031,6.3224,0.2841,0.76738,1,5.1178,12.798,11.25,6.845
