U:0,U:0,U:0,U0_avg,a_U0avg,,Points:0,x/d
9.7529,9.754,9.754,9.753633333,1,,7.68,-0.96
9.7405,9.7416,9.7418,9.7413,0.998735514,,7.7804,-0.937688889
9.7282,9.7293,9.7296,9.729033333,0.997477863,,7.8807,-0.9154
9.7158,9.7171,9.7173,9.716733333,0.996216794,,7.9811,-0.893088889
9.7034,9.7049,9.7049,9.7044,0.994952308,,8.0814,-0.8708
9.6898,9.6914,9.6914,9.690866667,0.993564791,,8.1818,-0.848488889
9.6741,9.6756,9.6758,9.675166667,0.991955135,,8.2821,-0.8262
9.6583,9.66,9.6602,9.6595,0.990348896,,8.3825,-0.803888889
9.6426,9.6444,9.6445,9.643833333,0.988742657,,8.4828,-0.7816
9.6268,9.6289,9.6287,9.628133333,0.987133,,8.5831,-0.759311111
9.6078,9.61,9.6099,9.609233333,0.985195261,,8.6835,-0.737
9.5879,9.5901,9.5902,9.5894,0.98316183,,8.7838,-0.714711111
9.5679,9.5705,9.5704,9.5696,0.981131818,,8.8842,-0.6924
9.548,9.5508,9.5504,9.549733333,0.97909497,,8.9846,-0.670088889
9.525,9.528,9.5276,9.526866667,0.976750544,,9.0849,-0.6478
9.4999,9.5029,9.5027,9.501833333,0.974183979,,9.1853,-0.625488889
9.4748,9.4783,9.4778,9.476966667,0.971634502,,9.2856,-0.6032
9.4497,9.4537,9.4527,9.452033333,0.96907819,,9.386,-0.580888889
9.4194,9.4235,9.4227,9.421866667,0.965985325,,9.4863,-0.5586
9.3878,9.3922,9.3914,9.390466667,0.962766012,,9.5866,-0.536311111
9.3563,9.3615,9.36,9.359266667,0.959567204,,9.687,-0.514
9.3218,9.3275,9.3256,9.324966667,0.956050566,,9.7873,-0.491711111
9.2821,9.2879,9.2864,9.285466667,0.952000793,,9.8877,-0.4694
9.2424,9.2494,9.2469,9.246233333,0.94797836,,9.9881,-0.447088889
9.2003,9.2082,9.205,9.2045,0.943699613,,10.088,-0.424888889
9.1503,9.1582,9.1557,9.154733333,0.938597241,,10.189,-0.402444444
9.1002,9.1099,9.106,9.105366667,0.933535879,,10.289,-0.380222222
9.0448,9.0556,9.0512,9.050533333,0.927914042,,10.389,-0.358
8.9813,8.9928,8.9893,8.9878,0.921482251,,10.49,-0.335555556
8.9177,8.9319,8.9259,8.925166667,0.915060712,,10.59,-0.313333333
8.8399,8.8545,8.8509,8.848433333,0.907193559,,10.691,-0.290888889
8.759,8.7764,8.7717,8.769033333,0.899053002,,10.791,-0.268666667
8.667,8.6861,8.6828,8.678633333,0.889784661,,10.891,-0.246444444
8.5629,8.584,8.5835,8.5768,0.879344108,,10.992,-0.224
8.4521,8.4754,8.4763,8.467933333,0.868182455,,11.092,-0.201777778
