U:0,U:0,U:0,U0_avg,a_U0avg,a_U0_RT1-1,,,Points:2,r/R
9.2312,9.2343,9.2345,9.233333333,1.00000,1,,,5,0
9.2307,9.2338,9.234,9.232833333,0.99995,0.999945836,,,5.0338,0.015022222
9.2302,9.2333,9.2335,9.232333333,0.99989,0.999891672,,,5.0675,0.03
9.2304,9.2335,9.2337,9.232533333,0.99991,0.999913337,,,5.1013,0.045022222
9.2314,9.2345,9.2348,9.233566667,1.00003,1.000021666,,,5.135,0.06
9.2324,9.2355,9.2358,9.234566667,1.00013,1.000129994,,,5.1687,0.074977778
9.2334,9.2365,9.2368,9.235566667,1.00024,1.000238322,,,5.2025,0.09
9.2345,9.2375,9.2378,9.2366,1.00035,1.000357483,,,5.2362,0.104977778
9.2355,9.2386,9.2388,9.237633333,1.00047,1.000465812,,,5.27,0.12
9.2365,9.2396,9.2398,9.238633333,1.00057,1.00057414,,,5.3038,0.135022222
9.2375,9.2407,9.2408,9.239666667,1.00069,1.000682468,,,5.3375,0.15
9.2385,9.2418,9.2419,9.240733333,1.00080,1.000790796,,,5.3713,0.165022222
9.2395,9.2429,9.2429,9.241766667,1.00091,1.000899125,,,5.405,0.18
9.2406,9.244,9.2439,9.242833333,1.00103,1.001018286,,,5.4387,0.194977778
9.2416,9.2451,9.2449,9.243866667,1.00114,1.001126614,,,5.4725,0.21
9.2426,9.2462,9.2459,9.2449,1.00125,1.001234942,,,5.5062,0.224977778
9.2436,9.2473,9.2469,9.245933333,1.00136,1.001343271,,,5.54,0.24
9.2446,9.2484,9.248,9.247,1.00148,1.001451599,,,5.5738,0.255022222
9.2473,9.2511,9.2506,9.249666667,1.00177,1.001744085,,,5.6075,0.27
9.2503,9.2541,9.2536,9.252666667,1.00209,1.00206907,,,5.6413,0.285022222
9.2533,9.2571,9.2566,9.255666667,1.00242,1.002394055,,,5.675,0.3
9.2563,9.2601,9.2596,9.258666667,1.00274,1.00271904,,,5.7087,0.314977778
9.2593,9.2631,9.2626,9.261666667,1.00307,1.003044025,,,5.7425,0.33
9.2623,9.2661,9.2656,9.264666667,1.00339,1.003369009,,,5.7762,0.344977778
9.2653,9.2691,9.2686,9.267666667,1.00372,1.003693994,,,5.81,0.36
9.2683,9.2722,9.2716,9.2707,1.00405,1.004018979,,,5.8438,0.375022222
9.2713,9.2752,9.2746,9.2737,1.00437,1.004343964,,,5.8775,0.39
9.2743,9.2783,9.2776,9.276733333,1.00470,1.004668949,,,5.9113,0.405022222
9.2773,9.2814,9.2806,9.279766667,1.00503,1.004993934,,,5.945,0.42
9.2802,9.2844,9.2836,9.282733333,1.00535,1.005308086,,,5.9788,0.435022222
9.2832,9.2875,9.2866,9.285766667,1.00568,1.00563307,,,6.0125,0.45
9.2862,9.2906,9.2896,9.2888,1.00601,1.005958055,,,6.0462,0.464977778
9.2895,9.2939,9.2929,9.2921,1.00636,1.006315539,,,6.08,0.48
9.2945,9.2989,9.2978,9.297066667,1.00690,1.00685718,,,6.1137,0.494977778
9.2995,9.3039,9.3028,9.302066667,1.00744,1.007398821,,,6.1475,0.51
9.3044,9.3088,9.3077,9.306966667,1.00797,1.00792963,,,6.1813,0.525022222
9.3094,9.3138,9.3127,9.311966667,1.00852,1.008471271,,,6.215,0.54
