"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2343,-0.039583,0.093398,9.3069,-0.037266,0.069991,1,0,9.48,11.055,5
9.2338,-0.039573,0.099726,9.3064,-0.037236,0.075824,1,0.03375,9.48,11.055,5.0338
9.2333,-0.039562,0.10605,9.3059,-0.037206,0.081656,1,0.0675,9.48,11.055,5.0675
9.2335,-0.039583,0.11238,9.3061,-0.03719,0.08756,1,0.10125,9.48,11.055,5.1013
9.2345,-0.039638,0.11871,9.307,-0.03719,0.093541,1,0.135,9.48,11.055,5.135
9.2355,-0.039693,0.12504,9.308,-0.03719,0.099522,1,0.16875,9.48,11.055,5.1687
9.2365,-0.039748,0.13138,9.3089,-0.03719,0.1055,1,0.2025,9.48,11.055,5.2025
9.2375,-0.039803,0.13771,9.3099,-0.03719,0.11148,1,0.23625,9.48,11.055,5.2362
9.2386,-0.039858,0.14404,9.3108,-0.03719,0.11746,1,0.27,9.48,11.055,5.27
9.2396,-0.039915,0.15037,9.3118,-0.037181,0.12344,1,0.30375,9.48,11.055,5.3038
9.2407,-0.039975,0.15672,9.3127,-0.037149,0.12941,1,0.3375,9.48,11.055,5.3375
9.2418,-0.040035,0.16307,9.3137,-0.037117,0.13537,1,0.37125,9.48,11.055,5.3713
9.2429,-0.040095,0.16942,9.3147,-0.037084,0.14134,1,0.405,9.48,11.055,5.405
9.244,-0.040155,0.17577,9.3156,-0.037052,0.1473,1,0.43875,9.48,11.055,5.4387
9.2451,-0.040215,0.18212,9.3166,-0.03702,0.15327,1,0.4725,9.48,11.055,5.4725
9.2462,-0.040276,0.18847,9.3176,-0.036988,0.15923,1,0.50625,9.48,11.055,5.5062
9.2473,-0.040336,0.19482,9.3186,-0.036956,0.1652,1,0.54,9.48,11.055,5.54
9.2484,-0.040396,0.20116,9.3195,-0.036923,0.17116,1,0.57375,9.48,11.055,5.5738
9.2511,-0.04046,0.20736,9.3221,-0.036907,0.17701,1,0.6075,9.48,11.055,5.6075
9.2541,-0.040526,0.21353,9.3251,-0.036894,0.18284,1,0.64125,9.48,11.055,5.6413
9.2571,-0.040592,0.2197,9.328,-0.036881,0.18866,1,0.675,9.48,11.055,5.675
9.2601,-0.040657,0.22586,9.331,-0.036868,0.19448,1,0.70875,9.48,11.055,5.7087
9.2631,-0.040723,0.23203,9.334,-0.036855,0.20031,1,0.7425,9.48,11.055,5.7425
9.2661,-0.040788,0.23819,9.3369,-0.036842,0.20613,1,0.77625,9.48,11.055,5.7762
9.2691,-0.040801,0.24434,9.3399,-0.03676,0.21194,1,0.81,9.48,11.055,5.81
9.2722,-0.040781,0.25046,9.3429,-0.036636,0.21773,1,0.84375,9.48,11.055,5.8438
9.2752,-0.040762,0.25659,9.3458,-0.036511,0.22353,1,0.8775,9.48,11.055,5.8775
9.2783,-0.040742,0.26272,9.3488,-0.036387,0.22932,1,0.91125,9.48,11.055,5.9113
9.2814,-0.040722,0.26884,9.3518,-0.036262,0.23512,1,0.945,9.48,11.055,5.945
9.2844,-0.040703,0.27497,9.3547,-0.036138,0.24091,1,0.97875,9.48,11.055,5.9788
9.2875,-0.040683,0.2811,9.3577,-0.036014,0.24671,1,1.0125,9.48,11.055,6.0125
9.2906,-0.040663,0.28722,9.3607,-0.035889,0.2525,1,1.0462,9.48,11.055,6.0462
9.2939,-0.040654,0.29327,9.3639,-0.035783,0.2582,1,1.08,9.48,11.055,6.08
9.2989,-0.040704,0.29883,9.3688,-0.035783,0.26336,1,1.1137,9.48,11.055,6.1137
9.3039,-0.040754,0.30439,9.3736,-0.035782,0.26852,1,1.1475,9.48,11.055,6.1475
9.3088,-0.040805,0.30995,9.3784,-0.035781,0.27368,1,1.1813,9.48,11.055,6.1813
9.3138,-0.040855,0.31551,9.3833,-0.035781,0.27884,1,1.215,9.48,11.055,6.215
9.3187,-0.040905,0.32107,9.3881,-0.03578,0.284,1,1.2488,9.48,11.055,6.2488
9.3237,-0.040955,0.32663,9.393,-0.03578,0.28916,1,1.2825,9.48,11.055,6.2825
9.3287,-0.040804,0.33211,9.3978,-0.035575,0.29427,1,1.3162,9.48,11.055,6.3162
9.3337,-0.040642,0.33759,9.4027,-0.035362,0.29939,1,1.35,9.48,11.055,6.35
9.3387,-0.040481,0.34307,9.4075,-0.035148,0.3045,1,1.3837,9.48,11.055,6.3837
9.3437,-0.04032,0.34855,9.4124,-0.034934,0.30961,1,1.4175,9.48,11.055,6.4175
9.3487,-0.040159,0.35403,9.4172,-0.034721,0.31473,1,1.4513,9.48,11.055,6.4513
9.3537,-0.039998,0.35951,9.4221,-0.034507,0.31984,1,1.485,9.48,11.055,6.485
9.3587,-0.039837,0.36499,9.4269,-0.034293,0.32496,1,1.5188,9.48,11.055,6.5188
9.3637,-0.039676,0.37047,9.4318,-0.034079,0.33007,1,1.5525,9.48,11.055,6.5525
9.3699,-0.039592,0.37526,9.4377,-0.033967,0.33446,1,1.5862,9.48,11.055,6.5862
9.3772,-0.039591,0.3793,9.4448,-0.033963,0.33808,1,1.62,9.48,11.055,6.62
9.3845,-0.03959,0.38335,9.4518,-0.033959,0.34169,1,1.6537,9.48,11.055,6.6537
9.3919,-0.039589,0.3874,9.4589,-0.033956,0.34531,1,1.6875,9.48,11.055,6.6875
9.3992,-0.039588,0.39144,9.4659,-0.033952,0.34892,1,1.7213,9.48,11.055,6.7213
9.4065,-0.039587,0.39549,9.473,-0.033948,0.35254,1,1.755,9.48,11.055,6.755
9.4139,-0.039465,0.3995,9.48,-0.033828,0.35613,1,1.7888,9.48,11.055,6.7888
9.4211,-0.039042,0.40346,9.487,-0.033423,0.35969,1,1.8225,9.48,11.055,6.8225
9.4284,-0.038619,0.40741,9.4941,-0.033017,0.36325,1,1.8562,9.48,11.055,6.8562
9.4357,-0.038197,0.41137,9.5011,-0.032612,0.36681,1,1.89,9.48,11.055,6.89
9.443,-0.037774,0.41532,9.5081,-0.032206,0.37037,1,1.9237,9.48,11.055,6.9237
9.4502,-0.037351,0.41927,9.5151,-0.031801,0.37393,1,1.9575,9.48,11.055,6.9575
9.4575,-0.036929,0.42323,9.5221,-0.031395,0.37748,1,1.9913,9.48,11.055,6.9913
9.4648,-0.036506,0.42718,9.5291,-0.03099,0.38104,1,2.025,9.48,11.055,7.025
9.4721,-0.036084,0.43114,9.5362,-0.030584,0.3846,1,2.0588,9.48,11.055,7.0588
9.4803,-0.035983,0.43305,9.5439,-0.030509,0.38612,1,2.0925,9.48,11.055,7.0925
9.4887,-0.035956,0.43449,9.5518,-0.03051,0.38717,1,2.1262,9.48,11.055,7.1262
9.4971,-0.035929,0.43594,9.5598,-0.03051,0.38823,1,2.16,9.48,11.055,7.16
9.5055,-0.035902,0.43738,9.5677,-0.03051,0.38929,1,2.1937,9.48,11.055,7.1937
9.5139,-0.035875,0.43883,9.5756,-0.030511,0.39034,1,2.2275,9.48,11.055,7.2275
9.5223,-0.035848,0.44027,9.5835,-0.030511,0.3914,1,2.2613,9.48,11.055,7.2613
9.5307,-0.035459,0.44169,9.5914,-0.030173,0.39244,1,2.295,9.48,11.055,7.295
9.539,-0.03485,0.4431,9.5993,-0.02963,0.39347,1,2.3288,9.48,11.055,7.3288
9.5472,-0.034241,0.4445,9.6071,-0.029087,0.3945,1,2.3625,9.48,11.055,7.3625
9.5555,-0.033632,0.44591,9.615,-0.028544,0.39553,1,2.3962,9.48,11.055,7.3962
