U:0,U:0,U:0,U0_avg,a_U0avg,,Points:0,x/D
9.7489,9.7496,9.7496,9.749366667,1.000000,,7.68,-0.96
9.7376,9.7384,9.7383,9.7381,0.998844,,7.7804,-0.937688889
9.7245,9.7254,9.7253,9.725066667,0.997508,,7.8807,-0.9154
9.7114,9.7123,9.7122,9.711966667,0.996164,,7.9811,-0.893088889
9.6983,9.6993,9.6992,9.698933333,0.994827,,8.0814,-0.8708
9.6835,9.6846,9.6845,9.6842,0.993316,,8.1818,-0.848488889
9.6681,9.6692,9.6691,9.6688,0.991736,,8.2821,-0.8262
9.6528,9.6539,9.6537,9.653466667,0.990163,,8.3825,-0.803888889
9.6358,9.6371,9.6369,9.6366,0.988433,,8.4828,-0.7816
9.6178,9.6192,9.6189,9.618633333,0.986591,,8.5831,-0.759311111
9.5998,9.6013,9.6009,9.600666667,0.984748,,8.6835,-0.737
9.5798,9.5815,9.581,9.580766667,0.982707,,8.7838,-0.714711111
9.5589,9.5607,9.5601,9.5599,0.980566,,8.8842,-0.6924
9.538,9.5399,9.5392,9.539033333,0.978426,,8.9846,-0.670088889
9.514,9.5161,9.5153,9.515133333,0.975975,,9.0849,-0.6478
9.4898,9.492,9.491,9.490933333,0.973492,,9.1853,-0.625488889
9.4643,9.4669,9.4656,9.4656,0.970894,,9.2856,-0.6032
9.4363,9.4391,9.4376,9.437666667,0.968029,,9.386,-0.580888889
9.4083,9.4115,9.4096,9.4098,0.965170,,9.4863,-0.5586
9.3766,9.3801,9.3778,9.378166667,0.961926,,9.5866,-0.536311111
9.3445,9.3482,9.3455,9.346066667,0.958633,,9.687,-0.514
9.3095,9.3137,9.3103,9.311166667,0.955053,,9.7873,-0.491711111
9.2726,9.2773,9.2732,9.274366667,0.951279,,9.8877,-0.4694
9.2333,9.2386,9.2335,9.235133333,0.947255,,9.9881,-0.447088889
9.1911,9.197,9.1909,9.193,0.942933,,10.088,-0.424888889
9.1463,9.1531,9.1454,9.148266667,0.938345,,10.189,-0.402444444
9.0982,9.1058,9.0966,9.1002,0.933414,,10.289,-0.380222222
9.0464,9.0551,9.0437,9.0484,0.928101,,10.389,-0.358
8.9918,9.0015,8.9879,8.993733333,0.922494,,10.49,-0.335555556
8.9313,8.9424,8.9255,8.933066667,0.916271,,10.59,-0.313333333
8.8683,8.8809,8.8604,8.869866667,0.909789,,10.691,-0.290888889
8.7983,8.8122,8.7876,8.799366667,0.902558,,10.791,-0.268666667
8.7234,8.7387,8.7087,8.7236,0.894786,,10.891,-0.246444444
8.6437,8.6602,8.6251,8.643,0.886519,,10.992,-0.224
8.5544,8.5714,8.5312,8.552333333,0.877219,,11.092,-0.201777778
8.4633,8.4796,8.4342,8.459033333,0.867650,,11.192,-0.179555556
8.3636,8.3769,8.3285,8.356333333,0.857116,,11.293,-0.157111111
8.2512,8.2569,8.2119,8.24,0.845183,,11.393,-0.134888889
8.1338,8.1248,8.0974,8.118666667,0.832738,,11.493,-0.112666667
