U:0,U:0,U:0,U0mean,Error,a ,,Points:2,
9.2115,9.2137,9.2139,9.213033333,0.000166431,0.944875832,,5,0
9.2113,9.2135,9.2136,9.2128,0.000162817,0.944855317,,5.0338,0.015022222
9.211,9.2132,9.2134,9.212533333,0.00016644,0.944824544,,5.0675,0.03
9.2112,9.2133,9.2135,9.212666667,0.000159201,0.944845059,,5.1013,0.045022222
9.2119,9.214,9.2142,9.213366667,0.000159189,0.944916862,,5.135,0.06
9.2125,9.2147,9.2148,9.214,0.000162796,0.944978408,,5.1687,0.074977778
9.2132,9.2154,9.2155,9.2147,0.000162783,0.945050211,,5.2025,0.09
9.2139,9.2161,9.2162,9.2154,0.000162771,0.945122014,,5.2362,0.104977778
9.2146,9.2168,9.2168,9.216066667,0.000159142,0.945193817,,5.27,0.12
9.2152,9.2175,9.2175,9.216733333,0.000166364,0.945255362,,5.3038,0.135022222
9.2161,9.2183,9.2183,9.217566667,0.000159116,0.94534768,,5.3375,0.15
9.2177,9.22,9.2199,9.2192,0.000162704,0.945511801,,5.3713,0.165022222
9.2194,9.2217,9.2216,9.2209,0.000162674,0.94568618,,5.405,0.18
9.2211,9.2234,9.2232,9.222566667,0.00015903,0.945860559,,5.4387,0.194977778
9.2228,9.2251,9.2249,9.224266667,0.000159001,0.946034937,,5.4725,0.21
9.2244,9.2268,9.2265,9.2259,0.000162586,0.946199058,,5.5062,0.224977778
9.2261,9.2285,9.2282,9.2276,0.000162556,0.946373437,,5.54,0.24
9.2278,9.2302,9.2298,9.229266667,0.000158915,0.946547816,,5.5738,0.255022222
9.2303,9.2327,9.2323,9.231766667,0.000158872,0.946804255,,5.6075,0.27
9.233,9.2355,9.235,9.2345,0.000162434,0.947081209,,5.6413,0.285022222
9.2357,9.2382,9.2377,9.2372,0.000162387,0.947358163,,5.675,0.3
9.2384,9.241,9.2403,9.2399,0.000162339,0.947635118,,5.7087,0.314977778
9.2412,9.2437,9.243,9.242633333,0.000155078,0.94792233,,5.7425,0.33
9.2439,9.2465,9.2457,9.245366667,0.000158638,0.948199284,,5.7762,0.344977778
9.2466,9.2492,9.2484,9.248066667,0.000158592,0.948476238,,5.81,0.36
9.2498,9.2525,9.2516,9.2513,0.000162139,0.948804481,,5.8438,0.375022222
9.2536,9.2563,9.2554,9.2551,0.000162073,0.949194268,,5.8775,0.39
9.2574,9.2602,9.2591,9.2589,0.000162006,0.949584056,,5.9113,0.405022222
9.2612,9.264,9.2629,9.2627,0.00016194,0.949973843,,5.945,0.42
9.265,9.2678,9.2667,9.2665,0.000161873,0.950363631,,5.9788,0.435022222
9.2688,9.2716,9.2704,9.270266667,0.000158212,0.950753418,,6.0125,0.45
9.2726,9.2755,9.2742,9.2741,0.000161741,0.951143206,,6.0462,0.464977778
9.2765,9.2795,9.2781,9.278033333,0.000165265,0.951543251,,6.08,0.48
9.2814,9.2844,9.2829,9.2829,0.000161587,0.952045872,,6.1137,0.494977778
9.2863,9.2892,9.2878,9.287766667,0.000157914,0.952548493,,6.1475,0.51
9.2911,9.2941,9.2926,9.2926,0.000161419,0.953040856,,6.1813,0.525022222
9.296,9.299,9.2975,9.2975,0.000161334,0.953543477,,6.215,0.54
9.3009,9.3039,9.3023,9.302366667,0.000157666,0.954046098,,6.2488,0.555022222
9.3057,9.3088,9.3072,9.307233333,0.000164746,0.954538461,,6.2825,0.57
9.3106,9.3137,9.312,9.3121,0.000161081,0.955041082,,6.3162,0.584977778
9.3163,9.3194,9.3177,9.3178,0.000160982,0.955625763,,6.35,0.6
9.3222,9.3253,9.3235,9.323666667,0.000157306,0.956230959,,6.3837,0.614977778
9.328,9.3312,9.3294,9.329533333,0.000164353,0.956825898,,6.4175,0.63
9.3339,9.337,9.3352,9.335366667,0.000157109,0.957431095,,6.4513,0.645022222
9.3398,9.3429,9.3411,9.341266667,0.000157009,0.958036291,,6.485,0.66
9.3456,9.3488,9.347,9.347133333,0.000164043,0.95863123,,6.5188,0.675022222
9.3515,9.3547,9.3528,9.353,0.000160376,0.959236427,,6.5525,0.69
