U:0,a,,Points:2,r/R
8.7435,0.896870416,,5,0
8.7432,0.896839643,,5.0338,0.015022222
8.7429,0.896808871,,5.0675,0.03
8.7428,0.896798613,,5.1013,0.045022222
8.7431,0.896829386,,5.135,0.06
8.7434,0.896860159,,5.1687,0.074977778
8.7437,0.896890931,,5.2025,0.09
8.7439,0.896911446,,5.2362,0.104977778
8.7442,0.896942219,,5.27,0.12
8.7445,0.896972992,,5.3038,0.135022222
8.745,0.89702428,,5.3375,0.15
8.7465,0.897178143,,5.3713,0.165022222
8.748,0.897332007,,5.405,0.18
8.7496,0.897496128,,5.4387,0.194977778
8.7511,0.897649991,,5.4725,0.21
8.7526,0.897803855,,5.5062,0.224977778
8.7542,0.897967976,,5.54,0.24
8.7557,0.898121839,,5.5738,0.255022222
8.7585,0.898409051,,5.6075,0.27
8.7615,0.898716778,,5.6413,0.285022222
8.7646,0.899034763,,5.675,0.3
8.7676,0.89934249,,5.7087,0.314977778
8.7707,0.899660475,,5.7425,0.33
8.7737,0.899968202,,5.7762,0.344977778
8.7768,0.900286186,,5.81,0.36
8.7808,0.900696489,,5.8438,0.375022222
8.7859,0.901219625,,5.8775,0.39
8.7909,0.901732503,,5.9113,0.405022222
8.796,0.902255639,,5.945,0.42
8.8011,0.902778775,,5.9788,0.435022222
8.8061,0.903291653,,6.0125,0.45
8.8112,0.903814789,,6.0462,0.464977778
8.8166,0.904368698,,6.08,0.48
8.8241,0.905138016,,6.1137,0.494977778
8.8316,0.905907333,,6.1475,0.51
8.8391,0.906676651,,6.1813,0.525022222
8.8466,0.907445968,,6.215,0.54
8.8541,0.908215286,,6.2488,0.555022222
8.8616,0.908984603,,6.2825,0.57
8.8691,0.909753921,,6.3162,0.584977778
8.8787,0.910738647,,6.35,0.6
8.8889,0.911784919,,6.3837,0.614977778
8.8991,0.912831191,,6.4175,0.63
8.9093,0.913877463,,6.4513,0.645022222
8.9195,0.914923735,,6.485,0.66
8.9297,0.915970007,,6.5188,0.675022222
8.9398,0.917006021,,6.5525,0.69
8.9513,0.918185641,,6.5862,0.704977778
8.9642,0.919508868,,6.62,0.72
8.977,0.920821836,,6.6537,0.734977778
8.9898,0.922134805,,6.6875,0.75
9.0027,0.923458031,,6.7213,0.765022222
9.0155,0.924771,,6.755,0.78
9.0284,0.926094226,,6.7888,0.795022222
9.0415,0.927437967,,6.8225,0.81
9.0566,0.92898686,,6.8562,0.824977778
9.0717,0.930535753,,6.89,0.84
9.0867,0.932074388,,6.9237,0.854977778
9.1018,0.933623281,,6.9575,0.87
9.1169,0.935172173,,6.9913,0.885022222
9.132,0.936721066,,7.025,0.9
9.147,0.938259701,,7.0588,0.915022222
9.1632,0.939921427,,7.0925,0.93
9.1795,0.941593411,,7.1262,0.944977778
9.1959,0.943275652,,7.16,0.96
9.2123,0.944957893,,7.1937,0.974977778
9.2287,0.946640134,,7.2275,0.99
9.245,0.948312117,,7.2613,1.005022222
9.2614,0.949994358,,7.295,1.02
9.2778,0.951676599,,7.3288,1.035022222
9.2942,0.95335884,,7.3625,1.05
9.3106,0.955041082,,7.3962,1.064977778
9.327,0.956723323,,7.43,1.08
9.3434,0.958405564,,7.4637,1.094977778
9.3598,0.960087805,,7.4975,1.11
9.3762,0.961770046,,7.5312,1.124977778
9.3924,0.963431772,,7.565,1.14
9.4077,0.96500118,,7.5988,1.155022222
9.423,0.966570587,,7.6325,1.17
9.4383,0.968139995,,7.6663,1.185022222
9.4537,0.969719661,,7.7,1.2
9.469,0.971289069,,7.7337,1.214977778
9.4843,0.972858476,,7.7675,1.23
9.4996,0.974427884,,7.8012,1.244977778
9.5135,0.975853686,,7.835,1.26
9.5271,0.977248715,,7.8688,1.275022222
9.5407,0.978643744,,7.9025,1.29
9.5543,0.980038774,,7.9363,1.305022222
9.568,0.98144406,,7.97,1.32
9.5816,0.98283909,,8.0037,1.334977778
9.5952,0.984234119,,8.0375,1.35
9.6079,0.98553683,,8.0712,1.364977778
9.6196,0.986736965,,8.105,1.38
9.6313,0.987937101,,8.1388,1.395022222
9.643,0.989137236,,8.1725,1.41
9.6547,0.990337371,,8.2063,1.425022222
9.6664,0.991537507,,8.24,1.44
9.6781,0.992737642,,8.2738,1.455022222
9.6895,0.993907005,,8.3075,1.47
9.6993,0.994912247,,8.3413,1.485022222
9.7092,0.995927746,,8.375,1.5
