U:0,a_U0,,UMean:0,a_UMean0,,Points:0,x/D
9.7565,1,,9.7867,1,,7.68,-0.96
9.7452,0.9988417978,,9.7768,0.9989884231,,7.7804,-0.9376888889
9.7329,0.9975810998,,9.766,0.9978848846,,7.8807,-0.9154
9.7199,0.9962486547,,9.7545,0.9967098205,,7.9811,-0.8930888889
9.707,0.9949264593,,9.7431,0.9955449743,,8.0814,-0.8708
9.6924,0.993430021,,9.7303,0.9942370768,,8.1818,-0.8484888889
9.6775,0.991902834,,9.7172,0.9928985255,,8.2821,-0.8262
9.6621,0.9903243991,,9.7036,0.9915088845,,8.3825,-0.8038888889
9.6451,0.988581971,,9.6886,0.9899761922,,8.4828,-0.7816
9.6281,0.9868395429,,9.6736,0.9884434999,,8.5831,-0.7593111111
9.6093,0.9849126224,,9.657,0.9867473203,,8.6835,-0.737
9.5899,0.9829242044,,9.6398,0.9849898331,,8.7838,-0.7147111111
9.5695,0.9808332906,,9.6218,0.9831506023,,8.8842,-0.6924
9.5473,0.9785578845,,9.6023,0.9811581023,,8.9846,-0.6700888889
9.5248,0.9762517296,,9.5824,0.9791247305,,9.0849,-0.6478
9.4996,0.9736688362,,9.5602,0.9768563459,,9.1853,-0.6254888889
9.4744,0.9710859427,,9.5379,0.9745777433,,9.2856,-0.6032
9.4458,0.9681545636,,9.5127,0.9720028202,,9.386,-0.5808888889
9.4171,0.965212935,,9.4875,0.969427897,,9.4863,-0.5586
9.3846,0.9618818224,,9.459,0.9665157816,,9.5866,-0.5363111111
9.3517,0.9585097115,,9.4301,0.9635627944,,9.687,-0.514
9.3145,0.9546968688,,9.3977,0.960252179,,9.7873,-0.4917111111
9.2761,0.9507610311,,9.3643,0.9568393841,,9.8877,-0.4694
9.2336,0.9464049608,,9.3275,0.9530791789,,9.9881,-0.4470888889
9.188,0.9417311536,,9.2882,0.949063525,,10.088,-0.4248888889
9.1393,0.9367396095,,9.2464,0.9447924224,,10.189,-0.4024444444
9.0842,0.9310920925,,9.1998,0.9400308582,,10.289,-0.3802222222
9.0255,0.9250755906,,9.1503,0.9349729735,,10.389,-0.358
8.9608,0.9184441142,,9.0962,0.9294450632,,10.49,-0.3355555556
8.8872,0.9109004254,,9.0357,0.9232632041,,10.59,-0.3133333333
8.8064,0.902618767,,8.9701,0.9165602297,,10.691,-0.2908888889
8.7167,0.8934248962,,8.8982,0.9092135245,,10.791,-0.2686666667
8.6129,0.8827858351,,8.8166,0.9008756782,,10.891,-0.2464444444
8.4931,0.8705068416,,8.7244,0.8914547294,,10.992,-0.224
8.3542,0.8562701789,,8.6194,0.8807258831,,11.092,-0.2017777778
8.1986,0.8403218367,,8.5042,0.868954806,,11.192,-0.1795555556
8.0143,0.8214318659,,8.3708,0.8553240622,,11.293,-0.1571111111
7.7859,0.7980218316,,8.2083,0.8387198954,,11.393,-0.1348888889
7.5223,0.7710039461,,8.0231,0.8197962541,,11.493,-0.1126666667
7.2116,0.7391585097,,7.8048,0.7974904718,,11.594,-0.0902222222
6.8579,0.7029057551,,7.5517,0.7716288432,,11.694,-0.068
6.6125,0.6777532927,,7.3299,0.7489654327,,11.794,-0.0457777778
6.0377,0.6188387229,,6.9037,0.7054165347,,11.895,-0.0233333333
4.9907,0.5115256496,,6.2086,0.6343915722,,11.995,-0.0011111111
5.0122,0.5137293087,,6.0257,0.6157029438,,12.095,0.0211111111
5.1356,0.5263772869,,5.9304,0.6059652385,,12.196,0.0435555556
4.7874,0.4906882591,,5.6006,0.5722664432,,12.296,0.0657777778
4.5995,0.4714293035,,5.3559,0.5472631224,,12.396,0.088
4.5592,0.4672987239,,5.2243,0.5338163017,,12.497,0.1104444444
4.5331,0.4646235843,,5.1245,0.5236187888,,12.597,0.1326666667
4.5013,0.4613642187,,5.0319,0.5141569681,,12.698,0.1551111111
4.4674,0.4578896121,,4.9486,0.5056454167,,12.798,0.1773333333
4.4337,0.4544355045,,4.8768,0.4983089295,,12.898,0.1995555556
4.4002,0.4510018962,,4.8154,0.4920351089,,12.999,0.222
4.3661,0.4475067903,,4.7623,0.486609378,,13.099,0.2442222222
4.3308,0.4438886896,,4.7163,0.4819091216,,13.199,0.2664444444
4.2945,0.4401680931,,4.6769,0.4778832497,,13.3,0.2888888889
4.2574,0.4363654999,,4.6437,0.4744908907,,13.4,0.3111111111
4.2199,0.4325219085,,4.6163,0.4716911727,,13.5,0.3333333333
