"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.9816,-0.0015751,0.012424,0,0,0,1,0,7.68,11.055,6.845
9.9807,-0.0017276,0.013113,0,0,0,1,0.10035,7.7804,11.055,6.845
9.9798,-0.0018826,0.013907,0,0,0,1,0.2007,7.8807,11.055,6.845
9.9787,-0.0020515,0.014762,0,0,0,1,0.30105,7.9811,11.055,6.845
9.9777,-0.0022578,0.015617,0,0,0,1,0.4014,8.0814,11.055,6.845
9.9765,-0.0024778,0.016644,0,0,0,1,0.50175,8.1818,11.055,6.845
9.9754,-0.0027322,0.0177,0,0,0,1,0.6021,8.2821,11.055,6.845
9.9742,-0.0030211,0.018812,0,0,0,1,0.70245,8.3825,11.055,6.845
9.9728,-0.0033376,0.020107,0,0,0,1,0.8028,8.4828,11.055,6.845
9.9714,-0.00372,0.021403,0,0,0,1,0.90315,8.5831,11.055,6.845
9.9699,-0.0041531,0.02291,0,0,0,1,1.0035,8.6835,11.055,6.845
9.9684,-0.0046451,0.024491,0,0,0,1,1.1038,8.7838,11.055,6.845
9.9668,-0.0052131,0.026197,0,0,0,1,1.2042,8.8842,11.055,6.845
9.965,-0.0058743,0.028116,0,0,0,1,1.3046,8.9846,11.055,6.845
9.9633,-0.0066177,0.030083,0,0,0,1,1.4049,9.0849,11.055,6.845
9.9613,-0.0075331,0.032397,0,0,0,1,1.5053,9.1853,11.055,6.845
9.9595,-0.0085195,0.034704,0,0,0,1,1.6056,9.2856,11.055,6.845
9.9572,-0.0098045,0.037479,0,0,0,1,1.706,9.386,11.055,6.845
9.9553,-0.011155,0.040235,0,0,0,1,1.8063,9.4863,11.055,6.845
9.9529,-0.012951,0.043529,0,0,0,1,1.9067,9.5866,11.055,6.845
9.9508,-0.014834,0.046832,0,0,0,1,2.007,9.687,11.055,6.845
9.9482,-0.017355,0.050739,0,0,0,1,2.1073,9.7873,11.055,6.845
9.946,-0.020095,0.05476,0,0,0,1,2.2077,9.8877,11.055,6.845
9.9435,-0.023551,0.059318,0,0,0,1,2.3081,9.9881,11.055,6.845
9.9411,-0.027655,0.06425,0,0,0,1,2.4084,10.088,11.055,6.845
9.9391,-0.032282,0.069475,0,0,0,1,2.5088,10.189,11.055,6.845
9.9366,-0.038506,0.075533,0,0,0,1,2.6091,10.289,11.055,6.845
9.9351,-0.04541,0.081803,0,0,0,1,2.7095,10.389,11.055,6.845
9.9339,-0.053731,0.08864,0,0,0,1,2.8098,10.49,11.055,6.845
9.9327,-0.064672,0.096414,0,0,0,1,2.9102,10.59,11.055,6.845
9.933,-0.077259,0.10451,0,0,0,1,3.0105,10.691,11.055,6.845
9.9351,-0.091746,0.11292,0,0,0,1,3.1108,10.791,11.055,6.845
9.9387,-0.11035,0.12221,0,0,0,1,3.2112,10.891,11.055,6.845
9.945,-0.13365,0.13218,0,0,0,1,3.3116,10.992,11.055,6.845
9.9557,-0.16172,0.14241,0,0,0,1,3.4119,11.092,11.055,6.845
9.9722,-0.19358,0.15209,0,0,0,1,3.5123,11.192,11.055,6.845
9.9979,-0.23154,0.16126,0,0,0,1,3.6126,11.293,11.055,6.845
10.039,-0.27474,0.16858,0,0,0,1,3.713,11.393,11.055,6.845
10.099,-0.31876,0.17231,0,0,0,1,3.8133,11.493,11.055,6.845
10.184,-0.35904,0.17039,0,0,0,1,3.9137,11.594,11.055,6.845
10.31,-0.38294,0.15847,0,0,0,1,4.014,11.694,11.055,6.845
10.47,-0.35245,0.1307,0,0,0,1,4.1143,11.794,11.055,6.845
10.624,-0.21676,0.081749,0,0,0,1,4.2147,11.895,11.055,6.845
10.693,0.020818,0.015032,0,0,0,1,4.3151,11.995,11.055,6.845
10.64,0.24443,-0.051342,0,0,0,1,4.4154,12.095,11.055,6.845
10.509,0.37586,-0.10373,0,0,0,1,4.5158,12.196,11.055,6.845
10.364,0.41841,-0.13839,0,0,0,1,4.6161,12.296,11.055,6.845
10.24,0.40684,-0.15795,0,0,0,1,4.7165,12.396,11.055,6.845
10.146,0.37023,-0.16673,0,0,0,1,4.8168,12.497,11.055,6.845
10.08,0.3252,-0.16835,0,0,0,1,4.9172,12.597,11.055,6.845
10.033,0.27995,-0.16538,0,0,0,1,5.0175,12.698,11.055,6.845
9.9999,0.2382,-0.15955,0,0,0,1,5.1178,12.798,11.055,6.845
9.9774,0.20129,-0.15205,0,0,0,1,5.2182,12.898,11.055,6.845
9.9619,0.16945,-0.14364,0,0,0,1,5.3186,12.999,11.055,6.845
9.9514,0.14238,-0.13485,0,0,0,1,5.4189,13.099,11.055,6.845
9.9444,0.11954,-0.12601,0,0,0,1,5.5193,13.199,11.055,6.845
9.9398,0.10055,-0.11746,0,0,0,1,5.6196,13.3,11.055,6.845
9.937,0.08466,-0.10922,0,0,0,1,5.72,13.4,11.055,6.845
9.9357,0.071331,-0.10133,0,0,0,1,5.8203,13.5,11.055,6.845
9.9354,0.060163,-0.093848,0,0,0,1,5.9207,13.601,11.055,6.845
9.9359,0.050808,-0.086809,0,0,0,1,6.021,13.701,11.055,6.845
9.9372,0.043053,-0.08023,0,0,0,1,6.1213,13.801,11.055,6.845
9.9389,0.036603,-0.074134,0,0,0,1,6.2217,13.902,11.055,6.845
9.9408,0.031196,-0.0685,0,0,0,1,6.3221,14.002,11.055,6.845
9.9429,0.026655,-0.063302,0,0,0,1,6.4224,14.102,11.055,6.845
9.9449,0.022848,-0.058531,0,0,0,1,6.5228,14.203,11.055,6.845
9.947,0.019618,-0.054119,0,0,0,1,6.6231,14.303,11.055,6.845
9.9492,0.016889,-0.050052,0,0,0,1,6.7235,14.403,11.055,6.845
9.9514,0.014655,-0.046365,0,0,0,1,6.8238,14.504,11.055,6.845
9.9536,0.012749,-0.042968,0,0,0,1,6.9241,14.604,11.055,6.845
9.9557,0.011111,-0.03984,0,0,0,1,7.0245,14.705,11.055,6.845
9.9578,0.0096934,-0.036955,0,0,0,1,7.1248,14.805,11.055,6.845
9.9597,0.0084839,-0.034302,0,0,0,1,7.2252,14.905,11.055,6.845
9.9617,0.0074992,-0.03191,0,0,0,1,7.3256,15.006,11.055,6.845
9.9635,0.0066425,-0.029696,0,0,0,1,7.4259,15.106,11.055,6.845
9.9652,0.0058718,-0.027646,0,0,0,1,7.5263,15.206,11.055,6.845
9.9669,0.005196,-0.025745,0,0,0,1,7.6266,15.307,11.055,6.845
9.9685,0.004659,-0.024042,0,0,0,1,7.727,15.407,11.055,6.845
9.97,0.0041855,-0.022461,0,0,0,1,7.8273,15.507,11.055,6.845
9.9715,0.0037413,-0.020988,0,0,0,1,7.9276,15.608,11.055,6.845
9.9728,0.0033559,-0.019627,0,0,0,1,8.028,15.708,11.055,6.845
9.9741,0.0030494,-0.0184,0,0,0,1,8.1283,15.808,11.055,6.845
9.9754,0.0027634,-0.017252,0,0,0,1,8.2287,15.909,11.055,6.845
9.9766,0.0024927,-0.016177,0,0,0,1,8.3291,16.009,11.055,6.845
9.9777,0.0022772,-0.015204,0,0,0,1,8.4294,16.109,11.055,6.845
9.9787,0.0020891,-0.014302,0,0,0,1,8.5297,16.21,11.055,6.845
9.9797,0.0018979,-0.013453,0,0,0,1,8.6301,16.31,11.055,6.845
9.9807,0.0017403,-0.012675,0,0,0,1,8.7304,16.41,11.055,6.845
9.9816,0.001611,-0.011959,0,0,0,1,8.8308,16.511,11.055,6.845
9.9824,0.0014733,-0.011283,0,0,0,1,8.9312,16.611,11.055,6.845
9.9832,0.0013582,-0.010659,0,0,0,1,9.0315,16.712,11.055,6.845
9.984,0.001266,-0.010086,0,0,0,1,9.1318,16.812,11.055,6.845
9.9847,0.0011631,-0.0095419,0,0,0,1,9.2322,16.912,11.055,6.845
9.9854,0.0010801,-0.0090413,0,0,0,1,9.3326,17.013,11.055,6.845
9.986,0.0010104,-0.0085774,0,0,0,1,9.4329,17.113,11.055,6.845
9.9866,0.00093149,-0.0081351,0,0,0,1,9.5332,17.213,11.055,6.845
9.9872,0.00087313,-0.0077325,0,0,0,1,9.6336,17.314,11.055,6.845
9.9878,0.0008166,-0.0073529,0,0,0,1,9.7339,17.414,11.055,6.845
9.9883,0.00075647,-0.0069914,0,0,0,1,9.8343,17.514,11.055,6.845
9.9888,0.00071596,-0.0066652,0,0,0,1,9.9347,17.615,11.055,6.845
9.9893,0.00066728,-0.0063515,0,0,0,1,10.035,17.715,11.055,6.845
