U:0,a,,Points:2,
9.9233,1,,5,0
9.9233,1,,5.0338,0.015022222
9.9232,0.999989923,,5.0675,0.03
9.9232,0.999989923,,5.1013,0.045022222
9.9233,1,,5.135,0.06
9.9234,1.000010077,,5.1687,0.074977778
9.9234,1.000010077,,5.2025,0.09
9.9235,1.000020155,,5.2362,0.104977778
9.9236,1.000030232,,5.27,0.12
9.9237,1.000040309,,5.3038,0.135022222
9.9239,1.000060464,,5.3375,0.15
9.9241,1.000080618,,5.3713,0.165022222
9.9243,1.000100773,,5.405,0.18
9.9245,1.000120928,,5.4387,0.194977778
9.9247,1.000141082,,5.4725,0.21
9.9249,1.000161237,,5.5062,0.224977778
9.9252,1.000191469,,5.54,0.24
9.9256,1.000231778,,5.5738,0.255022222
9.9259,1.00026201,,5.6075,0.27
9.9262,1.000292241,,5.6413,0.285022222
9.9265,1.000322473,,5.675,0.3
9.9269,1.000362783,,5.7087,0.314977778
9.9274,1.000413169,,5.7425,0.33
9.9278,1.000453478,,5.7762,0.344977778
9.9283,1.000503865,,5.81,0.36
9.9287,1.000544174,,5.8438,0.375022222
9.9292,1.00059456,,5.8775,0.39
9.9297,1.000644947,,5.9113,0.405022222
9.9303,1.00070541,,5.945,0.42
9.9309,1.000765874,,5.9788,0.435022222
9.9315,1.000826338,,6.0125,0.45
9.932,1.000876724,,6.0462,0.464977778
9.9326,1.000937188,,6.08,0.48
9.9334,1.001017807,,6.1137,0.494977778
9.9341,1.001088348,,6.1475,0.51
9.9348,1.001158889,,6.1813,0.525022222
9.9355,1.00122943,,6.215,0.54
9.9362,1.001299971,,6.2488,0.555022222
9.937,1.001380589,,6.2825,0.57
9.9378,1.001461207,,6.3162,0.584977778
9.9386,1.001541826,,6.35,0.6
9.9395,1.001632521,,6.3837,0.614977778
9.9403,1.00171314,,6.4175,0.63
9.9411,1.001793758,,6.4513,0.645022222
9.9421,1.001894531,,6.485,0.66
9.943,1.001985227,,6.5188,0.675022222
9.9439,1.002075922,,6.5525,0.69
9.9449,1.002176695,,6.5862,0.704977778
9.9458,1.002267391,,6.62,0.72
9.9467,1.002358087,,6.6537,0.734977778
9.9477,1.002458859,,6.6875,0.75
9.9488,1.00256971,,6.7213,0.765022222
9.9498,1.002670483,,6.755,0.78
9.9508,1.002771256,,6.7888,0.795022222
9.9518,1.002872028,,6.8225,0.81
9.9528,1.002972801,,6.8562,0.824977778
9.9539,1.003083652,,6.89,0.84
9.9549,1.003184425,,6.9237,0.854977778
9.956,1.003295275,,6.9575,0.87
9.957,1.003396048,,6.9913,0.885022222
9.9581,1.003506898,,7.025,0.9
9.9591,1.003607671,,7.0588,0.915022222
9.9602,1.003718521,,7.0925,0.93
9.9612,1.003819294,,7.1262,0.944977778
9.9623,1.003930144,,7.16,0.96
9.9634,1.004040994,,7.1937,0.974977778
9.9644,1.004141767,,7.2275,0.99
9.9654,1.00424254,,7.2613,1.005022222
9.9665,1.004353391,,7.295,1.02
9.9675,1.004454163,,7.3288,1.035022222
9.9685,1.004554936,,7.3625,1.05
9.9696,1.004665787,,7.3962,1.064977778
9.9706,1.00476656,,7.43,1.08
9.9715,1.004857255,,7.4637,1.094977778
9.9725,1.004958028,,7.4975,1.11
9.9735,1.005058801,,7.5312,1.124977778
9.9745,1.005159574,,7.565,1.14
9.9754,1.00525027,,7.5988,1.155022222
9.9763,1.005340965,,7.6325,1.17
9.9772,1.005431661,,7.6663,1.185022222
9.9781,1.005522356,,7.7,1.2
9.979,1.005613052,,7.7337,1.214977778
9.9799,1.005703748,,7.7675,1.23
9.9808,1.005794443,,7.8012,1.244977778
9.9816,1.005875062,,7.835,1.26
9.9824,1.00595568,,7.8688,1.275022222
9.9832,1.006036298,,7.9025,1.29
9.984,1.006116917,,7.9363,1.305022222
9.9848,1.006197535,,7.97,1.32
9.9855,1.006268076,,8.0037,1.334977778
9.9862,1.006338617,,8.0375,1.35
9.9869,1.006409158,,8.0712,1.364977778
9.9876,1.006479699,,8.105,1.38
9.9882,1.006540163,,8.1388,1.395022222
9.9889,1.006610704,,8.1725,1.41
9.9895,1.006671168,,8.2063,1.425022222
9.9901,1.006731632,,8.24,1.44
9.9907,1.006792095,,8.2738,1.455022222
9.9913,1.006852559,,8.3075,1.47
9.9919,1.006913023,,8.3413,1.485022222
9.9924,1.006963409,,8.375,1.5
