"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.022316,9.6639,0.10729,0.24908,9.6644,0.10741,0.24826,5.4922,1,0,10.68,12.445,6.845
-0.022543,9.6626,0.10786,0.24992,9.663,0.10797,0.2491,5.5052,1,0.010035,10.69,12.445,6.845
-0.022776,9.6612,0.10837,0.25078,9.6617,0.10849,0.24995,5.5186,1,0.02007,10.7,12.445,6.845
-0.023011,9.6598,0.10887,0.25165,9.6603,0.109,0.25081,5.532,1,0.030105,10.71,12.445,6.845
-0.023245,9.6585,0.10938,0.25251,9.6589,0.10951,0.25167,5.5454,1,0.04014,10.72,12.445,6.845
-0.02348,9.6571,0.10989,0.25338,9.6575,0.11001,0.25253,5.5589,1,0.050175,10.73,12.445,6.845
-0.023714,9.6557,0.11039,0.25424,9.6562,0.11052,0.25339,5.5723,1,0.060209,10.74,12.445,6.845
-0.023948,9.6543,0.1109,0.2551,9.6548,0.11103,0.25425,5.5857,1,0.070245,10.75,12.445,6.845
-0.024183,9.6529,0.1114,0.25597,9.6534,0.11154,0.25511,5.5991,1,0.080279,10.76,12.445,6.845
-0.024417,9.6516,0.11191,0.25683,9.652,0.11205,0.25597,5.6125,1,0.090315,10.77,12.445,6.845
-0.024652,9.6502,0.11241,0.25769,9.6506,0.11256,0.25683,5.6259,1,0.10035,10.78,12.445,6.845
-0.024886,9.6488,0.11292,0.25856,9.6493,0.11307,0.25769,5.6394,1,0.11038,10.79,12.445,6.845
-0.025121,9.6474,0.11343,0.25942,9.6479,0.11357,0.25855,5.6528,1,0.12042,10.8,12.445,6.845
-0.025355,9.646,0.11393,0.26029,9.6465,0.11408,0.25941,5.6662,1,0.13046,10.81,12.445,6.845
-0.025589,9.6447,0.11444,0.26115,9.6451,0.11459,0.26027,5.6796,1,0.14049,10.82,12.445,6.845
-0.025824,9.6433,0.11494,0.26201,9.6437,0.1151,0.26113,5.693,1,0.15053,10.831,12.445,6.845
-0.026082,9.6419,0.11551,0.2629,9.6423,0.11567,0.26202,5.7067,1,0.16056,10.841,12.445,6.845
-0.026362,9.6404,0.1161,0.26383,9.6409,0.11627,0.26294,5.7208,1,0.1706,10.851,12.445,6.845
-0.026649,9.639,0.11665,0.26476,9.6394,0.11682,0.26387,5.7352,1,0.18063,10.861,12.445,6.845
-0.026936,9.6375,0.11721,0.2657,9.638,0.11738,0.2648,5.7496,1,0.19066,10.871,12.445,6.845
-0.027223,9.636,0.11776,0.26663,9.6365,0.11793,0.26573,5.764,1,0.2007,10.881,12.445,6.845
-0.02751,9.6345,0.11831,0.26757,9.635,0.11849,0.26666,5.7784,1,0.21073,10.891,12.445,6.845
