"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.021976,9.6687,0.11411,0.24639,9.67,0.11386,0.24544,5.3186,1,0,10.68,12.53,6.845
-0.022203,9.6674,0.11468,0.24723,9.6687,0.11443,0.24628,5.3308,1,0.010035,10.69,12.53,6.845
-0.02243,9.666,0.11525,0.24807,9.6673,0.11499,0.24712,5.3431,1,0.02007,10.7,12.53,6.845
-0.022657,9.6647,0.11582,0.24891,9.666,0.11556,0.24795,5.3553,1,0.030105,10.71,12.53,6.845
-0.022884,9.6634,0.11639,0.24974,9.6647,0.11613,0.24879,5.3676,1,0.04014,10.72,12.53,6.845
-0.023111,9.6621,0.11696,0.25058,9.6634,0.11669,0.24963,5.3798,1,0.050175,10.73,12.53,6.845
-0.023338,9.6607,0.11753,0.25142,9.662,0.11726,0.25047,5.3921,1,0.060209,10.74,12.53,6.845
-0.023565,9.6594,0.1181,0.25226,9.6607,0.11783,0.25131,5.4043,1,0.070245,10.75,12.53,6.845
-0.023793,9.6581,0.11867,0.25309,9.6594,0.11839,0.25215,5.4166,1,0.080279,10.76,12.53,6.845
-0.02402,9.6567,0.11924,0.25393,9.6581,0.11896,0.25298,5.4289,1,0.090315,10.77,12.53,6.845
-0.024256,9.6554,0.11975,0.25479,9.6567,0.11947,0.25384,5.4417,1,0.10035,10.78,12.53,6.845
-0.024492,9.654,0.12026,0.25565,9.6553,0.11997,0.2547,5.4545,1,0.11038,10.79,12.53,6.845
-0.024727,9.6526,0.12077,0.2565,9.6539,0.12048,0.25556,5.4674,1,0.12042,10.8,12.53,6.845
-0.024963,9.6512,0.12128,0.25736,9.6526,0.12099,0.25641,5.4802,1,0.13046,10.81,12.53,6.845
-0.025199,9.6498,0.12179,0.25822,9.6512,0.1215,0.25727,5.493,1,0.14049,10.82,12.53,6.845
-0.025435,9.6484,0.1223,0.25907,9.6498,0.122,0.25813,5.5059,1,0.15053,10.831,12.53,6.845
-0.025694,9.647,0.12287,0.25996,9.6484,0.12257,0.25901,5.5188,1,0.16056,10.841,12.53,6.845
-0.025972,9.6456,0.12349,0.26086,9.647,0.12319,0.25992,5.5318,1,0.1706,10.851,12.53,6.845
-0.02625,9.6442,0.12411,0.26177,9.6456,0.12381,0.26083,5.5448,1,0.18063,10.861,12.53,6.845
-0.026528,9.6428,0.12473,0.26267,9.6442,0.12443,0.26173,5.5578,1,0.19066,10.871,12.53,6.845
