"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.3801,5.1743,0.18095,-0.66465,5.1841,0.17368,-0.68305,-11.46,1,0,16.53,12.25,5
-1.3816,5.1754,0.18355,-0.66451,5.1853,0.17621,-0.68285,-11.464,1,0.0033751,16.53,12.25,5.0034
-1.3832,5.1764,0.18616,-0.66438,5.1865,0.17875,-0.68264,-11.468,1,0.0067501,16.53,12.25,5.0068
-1.3848,5.1775,0.18876,-0.66425,5.1877,0.18129,-0.68244,-11.472,1,0.010125,16.53,12.25,5.0101
-1.3863,5.1785,0.19137,-0.66411,5.1889,0.18383,-0.68224,-11.475,1,0.0135,16.53,12.25,5.0135
-1.3879,5.1796,0.19397,-0.66398,5.1901,0.18637,-0.68204,-11.479,1,0.016875,16.53,12.25,5.0169
-1.3894,5.1807,0.19657,-0.66385,5.1913,0.18891,-0.68184,-11.483,1,0.02025,16.53,12.25,5.0202
-1.391,5.1817,0.19918,-0.66371,5.1925,0.19145,-0.68164,-11.487,1,0.023625,16.53,12.25,5.0236
-1.3925,5.1828,0.20178,-0.66358,5.1937,0.19398,-0.68144,-11.49,1,0.027,16.53,12.25,5.027
-1.3941,5.1839,0.20439,-0.66344,5.1949,0.19652,-0.68124,-11.494,1,0.030375,16.53,12.25,5.0304
-1.3957,5.1849,0.20699,-0.66331,5.1961,0.19906,-0.68104,-11.498,1,0.03375,16.53,12.25,5.0338
-1.3972,5.186,0.2096,-0.66318,5.1973,0.2016,-0.68084,-11.502,1,0.037125,16.53,12.25,5.0371
-1.3988,5.187,0.2122,-0.66304,5.1985,0.20414,-0.68063,-11.505,1,0.0405,16.53,12.25,5.0405
-1.4003,5.1881,0.21481,-0.66291,5.1997,0.20668,-0.68043,-11.509,1,0.043875,16.53,12.25,5.0439
-1.4019,5.1892,0.21741,-0.66277,5.2009,0.20922,-0.68023,-11.513,1,0.04725,16.53,12.25,5.0472
-1.4034,5.1902,0.22001,-0.66264,5.2021,0.21175,-0.68003,-11.517,1,0.050625,16.53,12.25,5.0506
-1.405,5.1913,0.22262,-0.66251,5.2033,0.21429,-0.67983,-11.521,1,0.054,16.53,12.25,5.054
-1.4066,5.1924,0.22522,-0.66237,5.2045,0.21683,-0.67963,-11.524,1,0.057375,16.53,12.25,5.0574
-1.4081,5.1934,0.22783,-0.66224,5.2057,0.21937,-0.67943,-11.528,1,0.06075,16.53,12.25,5.0608
-1.4097,5.1945,0.23043,-0.66211,5.2069,0.22191,-0.67923,-11.532,1,0.064125,16.53,12.25,5.0641
-1.4115,5.1955,0.23325,-0.66205,5.2081,0.22466,-0.6791,-11.536,1,0.0675,16.53,12.25,5.0675
-1.4141,5.1963,0.23671,-0.66222,5.209,0.22804,-0.67921,-11.539,1,0.070875,16.53,12.25,5.0709
-1.4168,5.1972,0.24017,-0.6624,5.21,0.23142,-0.67933,-11.542,1,0.07425,16.53,12.25,5.0743
-1.4194,5.198,0.24363,-0.66257,5.211,0.23481,-0.67944,-11.546,1,0.077625,16.53,12.25,5.0776
-1.4221,5.1988,0.2471,-0.66275,5.2119,0.23819,-0.67955,-11.549,1,0.081,16.53,12.25,5.081
-1.4247,5.1997,0.25056,-0.66293,5.2129,0.24157,-0.67966,-11.552,1,0.084375,16.53,12.25,5.0844
