"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7489,-9.5352e-06,0.19002,9.7801,8.503e-05,0.16228,1,0,7.68,11.25,6.845
9.7376,-2.4382e-05,0.19694,9.7702,8.7989e-05,0.16835,1,0.10035,7.7804,11.25,6.845
9.7245,-5.1487e-05,0.20517,9.7586,9.0858e-05,0.17562,1,0.2007,7.8807,11.25,6.845
9.7114,-7.8591e-05,0.2134,9.747,9.3728e-05,0.18288,1,0.30105,7.9811,11.25,6.845
9.6983,-0.0001057,0.22162,9.7354,9.6597e-05,0.19015,1,0.4014,8.0814,11.25,6.845
9.6835,-0.00014938,0.23109,9.7223,9.9011e-05,0.19858,1,0.50175,8.1818,11.25,6.845
9.6681,-0.00019896,0.24099,9.7086,0.00010126,0.20741,1,0.6021,8.2821,11.25,6.845
9.6528,-0.00024855,0.25089,9.695,0.00010351,0.21624,1,0.70245,8.3825,11.25,6.845
9.6358,-0.00032083,0.262,9.6798,0.00010489,0.2262,1,0.8028,8.4828,11.25,6.845
9.6178,-0.00040785,0.27389,9.6637,0.00010569,0.2369,1,0.90315,8.5831,11.25,6.845
9.5998,-0.00049486,0.28578,9.6477,0.00010649,0.24759,1,1.0035,8.6835,11.25,6.845
9.5798,-0.00062225,0.29922,9.6298,0.00010544,0.25975,1,1.1038,8.7838,11.25,6.845
9.5589,-0.00076978,0.31344,9.6109,0.00010348,0.27264,1,1.2042,8.8842,11.25,6.845
9.538,-0.00091731,0.32766,9.5921,0.00010152,0.28554,1,1.3046,8.9846,11.25,6.845
9.514,-0.0011519,0.34434,9.5705,9.5286e-05,0.30076,1,1.4049,9.0849,11.25,6.845
9.4898,-0.0013952,0.36127,9.5485,8.8618e-05,0.31623,1,1.5053,9.1853,11.25,6.845
9.4643,-0.001686,0.37919,9.5254,7.9619e-05,0.33264,1,1.6056,9.2856,11.25,6.845
9.4363,-0.0020787,0.39926,9.4998,6.5617e-05,0.35109,1,1.706,9.386,11.25,6.845
9.4083,-0.0024714,0.41932,9.4743,5.1615e-05,0.36954,1,1.8063,9.4863,11.25,6.845
9.3766,-0.0030636,0.44256,9.445,2.8116e-05,0.39104,1,1.9067,9.5866,11.25,6.845
