"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2137,-0.042,0.090982,9.2913,-0.038744,0.067864,1,0,9.48,11.055,5
9.2135,-0.041958,0.0977,9.2911,-0.038733,0.074116,1,0.03375,9.48,11.055,5.0338
9.2132,-0.041895,0.10443,9.2908,-0.038716,0.080361,1,0.0675,9.48,11.055,5.0675
9.2133,-0.04185,0.11118,9.291,-0.038696,0.086617,1,0.10125,9.48,11.055,5.1013
9.214,-0.041836,0.11797,9.2917,-0.038677,0.092888,1,0.135,9.48,11.055,5.135
9.2147,-0.041823,0.12475,9.2923,-0.038658,0.099158,1,0.16875,9.48,11.055,5.1687
9.2154,-0.04181,0.13153,9.293,-0.03864,0.10543,1,0.2025,9.48,11.055,5.2025
9.2161,-0.041796,0.13832,9.2937,-0.038621,0.1117,1,0.23625,9.48,11.055,5.2362
9.2168,-0.041783,0.1451,9.2943,-0.038602,0.11797,1,0.27,9.48,11.055,5.27
9.2175,-0.041756,0.15189,9.295,-0.038577,0.12424,1,0.30375,9.48,11.055,5.3038
9.2183,-0.041706,0.15867,9.2958,-0.038537,0.13049,1,0.3375,9.48,11.055,5.3375
9.22,-0.041713,0.16543,9.2974,-0.038508,0.13671,1,0.37125,9.48,11.055,5.3713
9.2217,-0.04172,0.17219,9.299,-0.038478,0.14293,1,0.405,9.48,11.055,5.405
9.2234,-0.041728,0.17894,9.3006,-0.038448,0.14915,1,0.43875,9.48,11.055,5.4387
9.2251,-0.041735,0.1857,9.3021,-0.038419,0.15537,1,0.4725,9.48,11.055,5.4725
9.2268,-0.041742,0.19245,9.3037,-0.038389,0.16158,1,0.50625,9.48,11.055,5.5062
9.2285,-0.041749,0.19921,9.3053,-0.038359,0.1678,1,0.54,9.48,11.055,5.54
9.2302,-0.041699,0.20597,9.3069,-0.038295,0.17401,1,0.57375,9.48,11.055,5.5738
9.2327,-0.041698,0.21261,9.3093,-0.038245,0.18011,1,0.6075,9.48,11.055,5.6075
9.2355,-0.041708,0.21922,9.3119,-0.038199,0.18618,1,0.64125,9.48,11.055,5.6413
9.2382,-0.041719,0.22584,9.3144,-0.038153,0.19225,1,0.675,9.48,11.055,5.675
9.241,-0.04173,0.23245,9.317,-0.038107,0.19832,1,0.70875,9.48,11.055,5.7087
9.2437,-0.04174,0.23906,9.3195,-0.03806,0.20439,1,0.7425,9.48,11.055,5.7425
9.2465,-0.041751,0.24567,9.3221,-0.038014,0.21047,1,0.77625,9.48,11.055,5.7762
9.2492,-0.041715,0.25228,9.3247,-0.037934,0.21653,1,0.81,9.48,11.055,5.81
9.2525,-0.041678,0.25875,9.3277,-0.037849,0.22246,1,0.84375,9.48,11.055,5.8438
9.2563,-0.041671,0.26507,9.3313,-0.03778,0.22826,1,0.8775,9.48,11.055,5.8775
9.2602,-0.041665,0.27139,9.3348,-0.037711,0.23406,1,0.91125,9.48,11.055,5.9113
9.264,-0.041659,0.27771,9.3384,-0.037642,0.23986,1,0.945,9.48,11.055,5.945
9.2678,-0.041652,0.28403,9.3419,-0.037573,0.24566,1,0.97875,9.48,11.055,5.9788
9.2716,-0.041646,0.29035,9.3455,-0.037504,0.25146,1,1.0125,9.48,11.055,6.0125
9.2755,-0.041612,0.29667,9.3491,-0.037412,0.25725,1,1.0462,9.48,11.055,6.0462
9.2795,-0.041518,0.3029,9.3528,-0.037272,0.26296,1,1.08,9.48,11.055,6.08
9.2844,-0.041474,0.30875,9.3573,-0.037173,0.26833,1,1.1137,9.48,11.055,6.1137
9.2892,-0.041431,0.3146,9.3619,-0.037074,0.2737,1,1.1475,9.48,11.055,6.1475
9.2941,-0.041387,0.32045,9.3665,-0.036975,0.27907,1,1.1813,9.48,11.055,6.1813
9.299,-0.041344,0.32631,9.371,-0.036876,0.28444,1,1.215,9.48,11.055,6.215
9.3039,-0.0413,0.33216,9.3756,-0.036777,0.28981,1,1.2488,9.48,11.055,6.2488
9.3088,-0.041257,0.33801,9.3801,-0.036678,0.29517,1,1.2825,9.48,11.055,6.2825
9.3137,-0.041098,0.34382,9.3847,-0.036476,0.30051,1,1.3162,9.48,11.055,6.3162
9.3194,-0.040989,0.34913,9.39,-0.036328,0.30537,1,1.35,9.48,11.055,6.35
9.3253,-0.040894,0.35432,9.3955,-0.036193,0.31012,1,1.3837,9.48,11.055,6.3837
9.3312,-0.040798,0.35951,9.4011,-0.036059,0.31488,1,1.4175,9.48,11.055,6.4175
9.337,-0.040702,0.3647,9.4066,-0.035924,0.31963,1,1.4513,9.48,11.055,6.4513
9.3429,-0.040606,0.36989,9.4121,-0.03579,0.32438,1,1.485,9.48,11.055,6.485
9.3488,-0.040511,0.37508,9.4176,-0.035655,0.32913,1,1.5188,9.48,11.055,6.5188
9.3547,-0.040322,0.38024,9.4231,-0.035433,0.33386,1,1.5525,9.48,11.055,6.5525
9.361,-0.04012,0.38499,9.429,-0.035206,0.33821,1,1.5862,9.48,11.055,6.5862
9.3677,-0.039965,0.38933,9.4354,-0.035033,0.34216,1,1.62,9.48,11.055,6.62
9.3745,-0.039809,0.39367,9.4417,-0.03486,0.34611,1,1.6537,9.48,11.055,6.6537
9.3812,-0.039654,0.39801,9.448,-0.034687,0.35006,1,1.6875,9.48,11.055,6.6875
9.388,-0.039499,0.40235,9.4544,-0.034514,0.35401,1,1.7213,9.48,11.055,6.7213
9.3947,-0.039344,0.40669,9.4607,-0.034341,0.35797,1,1.755,9.48,11.055,6.755
9.4015,-0.039136,0.41102,9.4671,-0.034117,0.36191,1,1.7888,9.48,11.055,6.7888
9.4083,-0.038818,0.41517,9.4735,-0.033786,0.36568,1,1.8225,9.48,11.055,6.8225
9.4157,-0.038604,0.4185,9.4805,-0.033575,0.36867,1,1.8562,9.48,11.055,6.8562
9.4231,-0.03839,0.42184,9.4874,-0.033365,0.37167,1,1.89,9.48,11.055,6.89
9.4305,-0.038176,0.42518,9.4944,-0.033154,0.37466,1,1.9237,9.48,11.055,6.9237
9.4379,-0.037962,0.42851,9.5014,-0.032943,0.37765,1,1.9575,9.48,11.055,6.9575
9.4453,-0.037748,0.43185,9.5084,-0.032732,0.38064,1,1.9913,9.48,11.055,6.9913
9.4527,-0.037534,0.43518,9.5154,-0.032522,0.38363,1,2.025,9.48,11.055,7.025
9.4601,-0.037117,0.43848,9.5223,-0.032107,0.38659,1,2.0588,9.48,11.055,7.0588
9.4678,-0.036823,0.44091,9.5296,-0.03183,0.38872,1,2.0925,9.48,11.055,7.0925
9.4756,-0.036559,0.44315,9.5369,-0.031587,0.39066,1,2.1262,9.48,11.055,7.1262
9.4834,-0.036295,0.4454,9.5443,-0.031343,0.3926,1,2.16,9.48,11.055,7.16
9.4911,-0.036032,0.44764,9.5516,-0.0311,0.39454,1,2.1937,9.48,11.055,7.1937
9.4989,-0.035768,0.44988,9.559,-0.030857,0.39648,1,2.2275,9.48,11.055,7.2275
9.5067,-0.035504,0.45213,9.5663,-0.030613,0.39841,1,2.2613,9.48,11.055,7.2613
9.5145,-0.035091,0.45434,9.5736,-0.030218,0.40033,1,2.295,9.48,11.055,7.295
9.5223,-0.034685,0.45604,9.581,-0.029837,0.40175,1,2.3288,9.48,11.055,7.3288
9.5302,-0.034386,0.45718,9.5884,-0.02957,0.40263,1,2.3625,9.48,11.055,7.3625
9.5381,-0.034086,0.45833,9.5958,-0.029303,0.4035,1,2.3962,9.48,11.055,7.3962
9.5459,-0.033786,0.45947,9.6033,-0.029036,0.40438,1,2.43,9.48,11.055,7.43
9.5538,-0.033487,0.46062,9.6107,-0.028769,0.40526,1,2.4637,9.48,11.055,7.4637
9.5617,-0.033187,0.46176,9.6181,-0.028502,0.40614,1,2.4975,9.48,11.055,7.4975
9.5696,-0.032812,0.4629,9.6255,-0.028158,0.40701,1,2.5312,9.48,11.055,7.5312
9.5774,-0.032287,0.46387,9.6329,-0.027663,0.40772,1,2.565,9.48,11.055,7.565
9.5851,-0.031968,0.46399,9.6401,-0.027384,0.40762,1,2.5988,9.48,11.055,7.5988
9.5928,-0.031649,0.46412,9.6473,-0.027104,0.40752,1,2.6325,9.48,11.055,7.6325
9.6005,-0.03133,0.46424,9.6545,-0.026824,0.40742,1,2.6663,9.48,11.055,7.6663
9.6082,-0.03101,0.46437,9.6618,-0.026544,0.40731,1,2.7,9.48,11.055,7.7
9.6159,-0.030691,0.46449,9.669,-0.026265,0.40721,1,2.7337,9.48,11.055,7.7337
9.6236,-0.030372,0.46462,9.6762,-0.025985,0.40711,1,2.7675,9.48,11.055,7.7675
9.6312,-0.029792,0.46473,9.6834,-0.025442,0.407,1,2.8012,9.48,11.055,7.8012
9.6386,-0.029418,0.46414,9.6902,-0.025109,0.40622,1,2.835,9.48,11.055,7.835
9.6459,-0.029095,0.46339,9.697,-0.024828,0.40528,1,2.8688,9.48,11.055,7.8688
9.6532,-0.028771,0.46263,9.7038,-0.024547,0.40434,1,2.9025,9.48,11.055,7.9025
9.6605,-0.028448,0.46188,9.7106,-0.024265,0.4034,1,2.9363,9.48,11.055,7.9363
9.6678,-0.028124,0.46113,9.7174,-0.023984,0.40247,1,2.97,9.48,11.055,7.97
9.6751,-0.027801,0.46037,9.7242,-0.023703,0.40153,1,3.0037,9.48,11.055,8.0037
9.6824,-0.027306,0.45962,9.731,-0.023249,0.4006,1,3.0375,9.48,11.055,8.0375
9.6894,-0.026843,0.45853,9.7375,-0.022828,0.39934,1,3.0712,9.48,11.055,8.0712
9.6962,-0.026527,0.45707,9.7437,-0.022555,0.39775,1,3.105,9.48,11.055,8.105
9.7029,-0.026212,0.45561,9.7499,-0.022281,0.39616,1,3.1388,9.48,11.055,8.1388
9.7097,-0.025896,0.45416,9.7562,-0.022007,0.39456,1,3.1725,9.48,11.055,8.1725
9.7165,-0.025581,0.4527,9.7624,-0.021734,0.39297,1,3.2063,9.48,11.055,8.2063
9.7232,-0.025265,0.45124,9.7687,-0.02146,0.39137,1,3.24,9.48,11.055,8.24
9.73,-0.024871,0.44978,9.7749,-0.021109,0.38978,1,3.2738,9.48,11.055,8.2738
9.7366,-0.024327,0.44826,9.781,-0.020609,0.38813,1,3.3075,9.48,11.055,8.3075
9.7427,-0.024028,0.44627,9.7866,-0.02035,0.38606,1,3.3413,9.48,11.055,8.3413
9.7488,-0.023729,0.44428,9.7921,-0.020091,0.38398,1,3.375,9.48,11.055,8.375
