"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.4471,0.3777,0.083654,9.51,0.34077,0.064043,1,0,9.48,13.245,5
9.4466,0.37763,0.089203,9.5098,0.34071,0.06927,1,0.03375,9.48,13.245,5.0338
9.4462,0.37754,0.094906,9.5095,0.34066,0.074655,1,0.0675,9.48,13.245,5.0675
9.4462,0.37731,0.10058,9.5097,0.34045,0.079982,1,0.10125,9.48,13.245,5.1013
9.4466,0.37693,0.10618,9.5103,0.34008,0.085201,1,0.135,9.48,13.245,5.135
9.4471,0.37654,0.11178,9.5109,0.33971,0.09042,1,0.16875,9.48,13.245,5.1687
9.4476,0.37616,0.11738,9.5116,0.33933,0.095638,1,0.2025,9.48,13.245,5.2025
9.448,0.37578,0.12298,9.5122,0.33896,0.10086,1,0.23625,9.48,13.245,5.2362
9.4485,0.37539,0.12858,9.5128,0.33859,0.10608,1,0.27,9.48,13.245,5.27
9.449,0.37502,0.13428,9.5134,0.33824,0.11139,1,0.30375,9.48,13.245,5.3038
9.4496,0.3746,0.14004,9.5142,0.33785,0.11676,1,0.3375,9.48,13.245,5.3375
9.451,0.3739,0.14557,9.5157,0.33716,0.12185,1,0.37125,9.48,13.245,5.3713
9.4523,0.37319,0.1511,9.5172,0.33647,0.12693,1,0.405,9.48,13.245,5.405
9.4537,0.37249,0.15663,9.5187,0.33578,0.13202,1,0.43875,9.48,13.245,5.4387
9.4551,0.37178,0.16216,9.5202,0.33509,0.1371,1,0.4725,9.48,13.245,5.4725
9.4565,0.37107,0.16769,9.5217,0.3344,0.14219,1,0.50625,9.48,13.245,5.5062
9.4578,0.37038,0.17324,9.5232,0.33372,0.1473,1,0.54,9.48,13.245,5.54
9.4593,0.36972,0.17898,9.5248,0.3331,0.1526,1,0.57375,9.48,13.245,5.5738
9.4614,0.36876,0.18439,9.527,0.33216,0.15751,1,0.6075,9.48,13.245,5.6075
9.4637,0.36771,0.18971,9.5293,0.33114,0.16234,1,0.64125,9.48,13.245,5.6413
9.4659,0.36667,0.19503,9.5316,0.33013,0.16716,1,0.675,9.48,13.245,5.675
9.4682,0.36563,0.20036,9.5339,0.32912,0.17199,1,0.70875,9.48,13.245,5.7087
9.4705,0.36459,0.20568,9.5363,0.3281,0.17682,1,0.7425,9.48,13.245,5.7425
9.4728,0.36355,0.211,9.5386,0.32709,0.18165,1,0.77625,9.48,13.245,5.7762
9.4751,0.36257,0.2165,9.541,0.32615,0.18664,1,0.81,9.48,13.245,5.81
9.4779,0.36141,0.22177,9.5438,0.32503,0.19139,1,0.84375,9.48,13.245,5.8438
9.481,0.36002,0.22675,9.5469,0.3237,0.19584,1,0.8775,9.48,13.245,5.8775
9.4842,0.35864,0.23172,9.55,0.32236,0.20028,1,0.91125,9.48,13.245,5.9113
9.4873,0.35725,0.23669,9.553,0.32102,0.20472,1,0.945,9.48,13.245,5.945
9.4904,0.35586,0.24167,9.5561,0.31969,0.20916,1,0.97875,9.48,13.245,5.9788
9.4936,0.35448,0.24664,9.5592,0.31835,0.21361,1,1.0125,9.48,13.245,6.0125
9.4968,0.35314,0.25171,9.5624,0.31707,0.21814,1,1.0462,9.48,13.245,6.0462
