"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00886e-01,1.08099e+00,2.18735e+01,9.27012e+00,7.92127e+00,1.30869e-01,1.84731e+00,1,0.00000e+00,7.68000e+00,1.14450e+01,6.84500e+00
1.12769e-01,1.23939e+00,2.11357e+01,9.51044e+00,7.53987e+00,1.22575e-01,1.91982e+00,1,1.00350e-01,7.78035e+00,1.14450e+01,6.84500e+00
1.24653e-01,1.39780e+00,2.03980e+01,9.75075e+00,7.15848e+00,1.14282e-01,1.99234e+00,1,2.00700e-01,7.88070e+00,1.14450e+01,6.84500e+00
1.36536e-01,1.55620e+00,1.96602e+01,9.99107e+00,6.77708e+00,1.05989e-01,2.06485e+00,1,3.01050e-01,7.98105e+00,1.14450e+01,6.84500e+00
1.48420e-01,1.71461e+00,1.89225e+01,1.02314e+01,6.39569e+00,9.76957e-02,2.13736e+00,1,4.01400e-01,8.08140e+00,1.14450e+01,6.84500e+00
1.60304e-01,1.87302e+00,1.81847e+01,1.04717e+01,6.01429e+00,8.94025e-02,2.20987e+00,1,5.01750e-01,8.18175e+00,1.14450e+01,6.84500e+00
1.72187e-01,2.03142e+00,1.74470e+01,1.07120e+01,5.63290e+00,8.11094e-02,2.28238e+00,1,6.02100e-01,8.28210e+00,1.14450e+01,6.84500e+00
1.84071e-01,2.18983e+00,1.67092e+01,1.09523e+01,5.25150e+00,7.28161e-02,2.35489e+00,1,7.02450e-01,8.38245e+00,1.14450e+01,6.84500e+00
1.95954e-01,2.34823e+00,1.59715e+01,1.11926e+01,4.87011e+00,6.45230e-02,2.42740e+00,1,8.02800e-01,8.48280e+00,1.14450e+01,6.84500e+00
2.01519e-01,2.42363e+00,1.34543e+01,1.13302e+01,4.56818e+00,5.58119e-02,2.39738e+00,1,9.03150e-01,8.58315e+00,1.14450e+01,6.84500e+00
2.01586e-01,2.42683e+00,9.38914e+00,1.13783e+01,4.33539e+00,4.67374e-02,2.27814e+00,1,1.00350e+00,8.68350e+00,1.14450e+01,6.84500e+00
