"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.307,9.9392,-6.7087e-05,0.055525,9.9403,-0.00015226,0.054012,1,0,7.68,11.25,6.845
1.3376,9.9352,-5.2315e-05,0.05779,9.9363,-0.00015993,0.056235,1,0.10035,7.7804,11.25,6.845
1.3683,9.9312,-3.7543e-05,0.060056,9.9324,-0.00016759,0.058458,1,0.2007,7.8807,11.25,6.845
1.399,9.9272,-2.2771e-05,0.062321,9.9285,-0.00017526,0.06068,1,0.30105,7.9811,11.25,6.845
1.4265,9.9237,-6.2716e-06,0.064755,9.9249,-0.00018182,0.063068,1,0.4014,8.0814,11.25,6.845
1.4506,9.9205,1.2005e-05,0.067361,9.9219,-0.00018723,0.065625,1,0.50175,8.1818,11.25,6.845
1.4747,9.9174,3.0282e-05,0.069967,9.9188,-0.00019264,0.068182,1,0.6021,8.2821,11.25,6.845
1.4988,9.9142,4.8558e-05,0.072573,9.9157,-0.00019805,0.070739,1,0.70245,8.3825,11.25,6.845
1.5229,9.9111,6.6835e-05,0.075179,9.9126,-0.00020346,0.073296,1,0.8028,8.4828,11.25,6.845
1.5588,9.9061,0.00011868,0.078432,9.9077,-0.00021276,0.076499,1,0.90315,8.5831,11.25,6.845
1.6049,9.8995,0.00019973,0.082248,9.9013,-0.00022544,0.080264,1,1.0035,8.6835,11.25,6.845
1.6511,9.893,0.00028078,0.086064,9.8948,-0.00023812,0.084029,1,1.1038,8.7838,11.25,6.845
1.6972,9.8865,0.00036183,0.08988,9.8884,-0.0002508,0.087794,1,1.2042,8.8842,11.25,6.845
1.7308,9.8815,0.00044127,0.094325,9.8836,-0.00025729,0.092175,1,1.3046,8.9846,11.25,6.845
1.7636,9.8767,0.0005206,0.098817,9.8788,-0.00026335,0.096599,1,1.4049,9.0849,11.25,6.845
1.7963,9.8719,0.00059993,0.10331,9.8741,-0.0002694,0.10102,1,1.5053,9.1853,11.25,6.845
