"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0951,9.9399,-0.00016763,0.054558,9.9439,-0.0001327,0.048235,1,0,7.68,11.25,6.845
1.1261,9.9359,-0.00018534,0.056795,9.9402,-0.00013968,0.050286,1,0.10035,7.7804,11.25,6.845
1.1571,9.9319,-0.00020304,0.059032,9.9365,-0.00014665,0.052337,1,0.2007,7.8807,11.25,6.845
1.1881,9.9279,-0.00022075,0.061269,9.9328,-0.00015362,0.054387,1,0.30105,7.9811,11.25,6.845
1.2162,9.9243,-0.00023788,0.063673,9.9295,-0.00015949,0.056594,1,0.4014,8.0814,11.25,6.845
1.2413,9.9212,-0.00025443,0.066251,9.9266,-0.00016424,0.058961,1,0.50175,8.1818,11.25,6.845
1.2664,9.918,-0.00027099,0.068828,9.9237,-0.00016899,0.061328,1,0.6021,8.2821,11.25,6.845
1.2915,9.9149,-0.00028754,0.071405,9.9208,-0.00017373,0.063695,1,0.70245,8.3825,11.25,6.845
1.3166,9.9118,-0.00030409,0.073982,9.9179,-0.00017848,0.066062,1,0.8028,8.4828,11.25,6.845
1.3566,9.9068,-0.00034359,0.077196,9.9133,-0.00018688,0.069059,1,0.90315,8.5831,11.25,6.845
1.4096,9.9002,-0.00040305,0.080964,9.9072,-0.00019847,0.072605,1,1.0035,8.6835,11.25,6.845
1.4625,9.8936,-0.00046252,0.084731,9.9011,-0.00021005,0.076151,1,1.1038,8.7838,11.25,6.845
1.5155,9.887,-0.00052198,0.088499,9.895,-0.00022163,0.079697,1,1.2042,8.8842,11.25,6.845
1.5566,9.882,-0.00057087,0.092908,9.8905,-0.00022704,0.083831,1,1.3046,8.9846,11.25,6.845
1.5969,9.8771,-0.00061899,0.097363,9.8861,-0.00023201,0.088008,1,1.4049,9.0849,11.25,6.845
1.6371,9.8723,-0.00066712,0.10182,9.8817,-0.00023698,0.092185,1,1.5053,9.1853,11.25,6.845
1.6773,9.8674,-0.00071525,0.10627,9.8772,-0.00024195,0.096362,1,1.6056,9.2856,11.25,6.845
1.7413,9.8599,-0.00082779,0.11153,9.8705,-0.00025126,0.10136,1,1.706,9.386,11.25,6.845
1.8367,9.8489,-0.0010255,0.11785,9.8606,-0.00026632,0.10743,1,1.8063,9.4863,11.25,6.845
1.932,9.8379,-0.0012232,0.12416,9.8507,-0.00028138,0.1135,1,1.9067,9.5866,11.25,6.845
2.0226,9.8275,-0.0014096,0.13075,9.8414,-0.00029317,0.11982,1,2.007,9.687,11.25,6.845
2.0881,9.8201,-0.0015373,0.13877,9.8349,-0.00028782,0.12742,1,2.1073,9.7873,11.25,6.845
2.1536,9.8126,-0.001665,0.1468,9.8284,-0.00028247,0.13502,1,2.2077,9.8877,11.25,6.845
2.2191,9.8052,-0.0017927,0.15482,9.8218,-0.00027712,0.14261,1,2.3081,9.9881,11.25,6.845
2.292,9.7964,-0.0019433,0.16301,9.8142,-0.00027226,0.15038,1,2.4084,10.088,11.25,6.845
