"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.3472,9.7478,2.2481e-05,0.18994,1,0,7.68,11.25,6.845
4.4487,9.7367,1.2977e-05,0.19697,1,0.10035,7.7804,11.25,6.845
4.5711,9.7234,-3.9844e-06,0.2051,1,0.2007,7.8807,11.25,6.845
4.6934,9.7101,-2.0945e-05,0.21323,1,0.30105,7.9811,11.25,6.845
4.8147,9.6969,-3.8092e-05,0.22141,1,0.4014,8.0814,11.25,6.845
4.9506,9.6821,-6.632e-05,0.23089,1,0.50175,8.1818,11.25,6.845
5.095,9.6663,-9.7951e-05,0.24066,1,0.6021,8.2821,11.25,6.845
5.2394,9.6506,-0.00012958,0.25043,1,0.70245,8.3825,11.25,6.845
5.3948,9.6337,-0.00017653,0.26159,1,0.8028,8.4828,11.25,6.845
5.5648,9.6153,-0.00023234,0.2733,1,0.90315,8.5831,11.25,6.845
5.7347,9.5968,-0.00028815,0.285,1,1.0035,8.6835,11.25,6.845
5.9193,9.5768,-0.00036995,0.29847,1,1.1038,8.7838,11.25,6.845
6.1191,9.5552,-0.00046413,0.31243,1,1.2042,8.8842,11.25,6.845
6.3146,9.534,-0.00055809,0.32661,1,1.3046,8.9846,11.25,6.845
6.5443,9.5093,-0.00070591,0.34305,1,1.4049,9.0849,11.25,6.845
6.7792,9.484,-0.00085926,0.35964,1,1.5053,9.1853,11.25,6.845
7.0201,9.4582,-0.0010394,0.37754,1,1.6056,9.2856,11.25,6.845
7.2966,9.4286,-0.0012822,0.39715,1,1.706,9.386,11.25,6.845
7.5684,9.3996,-0.0015225,0.41701,1,1.8063,9.4863,11.25,6.845
7.8859,9.366,-0.0018783,0.43986,1,1.9067,9.5866,11.25,6.845
8.2125,9.3315,-0.0022507,0.46292,1,2.007,9.687,11.25,6.845
8.5663,9.2945,-0.0027236,0.48888,1,2.1073,9.7873,11.25,6.845
8.9538,9.254,-0.0032774,0.51587,1,2.2077,9.8877,11.25,6.845
9.3641,9.2116,-0.0039251,0.54557,1,2.3081,9.9881,11.25,6.845
