"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0007376,0.0080669,7.4675,11.482,9.5429,-0.033438,0.39579,9.5879,-0.029366,0.35584,1,0,4.68,11.055,6.845
0.00074015,0.0080111,7.7024,11.386,9.5235,-0.035539,0.41707,9.5714,-0.031191,0.37592,1,0.10035,4.7804,11.055,6.845
0.00074271,0.0079554,7.9373,11.29,9.5041,-0.03764,0.43835,9.5549,-0.033016,0.39599,1,0.2007,4.8807,11.055,6.845
0.00074526,0.0078997,8.1721,11.194,9.4847,-0.039743,0.45963,9.5384,-0.034842,0.41606,1,0.30105,4.9811,11.055,6.845
0.00074782,0.007844,8.407,11.099,9.4653,-0.041846,0.48091,9.5219,-0.03667,0.43613,1,0.4014,5.0814,11.055,6.845
0.00075038,0.0077883,8.6419,11.003,9.4459,-0.04395,0.50219,9.5054,-0.038498,0.45621,1,0.50175,5.1817,11.055,6.845
0.00075294,0.0077326,8.8768,10.907,9.4265,-0.046056,0.52347,9.4889,-0.040327,0.47628,1,0.6021,5.2821,11.055,6.845
0.0007555,0.0076769,9.1117,10.811,9.407,-0.048162,0.54475,9.4724,-0.042157,0.49635,1,0.70245,5.3825,11.055,6.845
0.00075806,0.0076212,9.3466,10.715,9.3876,-0.05027,0.56603,9.4559,-0.043989,0.51642,1,0.8028,5.4828,11.055,6.845
0.00076577,0.007594,9.5615,10.619,9.3546,-0.052548,0.58839,9.4263,-0.045934,0.53744,1,0.90315,5.5831,11.055,6.845
0.00079216,0.0076702,9.7037,10.523,9.2719,-0.055443,0.61465,9.3493,-0.048293,0.56191,1,1.0035,5.6835,11.054,6.845
0.00081856,0.0077463,9.8458,10.426,9.1892,-0.058339,0.64091,9.2723,-0.050652,0.58637,1,1.1039,5.7839,11.054,6.845
0.00084496,0.0078226,9.988,10.33,9.1065,-0.061237,0.66718,9.1954,-0.053013,0.61084,1,1.2042,5.8842,11.054,6.845
0.00087137,0.0078988,10.13,10.233,9.0239,-0.064137,0.69344,9.1184,-0.055375,0.63531,1,1.3046,5.9845,11.054,6.845
0.00089779,0.0079751,10.273,10.136,8.9412,-0.067038,0.7197,9.0414,-0.057738,0.65977,1,1.4049,6.0849,11.054,6.845
0.00092422,0.0080515,10.415,10.04,8.8585,-0.069941,0.74596,8.9644,-0.060103,0.68424,1,1.5053,6.1852,11.054,6.845
0.00095065,0.0081279,10.557,9.9433,8.7759,-0.072845,0.77223,8.8874,-0.062468,0.7087,1,1.6056,6.2856,11.054,6.845
0.00097709,0.0082043,10.699,9.8467,8.6932,-0.07575,0.79849,8.8104,-0.064835,0.73317,1,1.706,6.386,11.054,6.845
0.0010035,0.0082808,10.842,9.7501,8.6105,-0.078657,0.82475,8.7335,-0.067203,0.75763,1,1.8063,6.4863,11.054,6.845
0.00103,0.0083574,10.984,9.6535,8.5279,-0.081566,0.85101,8.6565,-0.069572,0.7821,1,1.9067,6.5866,11.054,6.845
0.0017122,0.015774,11.758,9.5724,8.4667,-0.088419,0.90407,8.6016,-0.073246,0.83386,1,2.007,6.687,11.054,6.845
0.0034094,0.034551,13.508,9.5152,8.4387,-0.10138,0.9986,8.5808,-0.07894,0.92788,1,2.1074,6.7874,11.054,6.845
0.0051064,0.053325,15.259,9.458,8.4108,-0.11435,1.0931,8.5601,-0.084638,1.0219,1,2.2077,6.8877,11.054,6.845
0.0068031,0.072097,17.011,9.4008,8.3828,-0.12732,1.1877,8.5393,-0.090338,1.1159,1,2.3081,6.988,11.054,6.845
0.0084996,0.090866,18.762,9.3436,8.3549,-0.1403,1.2822,8.5186,-0.096042,1.2099,1,2.4084,7.0884,11.054,6.845
0.010196,0.10963,20.513,9.2864,8.3269,-0.15328,1.3767,8.4978,-0.10175,1.304,1,2.5088,7.1887,11.054,6.845
0.011892,0.1284,22.265,9.2292,8.299,-0.16627,1.4713,8.4771,-0.10746,1.398,1,2.6091,7.2891,11.054,6.845
0.013588,0.14716,24.017,9.172,8.271,-0.17926,1.5658,8.4564,-0.11317,1.492,1,2.7095,7.3895,11.054,6.845
0.015283,0.16592,25.769,9.1149,8.2431,-0.19226,1.6603,8.4356,-0.11889,1.586,1,2.8098,7.4898,11.054,6.845
0.016979,0.18468,27.521,9.0577,8.2151,-0.20526,1.7549,8.4149,-0.12461,1.68,1,2.9102,7.5901,11.054,6.845
0.018387,0.20242,27.777,9.1876,7.9767,-0.22268,1.836,8.2177,-0.13706,1.7619,1,3.0105,7.6905,11.054,6.845
0.019575,0.21939,26.876,9.4623,7.5758,-0.2435,1.9067,7.8841,-0.15471,1.8345,1,3.1109,7.7909,11.053,6.845
0.020763,0.23636,25.976,9.7369,7.1748,-0.26433,1.9774,7.5505,-0.17236,1.907,1,3.2112,7.8912,11.053,6.845
0.02195,0.25332,25.075,10.012,6.7738,-0.28517,2.0481,7.217,-0.19002,1.9795,1,3.3116,7.9915,11.053,6.845
0.023137,0.27029,24.174,10.286,6.3728,-0.306,2.1188,6.8834,-0.20769,2.0521,1,3.4119,8.0919,11.053,6.845
0.024325,0.28725,23.274,10.561,5.9718,-0.32684,2.1895,6.5498,-0.22535,2.1246,1,3.5123,8.1923,11.053,6.845
0.025512,0.30422,22.373,10.835,5.5708,-0.34768,2.2602,6.2163,-0.24302,2.1971,1,3.6126,8.2926,11.053,6.845
0.026699,0.32118,21.472,11.11,5.1698,-0.36852,2.3309,5.8827,-0.2607,2.2696,1,3.713,8.393,11.053,6.845
0.027887,0.33814,20.571,11.385,4.7688,-0.38937,2.4016,5.5491,-0.27837,2.3422,1,3.8133,8.4933,11.053,6.845
0.02747,0.3349,16.789,11.489,4.4692,-0.38701,2.3502,5.278,-0.28343,2.2904,1,3.9137,8.5936,11.053,6.845
0.026149,0.32026,11.382,11.498,4.2266,-0.37155,2.2299,5.0422,-0.28136,2.1684,1,4.014,8.694,11.053,6.845
0.024829,0.30562,5.9737,11.506,3.9841,-0.35608,2.1097,4.8064,-0.27929,2.0465,1,4.1144,8.7943,11.053,6.845
0.023509,0.29099,0.56535,11.515,3.7416,-0.3406,1.9895,4.5706,-0.27722,1.9246,1,4.2147,8.8947,11.053,6.845
0.022189,0.27636,-4.8435,11.523,3.499,-0.32511,1.8692,4.3348,-0.27514,1.8027,1,4.3151,8.9951,11.053,6.845
0.020869,0.26173,-10.253,11.532,3.2565,-0.30962,1.749,4.0989,-0.27306,1.6807,1,4.4154,9.0954,11.053,6.845
0.019549,0.2471,-15.663,11.54,3.014,-0.29412,1.6288,3.8631,-0.27098,1.5588,1,4.5158,9.1958,11.053,6.845
0.01823,0.23248,-21.073,11.549,2.7714,-0.2786,1.5085,3.6273,-0.2689,1.4369,1,4.6161,9.2961,11.053,6.845
0.017121,0.21895,-23.891,11.446,2.6837,-0.25836,1.3978,3.5294,-0.25363,1.3198,1,4.7165,9.3965,11.053,6.845
0.016193,0.20637,-24.459,11.247,2.7303,-0.234,1.2953,3.5513,-0.22692,1.2069,1,4.8168,9.4968,11.053,6.845
0.015265,0.19379,-25.026,11.049,2.7769,-0.20965,1.1928,3.5732,-0.2002,1.094,1,4.9172,9.5971,11.053,6.845
0.014337,0.1812,-25.594,10.85,2.8235,-0.18528,1.0903,3.595,-0.17348,0.98115,1,5.0175,9.6975,11.052,6.845
0.01341,0.16862,-26.162,10.651,2.8702,-0.16092,0.98778,3.6169,-0.14676,0.86826,1,5.1179,9.7978,11.052,6.845
0.012482,0.15604,-26.73,10.452,2.9168,-0.13654,0.88528,3.6388,-0.12003,0.75538,1,5.2182,9.8982,11.052,6.845
0.011554,0.14345,-27.297,10.253,2.9635,-0.11217,0.78278,3.6607,-0.093289,0.6425,1,5.3186,9.9986,11.052,6.845
0.010739,0.13259,-27.439,10.084,2.9792,-0.090841,0.69509,3.6638,-0.067863,0.54389,1,5.4189,10.099,11.052,6.845
0.010452,0.12978,-25.591,10.055,2.8506,-0.083793,0.67655,3.5794,-0.048578,0.51192,1,5.5193,10.199,11.052,6.845
0.010165,0.12696,-23.743,10.026,2.7219,-0.076748,0.65801,3.495,-0.029291,0.47995,1,5.6196,10.3,11.052,6.845
0.0098771,0.12414,-21.895,9.997,2.5933,-0.069707,0.63947,3.4106,-0.010002,0.44799,1,5.72,10.4,11.052,6.845
0.0095896,0.12132,-20.046,9.9678,2.4646,-0.062668,0.62093,3.3262,0.0092881,0.41602,1,5.8203,10.5,11.052,6.845
0.009302,0.1185,-18.197,9.9387,2.336,-0.055633,0.60239,3.2417,0.02858,0.38406,1,5.9207,10.601,11.052,6.845
0.0090144,0.11568,-16.348,9.9095,2.2074,-0.048601,0.58386,3.1573,0.047874,0.3521,1,6.021,10.701,11.052,6.845
0.0087593,0.11267,-15.425,9.8744,2.1493,-0.038934,0.55801,3.1459,0.063426,0.31379,1,6.1214,10.801,11.052,6.845
0.0085377,0.10947,-15.45,9.8331,2.1633,-0.026564,0.52467,3.2091,0.075146,0.26898,1,6.2217,10.902,11.052,6.845
0.0083161,0.10626,-15.476,9.7918,2.1774,-0.014193,0.49133,3.2724,0.086867,0.22417,1,6.3221,11.002,11.052,6.845
0.0080945,0.10306,-15.502,9.7505,2.1915,-0.0018219,0.458,3.3356,0.098589,0.17937,1,6.4224,11.102,11.052,6.845
0.0078729,0.099859,-15.527,9.7092,2.2056,0.01055,0.42467,3.3988,0.11031,0.13456,1,6.5228,11.203,11.052,6.845
0.0076514,0.096657,-15.553,9.6679,2.2197,0.022923,0.39133,3.4621,0.12204,0.089755,1,6.6231,11.303,11.052,6.845
0.007448,0.094294,-15.402,9.6471,2.2118,0.035201,0.36508,3.5083,0.13138,0.052865,1,6.7235,11.403,11.052,6.845
0.0072691,0.093061,-15.013,9.6537,2.1743,0.047351,0.34837,3.5317,0.13752,0.026635,1,6.8238,11.504,11.052,6.845
0.0070901,0.091828,-14.624,9.6604,2.1369,0.059502,0.33165,3.555,0.14366,0.00040657,1,6.9242,11.604,11.052,6.845
0.0069112,0.090596,-14.235,9.667,2.0994,0.071654,0.31494,3.5784,0.1498,-0.025822,1,7.0245,11.705,11.052,6.845
0.0067323,0.089364,-13.846,9.6736,2.062,0.083807,0.29822,3.6017,0.15594,-0.052051,1,7.1249,11.805,11.051,6.845
0.0065535,0.088132,-13.458,9.6803,2.0245,0.09596,0.28151,3.6251,0.16208,-0.078279,1,7.2252,11.905,11.051,6.845
0.0063992,0.086542,-13.285,9.6654,2.0331,0.10738,0.27025,3.6846,0.16528,-0.10222,1,7.3256,12.006,11.051,6.845
0.0062471,0.084921,-13.131,9.6486,2.0459,0.11873,0.25948,3.7474,0.1682,-0.12595,1,7.4259,12.106,11.051,6.845
0.006095,0.083299,-12.978,9.6318,2.0587,0.13008,0.24872,3.8102,0.17113,-0.14968,1,7.5263,12.206,11.051,6.845
0.0059429,0.081677,-12.825,9.615,2.0715,0.14144,0.23796,3.8729,0.17405,-0.17341,1,7.6266,12.307,11.051,6.845
0.0057909,0.080056,-12.671,9.5981,2.0843,0.15279,0.22719,3.9357,0.17698,-0.19714,1,7.727,12.407,11.051,6.845
0.005723,0.079195,-12.471,9.5552,2.0877,0.15885,0.23423,3.9982,0.17678,-0.21741,1,7.8273,12.507,11.051,6.845
0.0056631,0.078407,-12.267,9.5097,2.0902,0.16441,0.24296,4.0606,0.17628,-0.23736,1,7.9277,12.608,11.051,6.845
0.0056033,0.077619,-12.063,9.4642,2.0927,0.16996,0.25169,4.123,0.17578,-0.2573,1,8.028,12.708,11.051,6.845
0.0055435,0.076831,-11.859,9.4187,2.0952,0.17552,0.26042,4.1855,0.17528,-0.27725,1,8.1284,12.808,11.051,6.845
