"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.0197,0.27264,0.13669,9.0606,0.26498,0.11972,1,0,12.48,12.25,5
9.0197,0.27268,0.14484,9.0604,0.2649,0.12765,1,0.03375,12.48,12.25,5.0338
9.0196,0.27273,0.153,9.0602,0.26483,0.13558,1,0.0675,12.48,12.25,5.0675
9.0202,0.27271,0.16116,9.0606,0.2647,0.14355,1,0.10125,12.48,12.25,5.1013
9.0213,0.27263,0.16926,9.0616,0.2645,0.15149,1,0.135,12.48,12.25,5.135
9.0225,0.27255,0.17735,9.0625,0.26429,0.15944,1,0.16875,12.48,12.25,5.1687
9.0237,0.27247,0.18544,9.0635,0.26409,0.16738,1,0.2025,12.48,12.25,5.2025
9.0249,0.27238,0.19354,9.0645,0.26389,0.17532,1,0.23625,12.48,12.25,5.2362
9.026,0.2723,0.20163,9.0655,0.26368,0.18327,1,0.27,12.48,12.25,5.27
9.0272,0.27222,0.20973,9.0664,0.26348,0.19121,1,0.30375,12.48,12.25,5.3038
9.0285,0.27214,0.21784,9.0676,0.26328,0.19919,1,0.3375,12.48,12.25,5.3375
9.0309,0.27191,0.22578,9.0697,0.26293,0.20704,1,0.37125,12.48,12.25,5.3713
9.0332,0.27168,0.23372,9.0719,0.26259,0.21489,1,0.405,12.48,12.25,5.405
9.0355,0.27145,0.24166,9.0741,0.26224,0.22274,1,0.43875,12.48,12.25,5.4387
9.0378,0.27122,0.2496,9.0762,0.2619,0.23059,1,0.4725,12.48,12.25,5.4725
9.0402,0.27098,0.25754,9.0784,0.26155,0.23845,1,0.50625,12.48,12.25,5.5062
9.0425,0.27075,0.26547,9.0806,0.26121,0.2463,1,0.54,12.48,12.25,5.54
9.0448,0.27055,0.27345,9.0827,0.26089,0.25418,1,0.57375,12.48,12.25,5.5738
9.048,0.27019,0.2812,9.0859,0.26042,0.26187,1,0.6075,12.48,12.25,5.6075
9.0515,0.26978,0.28889,9.0892,0.25991,0.2695,1,0.64125,12.48,12.25,5.6413
9.055,0.26937,0.29657,9.0926,0.2594,0.27713,1,0.675,12.48,12.25,5.675
9.0585,0.26896,0.30426,9.096,0.25889,0.28476,1,0.70875,12.48,12.25,5.7087
9.0619,0.26855,0.31194,9.0993,0.25838,0.29239,1,0.7425,12.48,12.25,5.7425
9.0654,0.26814,0.31963,9.1027,0.25787,0.30002,1,0.77625,12.48,12.25,5.7762
9.0689,0.26773,0.32731,9.106,0.25736,0.30765,1,0.81,12.48,12.25,5.81
9.0729,0.26727,0.33488,9.11,0.25681,0.31516,1,0.84375,12.48,12.25,5.8438
9.0775,0.26665,0.3422,9.1145,0.25611,0.3224,1,0.8775,12.48,12.25,5.8775
9.0821,0.26602,0.34951,9.1191,0.2554,0.32965,1,0.91125,12.48,12.25,5.9113
9.0867,0.26539,0.35682,9.1237,0.2547,0.3369,1,0.945,12.48,12.25,5.945
9.0913,0.26477,0.36413,9.1282,0.254,0.34415,1,0.97875,12.48,12.25,5.9788
9.096,0.26414,0.37144,9.1328,0.25329,0.3514,1,1.0125,12.48,12.25,6.0125
9.1006,0.26352,0.37875,9.1374,0.25259,0.35865,1,1.0462,12.48,12.25,6.0462
9.1053,0.26293,0.38607,9.1421,0.25193,0.36588,1,1.08,12.48,12.25,6.08
9.1111,0.26206,0.39285,9.1478,0.251,0.37257,1,1.1137,12.48,12.25,6.1137
9.1168,0.26118,0.39963,9.1536,0.25008,0.37925,1,1.1475,12.48,12.25,6.1475
9.1225,0.26031,0.40642,9.1593,0.24915,0.38593,1,1.1813,12.48,12.25,6.1813
9.1283,0.25943,0.4132,9.165,0.24823,0.39262,1,1.215,12.48,12.25,6.215
9.134,0.25856,0.41998,9.1707,0.24731,0.3993,1,1.2488,12.48,12.25,6.2488
9.1397,0.25769,0.42677,9.1765,0.24638,0.40598,1,1.2825,12.48,12.25,6.2825
9.1455,0.25688,0.43361,9.1822,0.24552,0.41272,1,1.3162,12.48,12.25,6.3162
9.1521,0.25582,0.43984,9.1888,0.24443,0.4188,1,1.35,12.48,12.25,6.35
9.1588,0.25468,0.44591,9.1956,0.24327,0.42472,1,1.3837,12.48,12.25,6.3837
9.1656,0.25353,0.45197,9.2024,0.2421,0.43064,1,1.4175,12.48,12.25,6.4175
9.1724,0.25239,0.45804,9.2092,0.24094,0.43655,1,1.4513,12.48,12.25,6.4513
9.1792,0.25125,0.46411,9.216,0.23977,0.44247,1,1.485,12.48,12.25,6.485
9.186,0.25011,0.47018,9.2228,0.23861,0.44839,1,1.5188,12.48,12.25,6.5188
9.1928,0.24897,0.47625,9.2296,0.23745,0.45431,1,1.5525,12.48,12.25,6.5525
9.2,0.24781,0.48197,9.2368,0.23628,0.45985,1,1.5862,12.48,12.25,6.5862
9.2078,0.2464,0.48714,9.2445,0.23487,0.46481,1,1.62,12.48,12.25,6.62
