"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
19.759,0.054756,0.19296,19.762,0.054404,0.19039,1,0,10.68,12.055,6.845
19.749,0.057392,0.19967,19.752,0.057035,0.19707,1,0.10035,10.78,12.055,6.845
19.738,0.060357,0.20686,19.741,0.059991,0.20423,1,0.2007,10.881,12.055,6.845
19.726,0.063491,0.21442,19.729,0.063114,0.21177,1,0.30105,10.981,12.055,6.845
19.714,0.066813,0.22241,19.717,0.066425,0.21974,1,0.4014,11.081,12.055,6.845
19.701,0.070207,0.23056,19.705,0.069808,0.22787,1,0.50175,11.182,12.055,6.845
19.688,0.073753,0.23906,19.692,0.073339,0.23636,1,0.6021,11.282,12.055,6.845
19.673,0.077861,0.24888,19.678,0.077432,0.24618,1,0.70245,11.382,12.055,6.845
19.658,0.082261,0.25936,19.663,0.08182,0.25667,1,0.8028,11.483,12.055,6.845
19.642,0.086955,0.2705,19.647,0.086501,0.26782,1,0.90315,11.583,12.055,6.845
19.625,0.092013,0.28236,19.631,0.091539,0.27971,1,1.0035,11.684,12.055,6.845
19.608,0.097525,0.29505,19.614,0.097015,0.29242,1,1.1038,11.784,12.055,6.845
19.589,0.10338,0.3086,19.596,0.10282,0.30602,1,1.2042,11.884,12.055,6.845
19.569,0.10963,0.32308,19.577,0.10902,0.32056,1,1.3046,11.985,12.055,6.845
19.548,0.11636,0.33858,19.557,0.11567,0.33613,1,1.4049,12.085,12.055,6.845
19.525,0.12361,0.35519,19.535,0.12283,0.35283,1,1.5052,12.185,12.055,6.845
19.501,0.13144,0.37302,19.513,0.13053,0.37075,1,1.6056,12.286,12.055,6.845
19.476,0.13992,0.39219,19.489,0.13883,0.39003,1,1.7059,12.386,12.055,6.845
19.449,0.1491,0.41284,19.463,0.14778,0.4108,1,1.8063,12.486,12.055,6.845
19.419,0.1591,0.43513,19.436,0.15747,0.4332,1,1.9066,12.587,12.055,6.845
19.388,0.16999,0.45922,19.407,0.16795,0.4574,1,2.007,12.687,12.055,6.845
19.355,0.18191,0.48533,19.377,0.17933,0.48361,1,2.1073,12.787,12.055,6.845
19.318,0.19499,0.51369,19.344,0.19168,0.51202,1,2.2077,12.888,12.055,6.845
19.279,0.20942,0.54457,19.309,0.20513,0.5429,1,2.3081,12.988,12.055,6.845
19.236,0.22539,0.57829,19.272,0.21979,0.57651,1,2.4084,13.088,12.055,6.845
19.19,0.24315,0.61521,19.231,0.23582,0.61319,1,2.5087,13.189,12.055,6.845
19.139,0.26303,0.65577,19.188,0.25338,0.65331,1,2.6091,13.289,12.055,6.845
19.084,0.28538,0.70049,19.142,0.27267,0.69729,1,2.7094,13.389,12.055,6.845
19.022,0.31052,0.75001,19.091,0.29378,0.74566,1,2.8098,13.49,12.055,6.845
18.954,0.3387,0.80512,19.036,0.31677,0.799,1,2.9101,13.59,12.055,6.845
18.878,0.37148,0.86701,18.975,0.34251,0.85833,1,3.0105,13.691,12.055,6.845
18.792,0.41048,0.93732,18.909,0.37182,0.92499,1,3.1108,13.791,12.055,6.845
18.696,0.45624,1.0171,18.835,0.40474,0.99966,1,3.2112,13.891,12.055,6.845
18.587,0.51031,1.108,18.753,0.4419,1.0837,1,3.3116,13.992,12.055,6.845
18.463,0.57455,1.2124,18.66,0.48411,1.1788,1,3.4119,14.092,12.055,6.845
18.322,0.6512,1.3328,18.556,0.53231,1.287,1,3.5122,14.192,12.055,6.845
18.156,0.74135,1.4721,18.434,0.58565,1.4099,1,3.6126,14.293,12.055,6.845
17.96,0.85385,1.6384,18.291,0.64907,1.5543,1,3.7129,14.393,12.055,6.845
17.734,0.99572,1.8378,18.129,0.72742,1.7249,1,3.8133,14.493,12.055,6.845
17.483,1.1737,2.0673,17.952,0.82879,1.9155,1,3.9136,14.594,12.055,6.845
17.177,1.393,2.3084,17.721,0.9684,2.1033,1,4.014,14.694,12.055,6.845
16.759,1.6449,2.5191,17.382,1.1567,2.2507,1,4.1143,14.794,12.055,6.845
16.084,1.8753,2.5894,16.828,1.4118,2.2736,1,4.2147,14.895,12.055,6.845
15.403,1.9021,2.4026,16.315,1.6157,2.1253,1,4.3151,14.995,12.055,6.845
14.936,1.74,2.0238,15.978,1.7188,1.8833,1,4.4154,15.095,12.055,6.845
