"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.2963,9.7327,0.00037526,0.20534,1,0,7.68,11.25,6.845
5.4058,9.7211,0.00041331,0.21274,1,0.10035,7.7804,11.25,6.845
5.536,9.7072,0.0004702,0.22127,1,0.2007,7.8807,11.25,6.845
5.6662,9.6933,0.00052708,0.2298,1,0.30105,7.9811,11.25,6.845
5.7951,9.6795,0.00058417,0.23839,1,0.4014,8.0814,11.25,6.845
5.9362,9.6641,0.00066613,0.2483,1,0.50175,8.1818,11.25,6.845
6.0858,9.6477,0.00075637,0.25851,1,0.6021,8.2821,11.25,6.845
6.2353,9.6314,0.00084662,0.26873,1,0.70245,8.3825,11.25,6.845
6.3914,9.6139,0.00097049,0.28037,1,0.8028,8.4828,11.25,6.845
6.5612,9.5948,0.0011143,0.29256,1,0.90315,8.5831,11.25,6.845
6.731,9.5757,0.0012581,0.30476,1,1.0035,8.6835,11.25,6.845
6.9076,9.5551,0.0014602,0.31876,1,1.1038,8.7838,11.25,6.845
7.0977,9.5329,0.0016894,0.33328,1,1.2042,8.8842,11.25,6.845
7.2822,9.5111,0.0019181,0.348,1,1.3046,8.9846,11.25,6.845
7.4875,9.4859,0.0022665,0.36504,1,1.4049,9.0849,11.25,6.845
7.6969,9.46,0.0026273,0.38224,1,1.5053,9.1853,11.25,6.845
7.9025,9.4338,0.0030461,0.40077,1,1.6056,9.2856,11.25,6.845
8.1287,9.4039,0.0036044,0.42107,1,1.706,9.386,11.25,6.845
8.349,9.3746,0.0041567,0.44159,1,1.8063,9.4863,11.25,6.845
8.5817,9.341,0.0049653,0.46518,1,1.9067,9.5866,11.25,6.845
8.8202,9.3065,0.0058111,0.489,1,2.007,9.687,11.25,6.845
9.0505,9.27,0.0068866,0.51571,1,2.1073,9.7873,11.25,6.845
9.2942,9.2301,0.008146,0.5435,1,2.2077,9.8877,11.25,6.845
9.5236,9.1888,0.0096399,0.57395,1,2.3081,9.9881,11.25,6.845
9.7629,9.1429,0.011484,0.60619,1,2.4084,10.088,11.25,6.845
9.9815,9.0953,0.01363,0.64141,1,2.5088,10.189,11.25,6.845
10.203,9.0423,0.016279,0.67859,1,2.6091,10.289,11.25,6.845
10.394,8.9863,0.019438,0.71976,1,2.7095,10.389,11.25,6.845
10.583,8.925,0.02317,0.76236,1,2.8098,10.49,11.25,6.845
10.719,8.8578,0.027863,0.81077,1,2.9102,10.59,11.25,6.845
10.837,8.7873,0.033007,0.86155,1,3.0105,10.691,11.25,6.845
10.904,8.7043,0.039932,0.91611,1,3.1108,10.791,11.25,6.845
10.912,8.6158,0.047798,0.97633,1,3.2112,10.891,11.25,6.845
10.875,8.5195,0.056783,1.0406,1,3.3116,10.992,11.25,6.845
10.743,8.4034,0.0686,1.1076,1,3.4119,11.092,11.25,6.845
10.55,8.2828,0.081432,1.1781,1,3.5123,11.192,11.25,6.845
10.284,8.1433,0.097177,1.2547,1,3.6126,11.293,11.25,6.845
9.8878,7.9732,0.11735,1.3415,1,3.713,11.393,11.25,6.845
9.332,7.7803,0.14051,1.433,1,3.8133,11.493,11.25,6.845
8.6039,7.5481,0.1675,1.527,1,3.9137,11.594,11.25,6.845
7.7084,7.2809,0.20215,1.6215,1,4.014,11.694,11.25,6.845
6.7059,7.0123,0.24839,1.7131,1,4.1143,11.794,11.25,6.845
5.7584,6.6513,0.28278,1.7846,1,4.2147,11.895,11.25,6.845
4.6727,6.015,0.22582,1.7806,1,4.3151,11.995,11.25,6.845
2.8121,5.565,0.063119,1.6645,1,4.4154,12.095,11.25,6.845
0.711,5.4152,-0.014006,1.5175,1,4.5158,12.196,11.25,6.845
-0.80566,5.1508,0.020805,1.3485,1,4.6161,12.296,11.25,6.845
-1.9949,4.9291,0.073051,1.2115,1,4.7165,12.396,11.25,6.845
-3.1317,4.7836,0.11183,1.1018,1,4.8168,12.497,11.25,6.845
-4.2449,4.6849,0.13604,1.0075,1,4.9172,12.597,11.25,6.845
-5.2015,4.5908,0.15451,0.92366,1,5.0175,12.698,11.25,6.845
-5.9391,4.4961,0.17164,0.85104,1,5.1178,12.798,11.25,6.845
-6.4949,4.4064,0.18768,0.7861,1,5.2182,12.898,11.25,6.845
-6.9379,4.3214,0.20252,0.72724,1,5.3186,12.999,11.25,6.845
