"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.123,9.7506,0.074445,0.19965,1,0,7.68,12.25,6.845
5.2282,9.7398,0.07773,0.20659,1,0.10035,7.7804,12.25,6.845
5.3483,9.7274,0.081832,0.21474,1,0.2007,7.8807,12.25,6.845
5.4685,9.7149,0.085933,0.22289,1,0.30105,7.9811,12.25,6.845
5.5887,9.7025,0.090034,0.23104,1,0.4014,8.0814,12.25,6.845
5.7233,9.6885,0.094628,0.2404,1,0.50175,8.1818,12.25,6.845
5.8621,9.674,0.099601,0.25014,1,0.6021,8.2821,12.25,6.845
6.0009,9.6596,0.10458,0.25988,1,0.70245,8.3825,12.25,6.845
6.1528,9.6437,0.11,0.27079,1,0.8028,8.4828,12.25,6.845
6.312,9.6269,0.116,0.28241,1,0.90315,8.5831,12.25,6.845
6.4712,9.6102,0.122,0.29403,1,1.0035,8.6835,12.25,6.845
6.6459,9.5917,0.1286,0.30716,1,1.1038,8.7838,12.25,6.845
6.8274,9.5725,0.1358,0.32099,1,1.2042,8.8842,12.25,6.845
7.0091,9.5532,0.14288,0.33485,1,1.3046,8.9846,12.25,6.845
7.2126,9.5314,0.15125,0.35105,1,1.4049,9.0849,12.25,6.845
7.4181,9.5093,0.15985,0.36746,1,1.5053,9.1853,12.25,6.845
7.6319,9.4862,0.16873,0.38489,1,1.6056,9.2856,12.25,6.845
7.8629,9.4611,0.17895,0.40431,1,1.706,9.386,12.25,6.845
8.0939,9.4359,0.18908,0.42376,1,1.8063,9.4863,12.25,6.845
8.3486,9.4077,0.20078,0.4463,1,1.9067,9.5866,12.25,6.845
8.6064,9.3792,0.21286,0.46921,1,2.007,9.687,12.25,6.845
8.8798,9.3483,0.22596,0.49459,1,2.1073,9.7873,12.25,6.845
9.1647,9.316,0.24019,0.52151,1,2.2077,9.8877,12.25,6.845
9.4601,9.2816,0.25525,0.5506,1,2.3081,9.9881,12.25,6.845
9.771,9.2453,0.27196,0.58211,1,2.4084,10.088,12.25,6.845
10.09,9.2066,0.28962,0.61602,1,2.5088,10.189,12.25,6.845
10.423,9.1656,0.3092,0.65278,1,2.6091,10.289,12.25,6.845
10.761,9.1215,0.33029,0.6929,1,2.7095,10.389,12.25,6.845
11.109,9.0754,0.35321,0.73561,1,2.8098,10.49,12.25,6.845
11.453,9.0243,0.37881,0.78362,1,2.9102,10.59,12.25,6.845
11.794,8.9711,0.40578,0.83396,1,3.0105,10.691,12.25,6.845
12.123,8.9125,0.43724,0.89095,1,3.1108,10.791,12.25,6.845
12.414,8.8488,0.47136,0.9526,1,3.2112,10.891,12.25,6.845
12.671,8.7804,0.5085,1.0188,1,3.3116,10.992,12.25,6.845
12.848,8.7026,0.55226,1.0936,1,3.4119,11.092,12.25,6.845
12.918,8.62,0.59788,1.1703,1,3.5123,11.192,12.25,6.845
12.871,8.5256,0.65119,1.2567,1,3.6126,11.293,12.25,6.845
12.605,8.4112,0.7187,1.3609,1,3.713,11.393,12.25,6.845
12.039,8.2797,0.7985,1.4793,1,3.8133,11.493,12.25,6.845
11.115,8.1209,0.89261,1.6139,1,3.9137,11.594,12.25,6.845
9.7949,7.9249,1.0057,1.7695,1,4.014,11.694,12.25,6.845
8.0571,7.6927,1.1432,1.9514,1,4.1143,11.794,12.25,6.845
5.937,7.389,1.2895,2.145,1,4.2147,11.895,12.25,6.845
3.4377,6.9215,1.3689,2.2775,1,4.3151,11.995,12.25,6.845
0.40804,6.4291,1.2832,2.2254,1,4.4154,12.095,12.25,6.845
-2.762,6.0571,1.0862,1.9693,1,4.5158,12.196,12.25,6.845
-5.3153,5.6986,0.91826,1.6632,1,4.6161,12.296,12.25,6.845
-7.1823,5.3873,0.80393,1.3946,1,4.7165,12.396,12.25,6.845
-8.5307,5.1473,0.7259,1.1827,1,4.8168,12.497,12.25,6.845
-9.4988,4.9656,0.66718,1.0193,1,4.9172,12.597,12.25,6.845
-10.139,4.8104,0.61984,0.89009,1,5.0175,12.698,12.25,6.845
-10.455,4.6664,0.58115,0.78682,1,5.1178,12.798,12.25,6.845
-10.558,4.5409,0.54963,0.70303,1,5.2182,12.898,12.25,6.845
-10.545,4.4286,0.52186,0.63053,1,5.3186,12.999,12.25,6.845
-10.452,4.3274,0.49768,0.56788,1,5.4189,13.099,12.25,6.845
-10.303,4.2355,0.47679,0.51374,1,5.5193,13.199,12.25,6.845
-10.099,4.1511,0.45814,0.4671,1,5.6196,13.3,12.25,6.845
