"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.2355,9.7324,0.00011227,0.20516,9.7439,0.0001285,0.19474,1,0,7.68,11.25,6.845
5.3485,9.7208,0.00011525,0.21253,9.7327,0.00013298,0.20185,1,0.10035,7.7804,11.25,6.845
5.484,9.7068,0.00011786,0.22103,9.7193,0.00013788,0.21007,1,0.2007,7.8807,11.25,6.845
5.6195,9.6929,0.00012047,0.22953,9.7059,0.00014277,0.21829,1,0.30105,7.9811,11.25,6.845
5.7536,9.679,0.00012304,0.23808,9.6926,0.00014758,0.22656,1,0.4014,8.0814,11.25,6.845
5.9028,9.6635,0.00012463,0.24795,9.6778,0.00015208,0.23613,1,0.50175,8.1818,11.25,6.845
6.0611,9.6471,0.00012597,0.25812,9.662,0.00015668,0.246,1,0.6021,8.2821,11.25,6.845
6.2193,9.6306,0.00012731,0.26828,9.6462,0.00016128,0.25587,1,0.70245,8.3825,11.25,6.845
6.3879,9.613,0.00012677,0.27986,9.6293,0.00016488,0.26714,1,0.8028,8.4828,11.25,6.845
6.5718,9.5937,0.00012505,0.29199,9.6108,0.00016836,0.27896,1,0.90315,8.5831,11.25,6.845
6.7557,9.5744,0.00012333,0.30411,9.5924,0.00017184,0.29078,1,1.0035,8.6835,11.25,6.845
6.9526,9.5536,0.00011996,0.31802,9.5725,0.00017327,0.30437,1,1.1038,8.7838,11.25,6.845
7.1652,9.531,0.0001149,0.33243,9.5509,0.00017425,0.31848,1,1.2042,8.8842,11.25,6.845
7.3728,9.509,0.00011019,0.34706,9.5298,0.00017493,0.33278,1,1.3046,8.9846,11.25,6.845
7.6124,9.4832,0.00010308,0.36397,9.5053,0.00017168,0.34938,1,1.4049,9.0849,11.25,6.845
7.8571,9.4569,9.559e-05,0.38102,9.4802,0.00016813,0.36613,1,1.5053,9.1853,11.25,6.845
8.1048,9.4301,8.8631e-05,0.39941,9.4547,0.00016177,0.38419,1,1.6056,9.2856,11.25,6.845
8.3853,9.3994,8.1427e-05,0.41951,9.4256,0.00015072,0.404,1,1.706,9.386,11.25,6.845
8.6602,9.3692,7.5238e-05,0.43987,9.3971,0.00013944,0.42403,1,1.8063,9.4863,11.25,6.845
8.9719,9.3344,7.6048e-05,0.46324,9.3643,0.00011805,0.4471,1,1.9067,9.5866,11.25,6.845
9.2922,9.2986,7.7054e-05,0.48681,9.3306,9.5501e-05,0.4704,1,2.007,9.687,11.25,6.845
9.6279,9.2603,0.00010112,0.51332,9.2948,6.2636e-05,0.49656,1,2.1073,9.7873,11.25,6.845
9.9923,9.2184,0.00013501,0.54085,9.2558,2.3413e-05,0.52381,1,2.2077,9.8877,11.25,6.845
10.366,9.1746,0.00020974,0.57113,9.2152,-2.65e-05,0.55371,1,2.3081,9.9881,11.25,6.845
10.778,9.1255,0.00032443,0.60312,9.17,-8.8894e-05,0.5854,1,2.4084,10.088,11.25,6.845
11.199,9.074,0.00052442,0.63827,9.123,-0.00016482,0.62008,1,2.5088,10.189,11.25,6.845
11.662,9.0162,0.00081865,0.6753,9.0705,-0.00025809,0.65674,1,2.6091,10.289,11.25,6.845
