"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.2453,9.7337,0.00035935,0.20408,9.752,0.00012877,0.18712,1,0,7.68,11.25,6.845
4.3447,9.7221,0.00039663,0.21145,9.7412,0.00013287,0.19402,1,0.10035,7.7804,11.25,6.845
4.4634,9.7083,0.00045261,0.21995,9.7281,0.00013717,0.20202,1,0.2007,7.8807,11.25,6.845
4.5821,9.6944,0.00050859,0.22844,9.7151,0.00014147,0.21001,1,0.30105,7.9811,11.25,6.845
4.6996,9.6806,0.00056496,0.237,9.7022,0.0001457,0.21806,1,0.4014,8.0814,11.25,6.845
4.8291,9.6653,0.00064678,0.24688,9.6877,0.00014936,0.2274,1,0.50175,8.1818,11.25,6.845
4.9663,9.649,0.00073649,0.25705,9.6724,0.00015305,0.23703,1,0.6021,8.2821,11.25,6.845
5.1035,9.6327,0.0008262,0.26722,9.657,0.00015674,0.24665,1,0.70245,8.3825,11.25,6.845
5.2478,9.6152,0.00095106,0.27883,9.6406,0.0001591,0.25766,1,0.8028,8.4828,11.25,6.845
5.4047,9.5961,0.0010967,0.29098,9.6226,0.00016117,0.26922,1,0.90315,8.5831,11.25,6.845
5.5616,9.577,0.0012423,0.30314,9.6045,0.00016324,0.28077,1,1.0035,8.6835,11.25,6.845
5.7261,9.5565,0.0014464,0.31709,9.5851,0.00016273,0.29408,1,1.1038,8.7838,11.25,6.845
5.9033,9.5343,0.0016793,0.33156,9.5641,0.00016154,0.3079,1,1.2042,8.8842,11.25,6.845
6.0756,9.5126,0.0019112,0.34623,9.5436,0.00016004,0.32191,1,1.3046,8.9846,11.25,6.845
6.2686,9.4873,0.0022627,0.36322,9.5196,0.00015362,0.3382,1,1.4049,9.0849,11.25,6.845
6.4655,9.4615,0.0026268,0.38037,9.4952,0.0001468,0.35465,1,1.5053,9.1853,11.25,6.845
6.66,9.4353,0.0030508,0.39884,9.4703,0.00013668,0.37239,1,1.6056,9.2856,11.25,6.845
6.875,9.4054,0.0036154,0.41908,9.4418,0.00012083,0.39187,1,1.706,9.386,11.25,6.845
7.0845,9.376,0.0041747,0.43955,9.414,0.00010476,0.41158,1,1.8063,9.4863,11.25,6.845
7.3082,9.3424,0.0049953,0.46307,9.3819,7.6626e-05,0.43429,1,1.9067,9.5866,11.25,6.845
7.5375,9.3079,0.0058531,0.48682,9.3489,4.7094e-05,0.45724,1,2.007,9.687,11.25,6.845
7.7614,9.2712,0.0069453,0.51346,9.3139,5.4865e-06,0.48304,1,2.1073,9.7873,11.25,6.845
7.9992,9.2313,0.0082244,0.54119,9.2757,-4.3697e-05,0.50993,1,2.2077,9.8877,11.25,6.845
8.2254,9.1898,0.0097467,0.57157,9.236,-0.00010529,0.53944,1,2.3081,9.9881,11.25,6.845
8.4629,9.1437,0.011631,0.60376,9.1916,-0.00018157,0.57076,1,2.4084,10.088,11.25,6.845
8.6829,9.0959,0.013826,0.63893,9.1456,-0.00027358,0.60504,1,2.5088,10.189,11.25,6.845
8.9086,9.0425,0.016539,0.67608,9.0941,-0.000386,0.64132,1,2.6091,10.289,11.25,6.845
9.107,8.9862,0.019764,0.71724,9.0395,-0.00052289,0.6816,1,2.7095,10.389,11.25,6.845
9.3061,8.9244,0.02357,0.75983,8.9795,-0.00068094,0.72335,1,2.8098,10.49,11.25,6.845
9.4591,8.8566,0.028354,0.80828,8.9135,-0.00088047,0.77104,1,2.9102,10.59,11.25,6.845
9.5966,8.7856,0.033595,0.85914,8.8441,-0.0010989,0.82117,1,3.0105,10.691,11.25,6.845
9.69,8.7018,0.040646,0.91384,8.7617,-0.0013759,0.87531,1,3.1108,10.791,11.25,6.845
9.7299,8.6125,0.048635,0.9743,8.6735,-0.0016894,0.93537,1,3.2112,10.891,11.25,6.845
9.7284,8.5154,0.057746,1.0389,8.5772,-0.0020412,0.99973,1,3.3116,10.992,11.25,6.845
9.6414,8.3984,0.069679,1.1064,8.4604,-0.0024638,1.0674,1,3.4119,11.092,11.25,6.845
9.4976,8.277,0.08262,1.1774,8.3382,-0.0029225,1.139,1,3.5123,11.192,11.25,6.845
9.2884,8.1368,0.098445,1.2548,8.1962,-0.0035004,1.2174,1,3.6126,11.293,11.25,6.845
8.956,7.9666,0.11853,1.3424,8.0222,-0.004314,1.3066,1,3.713,11.393,11.25,6.845
8.4664,7.7748,0.1413,1.4348,7.8243,-0.0053042,1.4008,1,3.8133,11.493,11.25,6.845
7.8073,7.5452,0.16746,1.5294,7.5851,-0.0062344,1.4978,1,3.9137,11.594,11.25,6.845
6.9825,7.2855,0.20058,1.6244,7.3469,-0.0056486,1.595,1,4.014,11.694,11.25,6.845
6.0642,7.0343,0.24303,1.7157,7.1439,0.0086053,1.6865,1,4.1143,11.794,11.25,6.845
5.2358,6.6944,0.26829,1.7856,6.7031,0.062762,1.7448,1,4.2147,11.895,11.25,6.845
4.272,6.0765,0.19848,1.7783,5.8673,0.1563,1.7073,1,4.3151,11.995,11.25,6.845
2.4747,5.6559,0.032752,1.6604,5.638,0.2195,1.5713,1,4.4154,12.095,11.25,6.845
0.45202,5.523,-0.033205,1.5138,5.6707,0.23515,1.429,1,4.5158,12.196,11.25,6.845
-0.94161,5.251,0.013001,1.3451,5.3309,0.24468,1.2785,1,4.6161,12.296,11.25,6.845
-2.0104,5.0091,0.07294,1.2084,5.06,0.24994,1.1559,1,4.7165,12.396,11.25,6.845
