"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.3472,9.7478,2.2481e-05,0.18994,9.7796,9.9103e-05,0.1623,1,0,7.68,11.25,6.845
4.4487,9.7367,1.2977e-05,0.19697,9.7699,0.00010381,0.16848,1,0.10035,7.7804,11.25,6.845
4.5711,9.7234,-3.9844e-06,0.2051,9.7582,0.00010947,0.1757,1,0.2007,7.8807,11.25,6.845
4.6934,9.7101,-2.0945e-05,0.21323,9.7465,0.00011513,0.18292,1,0.30105,7.9811,11.25,6.845
4.8147,9.6969,-3.8092e-05,0.22141,9.7349,0.00012077,0.1902,1,0.4014,8.0814,11.25,6.845
4.9506,9.6821,-6.632e-05,0.23089,9.7219,0.00012717,0.19868,1,0.50175,8.1818,11.25,6.845
5.095,9.6663,-9.7951e-05,0.24066,9.708,0.00013388,0.20746,1,0.6021,8.2821,11.25,6.845
5.2394,9.6506,-0.00012958,0.25043,9.6942,0.00014059,0.21624,1,0.70245,8.3825,11.25,6.845
5.3948,9.6337,-0.00017653,0.26159,9.6793,0.00014788,0.22633,1,0.8028,8.4828,11.25,6.845
5.5648,9.6153,-0.00023234,0.2733,9.663,0.00015565,0.23695,1,0.90315,8.5831,11.25,6.845
5.7347,9.5968,-0.00028815,0.285,9.6467,0.00016341,0.24758,1,1.0035,8.6835,11.25,6.845
5.9193,9.5768,-0.00036995,0.29847,9.6292,0.00017175,0.25988,1,1.1038,8.7838,11.25,6.845
6.1191,9.5552,-0.00046413,0.31243,9.6101,0.00018048,0.27269,1,1.2042,8.8842,11.25,6.845
6.3146,9.534,-0.00055809,0.32661,9.5914,0.00018916,0.28567,1,1.3046,8.9846,11.25,6.845
6.5443,9.5093,-0.00070591,0.34305,9.5696,0.00019851,0.30087,1,1.4049,9.0849,11.25,6.845
6.7792,9.484,-0.00085926,0.35964,9.5473,0.00020795,0.31622,1,1.5053,9.1853,11.25,6.845
7.0201,9.4582,-0.0010394,0.37754,9.5246,0.00021744,0.33281,1,1.6056,9.2856,11.25,6.845
7.2966,9.4286,-0.0012822,0.39715,9.4986,0.00022721,0.35113,1,1.706,9.386,11.25,6.845
7.5684,9.3996,-0.0015225,0.41701,9.4732,0.00023696,0.36964,1,1.8063,9.4863,11.25,6.845
7.8859,9.366,-0.0018783,0.43986,9.4438,0.00024658,0.39111,1,1.9067,9.5866,11.25,6.845
8.2125,9.3315,-0.0022507,0.46292,9.4135,0.00025619,0.41282,1,2.007,9.687,11.25,6.845
8.5663,9.2945,-0.0027236,0.48888,9.3814,0.00026539,0.4373,1,2.1073,9.7873,11.25,6.845
8.9538,9.254,-0.0032774,0.51587,9.3461,0.00027426,0.46288,1,2.2077,9.8877,11.25,6.845
9.3641,9.2116,-0.0039251,0.54557,9.3095,0.00028267,0.49102,1,2.3081,9.9881,11.25,6.845
9.826,9.164,-0.0047196,0.577,9.2685,0.00029037,0.52099,1,2.4084,10.088,11.25,6.845
10.315,9.1141,-0.0056215,0.61152,9.226,0.00029766,0.55385,1,2.5088,10.189,11.25,6.845
10.867,9.0579,-0.0067171,0.64795,9.1781,0.00030429,0.58874,1,2.6091,10.289,11.25,6.845
11.463,8.9975,-0.0079604,0.68864,9.1275,0.00031105,0.62758,1,2.7095,10.389,11.25,6.845
12.124,8.9306,-0.0093978,0.73068,9.0716,0.00031793,0.66794,1,2.8098,10.49,11.25,6.845
12.863,8.8554,-0.011021,0.77913,9.01,0.00032727,0.71419,1,2.9102,10.59,11.25,6.845
13.641,8.7756,-0.012705,0.83027,8.9452,0.00033783,0.76288,1,3.0105,10.691,11.25,6.845
14.568,8.6787,-0.014611,0.88549,8.8678,0.00035777,0.81575,1,3.1108,10.791,11.25,6.845
15.535,8.5729,-0.016234,0.94764,8.785,0.00038579,0.87448,1,3.2112,10.891,11.25,6.845
