"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.5482,9.749,3.4492e-05,0.18951,9.7807,9.9472e-05,0.16136,1,0,7.68,11.25,6.845
4.6526,9.7381,2.619e-05,0.19655,9.7711,0.00010436,0.16751,1,0.10035,7.7804,11.25,6.845
4.7783,9.7248,1.0684e-05,0.20471,9.7594,0.00011031,0.1747,1,0.2007,7.8807,11.25,6.845
4.9039,9.7116,-4.823e-06,0.21287,9.7477,0.00011626,0.18189,1,0.30105,7.9811,11.25,6.845
5.0283,9.6986,-2.0514e-05,0.22109,9.7362,0.0001222,0.18913,1,0.4014,8.0814,11.25,6.845
5.1674,9.6839,-4.7118e-05,0.23062,9.7232,0.00012907,0.19759,1,0.50175,8.1818,11.25,6.845
5.3151,9.6684,-7.7065e-05,0.24045,9.7094,0.0001363,0.20633,1,0.6021,8.2821,11.25,6.845
5.4627,9.6529,-0.00010701,0.25028,9.6956,0.00014353,0.21507,1,0.70245,8.3825,11.25,6.845
5.621,9.6363,-0.00015227,0.26152,9.6809,0.00015157,0.22512,1,0.8028,8.4828,11.25,6.845
5.7939,9.6181,-0.00020648,0.27332,9.6646,0.00016023,0.23571,1,0.90315,8.5831,11.25,6.845
5.9667,9.5999,-0.00026069,0.28512,9.6484,0.00016889,0.2463,1,1.0035,8.6835,11.25,6.845
6.1534,9.5804,-0.00034163,0.2987,9.6309,0.00017853,0.25855,1,1.1038,8.7838,11.25,6.845
6.3551,9.5593,-0.00043539,0.31282,9.6119,0.00018875,0.27132,1,1.2042,8.8842,11.25,6.845
6.5524,9.5386,-0.00052889,0.32713,9.5933,0.00019893,0.28426,1,1.3046,8.9846,11.25,6.845
6.7825,9.5147,-0.00067944,0.34377,9.5716,0.00021065,0.29941,1,1.4049,9.0849,11.25,6.845
7.0175,9.4902,-0.00083586,0.36058,9.5494,0.00022255,0.31472,1,1.5053,9.1853,11.25,6.845
7.2573,9.4653,-0.0010207,0.37869,9.5268,0.00023496,0.33126,1,1.6056,9.2856,11.25,6.845
7.5309,9.437,-0.0012731,0.3986,9.5009,0.00024869,0.34952,1,1.706,9.386,11.25,6.845
7.7994,9.4093,-0.0015224,0.41872,9.4755,0.00026238,0.36799,1,1.8063,9.4863,11.25,6.845
8.1091,9.3778,-0.0018988,0.44193,9.4463,0.00027796,0.3894,1,1.9067,9.5866,11.25,6.845
8.4275,9.3452,-0.0022935,0.46539,9.4161,0.00029381,0.41106,1,2.007,9.687,11.25,6.845
8.7676,9.311,-0.0028011,0.4917,9.3841,0.00031121,0.43548,1,2.1073,9.7873,11.25,6.845
9.1386,9.2738,-0.0034003,0.51917,9.349,0.00032978,0.46101,1,2.2077,9.8877,11.25,6.845
9.526,9.2355,-0.0041105,0.54923,9.3125,0.00035001,0.48908,1,2.3081,9.9881,11.25,6.845
9.9584,9.1929,-0.0049928,0.5812,9.2716,0.00037252,0.51899,1,2.4084,10.088,11.25,6.845
10.409,9.1492,-0.0060097,0.61603,9.2292,0.00039761,0.55179,1,2.5088,10.189,11.25,6.845
10.912,9.1008,-0.0072671,0.65297,9.1816,0.00042659,0.58662,1,2.6091,10.289,11.25,6.845
11.443,9.0504,-0.008727,0.69374,9.1311,0.00046109,0.62539,1,2.7095,10.389,11.25,6.845
12.027,8.9954,-0.010445,0.73609,9.0754,0.00050118,0.6657,1,2.8098,10.49,11.25,6.845
12.657,8.9364,-0.012484,0.78401,9.014,0.00055476,0.71188,1,2.9102,10.59,11.25,6.845
13.311,8.8751,-0.014653,0.83419,8.9493,0.00061486,0.7605,1,3.0105,10.691,11.25,6.845
14.064,8.8047,-0.017369,0.88836,8.8722,0.00070498,0.8133,1,3.1108,10.791,11.25,6.845
14.822,8.7313,-0.020068,0.9476,8.7896,0.00081718,0.87197,1,3.2112,10.891,11.25,6.845
15.604,8.653,-0.022808,1.0105,8.6993,0.00095292,0.93499,1,3.3116,10.992,11.25,6.845
16.439,8.562,-0.025509,1.0764,8.589,0.0011568,1.0016,1,3.4119,11.092,11.25,6.845
17.179,8.4707,-0.027286,1.1444,8.4736,0.0013705,1.0722,1,3.5123,11.192,11.25,6.845
17.856,8.3687,-0.027427,1.2174,8.3391,0.0015991,1.1498,1,3.6126,11.293,11.25,6.845
18.311,8.2493,-0.023242,1.2986,8.1739,0.001823,1.2384,1,3.713,11.393,11.25,6.845
18.279,8.1185,-0.012362,1.382,7.9852,0.0020572,1.3325,1,3.8133,11.493,11.25,6.845
17.543,7.9677,0.0082482,1.465,7.7566,0.0025414,1.4297,1,3.9137,11.594,11.25,6.845
15.812,7.7895,0.044834,1.5445,7.5304,0.0048139,1.5278,1,4.014,11.694,11.25,6.845
12.805,7.5855,0.10627,1.6165,7.3402,0.022009,1.6208,1,4.1143,11.794,11.25,6.845
8.4606,7.3222,0.18986,1.673,6.9123,0.082278,1.6814,1,4.2147,11.895,11.25,6.845
3.1037,6.911,0.25323,1.6907,6.0927,0.18405,1.6467,1,4.3151,11.995,11.25,6.845
-2.689,6.4557,0.23626,1.6334,5.8756,0.25099,1.5132,1,4.4154,12.095,11.25,6.845
