"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.7089,9.6755,0.11012,0.25792,1,0,7.68,12.39,6.845
5.8394,9.6615,0.11458,0.26677,1,0.09965,7.7797,12.39,6.845
5.9872,9.6458,0.12057,0.27702,1,0.1993,7.8793,12.39,6.845
6.1351,9.6301,0.12656,0.28726,1,0.29895,7.979,12.39,6.845
6.2852,9.6141,0.13215,0.29761,1,0.3986,8.0786,12.39,6.845
6.4522,9.5964,0.13879,0.3093,1,0.49825,8.1783,12.39,6.845
6.6254,9.5781,0.14601,0.32149,1,0.5979,8.2779,12.39,6.845
6.8003,9.5597,0.15294,0.33378,1,0.69755,8.3776,12.39,6.845
6.9921,9.5395,0.16055,0.34737,1,0.7972,8.4772,12.39,6.845
7.1949,9.5184,0.16921,0.36188,1,0.89685,8.5768,12.39,6.845
7.3995,9.4971,0.17753,0.37649,1,0.9965,8.6765,12.39,6.845
7.6255,9.4738,0.18674,0.39275,1,1.0961,8.7761,12.39,6.845
7.8631,9.4496,0.19707,0.40999,1,1.1958,8.8758,12.39,6.845
8.1042,9.4248,0.20676,0.42741,1,1.2954,8.9754,12.39,6.845
8.3772,9.3975,0.21841,0.44734,1,1.3951,9.0751,12.39,6.845
8.6566,9.3697,0.23066,0.46779,1,1.4948,9.1748,12.39,6.845
8.9517,9.3403,0.24238,0.4893,1,1.5944,9.2744,12.39,6.845
9.2821,9.3087,0.25681,0.51352,1,1.6941,9.3741,12.39,6.845
9.6157,9.2764,0.27059,0.53792,1,1.7937,9.4737,12.39,6.845
9.9963,9.241,0.28648,0.56563,1,1.8934,9.5733,12.39,6.845
10.39,9.2049,0.30336,0.59429,1,1.993,9.673,12.39,6.845
10.826,9.1655,0.3204,0.62564,1,2.0926,9.7726,12.39,6.845
11.3,9.1245,0.34014,0.65951,1,2.1923,9.8723,12.39,6.845
11.811,9.0806,0.35944,0.69555,1,2.2919,9.9719,12.39,6.845
12.388,9.034,0.38235,0.73558,1,2.3916,10.072,12.39,6.845
13.008,8.9844,0.40465,0.77791,1,2.4913,10.171,12.39,6.845
13.721,8.9316,0.43111,0.82526,1,2.5909,10.271,12.39,6.845
14.505,8.8746,0.45724,0.87609,1,2.6906,10.371,12.39,6.845
15.397,8.8145,0.48755,0.93217,1,2.7902,10.47,12.39,6.845
16.434,8.7482,0.51858,0.99454,1,2.8899,10.57,12.39,6.845
17.568,8.6786,0.55147,1.0611,1,2.9895,10.67,12.39,6.845
19.003,8.6014,0.59018,1.1393,1,3.0891,10.769,12.39,6.845
20.617,8.5183,0.62873,1.2237,1,3.1888,10.869,12.39,6.845
22.528,8.4286,0.67148,1.3183,1,3.2884,10.968,12.39,6.845
25.003,8.3271,0.71989,1.4302,1,3.3881,11.068,12.39,6.845
27.923,8.2192,0.7662,1.5499,1,3.4878,11.168,12.39,6.845
31.525,8.1032,0.81396,1.6839,1,3.5874,11.267,12.39,6.845
36.701,7.9624,0.87152,1.861,1,3.6871,11.367,12.39,6.845
43.214,7.8132,0.93338,2.0713,1,3.7867,11.467,12.39,6.845
51.494,7.6592,0.99829,2.3199,1,3.8864,11.566,12.39,6.845
60.244,7.4978,1.0743,2.5964,1,3.986,11.666,12.39,6.845
63.566,7.276,1.1956,2.8427,1,4.0856,11.766,12.39,6.845
49.194,6.8922,1.414,2.9177,1,4.1853,11.865,12.39,6.845
14.283,6.4474,1.6951,2.7321,1,4.2849,11.965,12.39,6.845
-24.586,6.1159,1.9154,2.3791,1,4.3846,12.065,12.39,6.845
-49.506,5.8179,1.976,2.0095,1,4.4843,12.164,12.39,6.845
-57.247,5.4656,1.8725,1.6892,1,4.5839,12.264,12.39,6.845
-52.998,5.068,1.6721,1.4334,1,4.6836,12.364,12.39,6.845
-44.292,4.6776,1.4557,1.2303,1,4.7832,12.463,12.39,6.845
-36.36,4.3496,1.2712,1.0622,1,4.8829,12.563,12.39,6.845
-30.688,4.0936,1.132,0.92734,1,4.9825,12.663,12.39,6.845
-26.62,3.8694,1.0262,0.81444,1,5.0821,12.762,12.39,6.845
-23.512,3.6727,0.94198,0.7179,1,5.1818,12.862,12.39,6.845
-21.062,3.4952,0.87314,0.6345,1,5.2814,12.961,12.39,6.845
-19.108,3.3329,0.81574,0.56156,1,5.3811,13.061,12.39,6.845
-17.606,3.1829,0.76916,0.50034,1,5.4808,13.161,12.39,6.845
-16.382,3.049,0.72941,0.44513,1,5.5804,13.26,12.39,6.845
-15.356,2.9259,0.69541,0.39591,1,5.6801,13.36,12.39,6.845
-14.491,2.8109,0.6661,0.35187,1,5.7797,13.46,12.39,6.845
-13.789,2.7017,0.64215,0.31486,1,5.8794,13.559,12.39,6.845
-13.199,2.6029,0.62044,0.28085,1,5.979,13.659,12.39,6.845
-12.682,2.512,0.60065,0.2492,1,6.0786,13.759,12.39,6.845
-12.229,2.4262,0.58239,0.21983,1,6.1783,13.858,12.39,6.845
-11.852,2.3433,0.56619,0.19398,1,6.2779,13.958,12.39,6.845
-11.52,2.271,0.55411,0.17218,1,6.3776,14.058,12.39,6.845
-11.221,2.2028,0.54406,0.15207,1,6.4773,14.157,12.39,6.845
-10.96,2.1367,0.53637,0.13388,1,6.5769,14.257,12.39,6.845
-10.727,2.0783,0.53025,0.11673,1,6.6766,14.357,12.39,6.845
-10.512,2.0244,0.52473,0.10011,1,6.7762,14.456,12.39,6.845
-10.315,1.9732,0.51864,0.083663,1,6.8759,14.556,12.39,6.845
-10.136,1.9263,0.5124,0.067842,1,6.9755,14.656,12.39,6.845
-9.968,1.883,0.50712,0.053916,1,7.0752,14.755,12.39,6.845
-9.8125,1.8404,0.50214,0.040705,1,7.1748,14.855,12.39,6.845
-9.6696,1.8021,0.49901,0.029872,1,7.2744,14.954,12.39,6.845
-9.5324,1.7663,0.49647,0.018701,1,7.3741,15.054,12.39,6.845
-9.404,1.7325,0.49321,0.0073745,1,7.4738,15.154,12.39,6.845
-9.2792,1.7023,0.49019,-0.0049873,1,7.5734,15.253,12.39,6.845
