"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.021897,9.6697,0.11568,0.24605,9.671,0.11542,0.2451,5.3079,1,0,10.68,12.55,6.845
-0.022124,9.6684,0.11625,0.24689,9.6697,0.11599,0.24594,5.3201,1,0.010035,10.69,12.55,6.845
-0.022351,9.6671,0.11682,0.24773,9.6684,0.11655,0.24678,5.3324,1,0.02007,10.7,12.55,6.845
-0.022578,9.6657,0.11739,0.24856,9.667,0.11712,0.24761,5.3446,1,0.030105,10.71,12.55,6.845
-0.022805,9.6644,0.11796,0.2494,9.6657,0.11769,0.24845,5.3569,1,0.04014,10.72,12.55,6.845
-0.023032,9.6631,0.11853,0.25024,9.6644,0.11825,0.24929,5.3691,1,0.050175,10.73,12.55,6.845
-0.023259,9.6618,0.1191,0.25108,9.6631,0.11882,0.25013,5.3814,1,0.060209,10.74,12.55,6.845
-0.023486,9.6604,0.11967,0.25191,9.6617,0.11939,0.25097,5.3936,1,0.070245,10.75,12.55,6.845
-0.023713,9.6591,0.12024,0.25275,9.6604,0.11995,0.25181,5.4059,1,0.080279,10.76,12.55,6.845
-0.02394,9.6578,0.12081,0.25359,9.6591,0.12052,0.25264,5.4181,1,0.090315,10.77,12.55,6.845
-0.024167,9.6564,0.12138,0.25443,9.6578,0.12109,0.25348,5.4304,1,0.10035,10.78,12.55,6.845
-0.024396,9.6551,0.12193,0.25527,9.6564,0.12164,0.25432,5.4428,1,0.11038,10.79,12.55,6.845
-0.024632,9.6537,0.12244,0.25613,9.6551,0.12215,0.25518,5.4556,1,0.12042,10.8,12.55,6.845
-0.024868,9.6523,0.12295,0.25698,9.6537,0.12266,0.25604,5.4684,1,0.13046,10.81,12.55,6.845
-0.025103,9.651,0.12346,0.25784,9.6523,0.12317,0.2569,5.4813,1,0.14049,10.82,12.55,6.845
-0.025339,9.6496,0.12397,0.2587,9.6509,0.12367,0.25775,5.4941,1,0.15053,10.831,12.55,6.845
-0.025599,9.6482,0.12455,0.25958,9.6495,0.12424,0.25864,5.507,1,0.16056,10.841,12.55,6.845
-0.025876,9.6467,0.12517,0.26049,9.6481,0.12486,0.25954,5.52,1,0.1706,10.851,12.55,6.845
-0.026154,9.6453,0.12579,0.26139,9.6467,0.12548,0.26045,5.533,1,0.18063,10.861,12.55,6.845
-0.026432,9.6439,0.12641,0.2623,9.6453,0.1261,0.26136,5.546,1,0.19066,10.871,12.55,6.845
-0.02671,9.6425,0.12703,0.2632,9.6439,0.12672,0.26226,5.5591,1,0.2007,10.881,12.55,6.845
-0.026988,9.6411,0.12765,0.26411,9.6425,0.12733,0.26317,5.5721,1,0.21073,10.891,12.55,6.845
-0.027265,9.6396,0.12827,0.26501,9.6411,0.12795,0.26408,5.5851,1,0.22077,10.901,12.55,6.845
-0.027543,9.6382,0.12889,0.26592,9.6397,0.12857,0.26498,5.5981,1,0.2308,10.911,12.55,6.845
-0.027821,9.6368,0.12951,0.26682,9.6382,0.12919,0.26589,5.6111,1,0.24084,10.921,12.55,6.845
-0.028099,9.6354,0.13013,0.26773,9.6368,0.1298,0.2668,5.6241,1,0.25087,10.931,12.55,6.845
-0.028379,9.634,0.13074,0.26864,9.6354,0.13041,0.26771,5.6373,1,0.26091,10.941,12.55,6.845
-0.028669,9.6325,0.1313,0.26957,9.6339,0.13096,0.26864,5.6509,1,0.27094,10.951,12.55,6.845
-0.028958,9.631,0.13185,0.27049,9.6325,0.13152,0.26956,5.6646,1,0.28098,10.961,12.55,6.845
-0.029247,9.6295,0.13241,0.27142,9.631,0.13207,0.27049,5.6783,1,0.29101,10.971,12.55,6.845
-0.029537,9.628,0.13297,0.27235,9.6295,0.13262,0.27142,5.6919,1,0.30105,10.981,12.55,6.845
-0.029805,9.6265,0.13363,0.27332,9.628,0.13328,0.27239,5.7057,1,0.31108,10.991,12.55,6.845
-0.030071,9.625,0.1343,0.27429,9.6265,0.13395,0.27337,5.7194,1,0.32112,11.001,12.55,6.845
-0.030337,9.6234,0.13498,0.27527,9.625,0.13462,0.27435,5.7332,1,0.33115,11.011,12.55,6.845
-0.030603,9.6219,0.13565,0.27624,9.6234,0.1353,0.27532,5.7469,1,0.34119,11.021,12.55,6.845
-0.030869,9.6204,0.13633,0.27722,9.6219,0.13597,0.2763,5.7607,1,0.35122,11.031,12.55,6.845
-0.031135,9.6189,0.137,0.27819,9.6204,0.13664,0.27728,5.7745,1,0.36126,11.041,12.55,6.845
-0.031402,9.6173,0.13768,0.27917,9.6189,0.13731,0.27826,5.7882,1,0.37129,11.051,12.55,6.845
-0.031668,9.6158,0.13835,0.28015,9.6174,0.13798,0.27923,5.802,1,0.38133,11.061,12.55,6.845
-0.031934,9.6143,0.13903,0.28112,9.6158,0.13865,0.28021,5.8157,1,0.39137,11.071,12.55,6.845
-0.032202,9.6127,0.13969,0.2821,9.6143,0.13931,0.28119,5.8296,1,0.4014,11.081,12.55,6.845
-0.03248,9.6111,0.14029,0.2831,9.6127,0.13991,0.2822,5.8441,1,0.41144,11.091,12.55,6.845
-0.032757,9.6095,0.1409,0.2841,9.6111,0.14051,0.2832,5.8586,1,0.42147,11.101,12.55,6.845
-0.033035,9.6079,0.1415,0.2851,9.6095,0.14111,0.2842,5.8731,1,0.4315,11.112,12.55,6.845
-0.033317,9.6063,0.14212,0.2861,9.608,0.14172,0.28519,5.8876,1,0.44154,11.122,12.55,6.845
-0.033625,9.6048,0.14278,0.28706,9.6064,0.14239,0.28616,5.9019,1,0.45157,11.132,12.55,6.845
-0.033933,9.6033,0.14345,0.28802,9.6049,0.14305,0.28712,5.9162,1,0.46161,11.142,12.55,6.845
-0.034241,9.6018,0.14412,0.28898,9.6034,0.14372,0.28808,5.9305,1,0.47164,11.152,12.55,6.845
-0.03455,9.6003,0.14479,0.28994,9.6019,0.14438,0.28904,5.9447,1,0.48168,11.162,12.55,6.845
-0.034858,9.5988,0.14546,0.2909,9.6004,0.14505,0.29001,5.959,1,0.49171,11.172,12.55,6.845
-0.035166,9.5972,0.14613,0.29186,9.5989,0.14571,0.29097,5.9733,1,0.50175,11.182,12.55,6.845
-0.035475,9.5957,0.1468,0.29282,9.5974,0.14637,0.29193,5.9876,1,0.51178,11.192,12.55,6.845
-0.035783,9.5942,0.14747,0.29378,9.5959,0.14704,0.29289,6.0019,1,0.52182,11.202,12.55,6.845
-0.036092,9.5927,0.14814,0.29474,9.5944,0.1477,0.29386,6.0162,1,0.53185,11.212,12.55,6.845
-0.036413,9.5911,0.14874,0.29572,9.5928,0.1483,0.29484,6.0313,1,0.54189,11.222,12.55,6.845
-0.036734,9.5895,0.14934,0.29671,9.5912,0.1489,0.29583,6.0464,1,0.55192,11.232,12.55,6.845
-0.037055,9.5879,0.14994,0.29769,9.5897,0.14949,0.29682,6.0615,1,0.56196,11.242,12.55,6.845
-0.037429,9.5863,0.15058,0.29871,9.588,0.15013,0.29784,6.0769,1,0.57199,11.252,12.55,6.845
-0.038015,9.5845,0.15139,0.29986,9.5863,0.15093,0.29899,6.0938,1,0.58203,11.262,12.55,6.845
-0.038601,9.5827,0.15219,0.30101,9.5845,0.15173,0.30015,6.1107,1,0.59206,11.272,12.55,6.845
-0.039187,9.581,0.153,0.30216,9.5827,0.15254,0.3013,6.1276,1,0.6021,11.282,12.55,6.845
-0.039774,9.5792,0.15381,0.30331,9.581,0.15334,0.30246,6.1445,1,0.61213,11.292,12.55,6.845
-0.04036,9.5774,0.15462,0.30447,9.5792,0.15414,0.30361,6.1614,1,0.62217,11.302,12.55,6.845
-0.040946,9.5756,0.15543,0.30562,9.5774,0.15494,0.30477,6.1783,1,0.63221,11.312,12.55,6.845
-0.041535,9.5738,0.15622,0.30677,9.5756,0.15573,0.30593,6.1953,1,0.64224,11.322,12.55,6.845
-0.042143,9.572,0.15695,0.30796,9.5738,0.15645,0.30711,6.2132,1,0.65228,11.332,12.55,6.845
-0.042751,9.5701,0.15767,0.30914,9.5719,0.15717,0.3083,6.2311,1,0.66231,11.342,12.55,6.845
-0.043351,9.5682,0.15842,0.31033,9.5701,0.15792,0.30949,6.2486,1,0.67235,11.352,12.55,6.845
-0.04391,9.5664,0.15929,0.31156,9.5683,0.15878,0.31073,6.2645,1,0.68238,11.362,12.55,6.845
-0.044469,9.5646,0.16016,0.31279,9.5665,0.15964,0.31196,6.2804,1,0.69241,11.372,12.55,6.845
-0.045028,9.5628,0.16103,0.31402,9.5647,0.1605,0.3132,6.2963,1,0.70245,11.382,12.55,6.845
-0.045587,9.561,0.16189,0.31526,9.5629,0.16136,0.31443,6.3121,1,0.71248,11.392,12.55,6.845
-0.046146,9.5592,0.16276,0.31649,9.5611,0.16223,0.31567,6.328,1,0.72252,11.403,12.55,6.845
-0.046705,9.5574,0.16363,0.31772,9.5593,0.16309,0.31691,6.3439,1,0.73255,11.413,12.55,6.845
-0.047265,9.5555,0.1645,0.31895,9.5575,0.16395,0.31814,6.3598,1,0.74259,11.423,12.55,6.845
-0.047843,9.5536,0.16527,0.32022,9.5556,0.16472,0.31941,6.3766,1,0.75262,11.433,12.55,6.845
-0.048422,9.5517,0.16605,0.32148,9.5537,0.1655,0.32068,6.3935,1,0.76266,11.443,12.55,6.845
-0.049,9.5498,0.16683,0.32274,9.5519,0.16627,0.32194,6.4104,1,0.77269,11.453,12.55,6.845
-0.049512,9.548,0.16776,0.32405,9.55,0.16719,0.32326,6.4261,1,0.78273,11.463,12.55,6.845
-0.050025,9.5461,0.16868,0.32536,9.5482,0.16811,0.32457,6.4418,1,0.79276,11.473,12.55,6.845
-0.050538,9.5443,0.16961,0.32666,9.5463,0.16902,0.32588,6.4576,1,0.8028,11.483,12.55,6.845
-0.051051,9.5424,0.17053,0.32797,9.5445,0.16994,0.32719,6.4733,1,0.81283,11.493,12.55,6.845
-0.051564,9.5406,0.17146,0.32927,9.5427,0.17086,0.3285,6.489,1,0.82287,11.503,12.55,6.845
-0.052077,9.5387,0.17238,0.33058,9.5408,0.17178,0.32981,6.5048,1,0.8329,11.513,12.55,6.845
-0.052589,9.5369,0.17331,0.33189,9.539,0.17269,0.33112,6.5205,1,0.84294,11.523,12.55,6.845
-0.053117,9.5349,0.17416,0.33322,9.5371,0.17354,0.33245,6.537,1,0.85297,11.533,12.55,6.845
-0.053649,9.533,0.17499,0.33456,9.5351,0.17437,0.3338,6.5538,1,0.86301,11.543,12.55,6.845
-0.054182,9.5311,0.17582,0.3359,9.5332,0.17519,0.33514,6.5706,1,0.87304,11.553,12.55,6.845
-0.054786,9.5291,0.17676,0.33727,9.5313,0.17612,0.33652,6.587,1,0.88308,11.563,12.55,6.845
-0.055425,9.5272,0.17774,0.33866,9.5294,0.1771,0.33791,6.6031,1,0.89312,11.573,12.55,6.845
-0.056064,9.5252,0.17873,0.34004,9.5274,0.17808,0.3393,6.6193,1,0.90315,11.583,12.55,6.845
-0.056703,9.5233,0.17972,0.34143,9.5255,0.17905,0.3407,6.6355,1,0.91319,11.593,12.55,6.845
-0.057342,9.5213,0.18071,0.34282,9.5236,0.18003,0.34209,6.6517,1,0.92322,11.603,12.55,6.845
-0.057982,9.5194,0.18169,0.3442,9.5216,0.18101,0.34348,6.6678,1,0.93325,11.613,12.55,6.845
-0.058621,9.5174,0.18268,0.34559,9.5197,0.18199,0.34487,6.684,1,0.94329,11.623,12.55,6.845
-0.059268,9.5155,0.18364,0.34699,9.5178,0.18294,0.34628,6.7005,1,0.95332,11.633,12.55,6.845
-0.059935,9.5134,0.18452,0.34841,9.5157,0.18382,0.34771,6.7178,1,0.96336,11.643,12.55,6.845
-0.060603,9.5114,0.18541,0.34984,9.5137,0.1847,0.34913,6.7352,1,0.97339,11.653,12.55,6.845
-0.061284,9.5093,0.18633,0.35127,9.5117,0.18561,0.35057,6.7524,1,0.98343,11.663,12.55,6.845
-0.062026,9.5073,0.18738,0.35275,9.5096,0.18665,0.35206,6.7693,1,0.99346,11.673,12.55,6.845
-0.062769,9.5052,0.18844,0.35422,9.5076,0.1877,0.35354,6.7862,1,1.0035,11.684,12.55,6.845
-0.063511,9.5031,0.1895,0.3557,9.5056,0.18875,0.35502,6.8031,1,1.0135,11.694,12.55,6.845
-0.064253,9.5011,0.19055,0.35717,9.5035,0.18979,0.3565,6.82,1,1.0236,11.704,12.55,6.845
-0.064995,9.499,0.19161,0.35865,9.5015,0.19084,0.35799,6.8369,1,1.0336,11.714,12.55,6.845
-0.065738,9.497,0.19267,0.36012,9.4994,0.19188,0.35947,6.8538,1,1.0436,11.724,12.55,6.845
-0.06648,9.4949,0.19372,0.3616,9.4974,0.19293,0.36095,6.8706,1,1.0537,11.734,12.55,6.845
-0.067246,9.4928,0.1947,0.3631,9.4953,0.1939,0.36246,6.8884,1,1.0637,11.744,12.55,6.845
-0.068022,9.4906,0.19565,0.36462,9.4931,0.19484,0.36398,6.9066,1,1.0737,11.754,12.55,6.845
-0.068798,9.4884,0.1966,0.36614,9.491,0.19578,0.36551,6.9247,1,1.0838,11.764,12.55,6.845
-0.069613,9.4863,0.19765,0.36769,9.4889,0.19682,0.36706,6.9426,1,1.0938,11.774,12.55,6.845
-0.07046,9.4841,0.19878,0.36926,9.4867,0.19794,0.36864,6.9602,1,1.1038,11.784,12.55,6.845
-0.071308,9.4819,0.19992,0.37084,9.4845,0.19906,0.37023,6.9778,1,1.1139,11.794,12.55,6.845
-0.072155,9.4797,0.20105,0.37241,9.4824,0.20018,0.37181,6.9954,1,1.1239,11.804,12.55,6.845
-0.073002,9.4776,0.20218,0.37398,9.4802,0.2013,0.37339,7.0131,1,1.134,11.814,12.55,6.845
-0.073849,9.4754,0.20331,0.37556,9.4781,0.20242,0.37497,7.0307,1,1.144,11.824,12.55,6.845
-0.074697,9.4732,0.20445,0.37713,9.4759,0.20354,0.37656,7.0483,1,1.154,11.834,12.55,6.845
-0.075544,9.471,0.20558,0.37871,9.4738,0.20466,0.37814,7.0659,1,1.1641,11.844,12.55,6.845
-0.076428,9.4688,0.20661,0.38033,9.4715,0.20568,0.37976,7.0848,1,1.1741,11.854,12.55,6.845
-0.077314,9.4665,0.20762,0.38194,9.4692,0.20668,0.38139,7.1038,1,1.1841,11.864,12.55,6.845
-0.0782,9.4642,0.20864,0.38356,9.467,0.20769,0.38301,7.1228,1,1.1942,11.874,12.55,6.845
-0.079153,9.4619,0.20981,0.38523,9.4647,0.20884,0.38469,7.1413,1,1.2042,11.884,12.55,6.845
-0.080128,9.4596,0.21103,0.38692,9.4624,0.21005,0.38638,7.1596,1,1.2142,11.894,12.55,6.845
-0.081104,9.4573,0.21225,0.3886,9.4602,0.21125,0.38808,7.1779,1,1.2243,11.904,12.55,6.845
-0.082079,9.455,0.21346,0.39028,9.4579,0.21245,0.38977,7.1962,1,1.2343,11.914,12.55,6.845
-0.083055,9.4527,0.21468,0.39197,9.4556,0.21366,0.39146,7.2145,1,1.2443,11.924,12.55,6.845
-0.08403,9.4504,0.2159,0.39365,9.4533,0.21486,0.39316,7.2328,1,1.2544,11.934,12.55,6.845
-0.085006,9.4481,0.21712,0.39534,9.4511,0.21606,0.39485,7.2511,1,1.2644,11.944,12.55,6.845
-0.085982,9.4458,0.21834,0.39702,9.4488,0.21726,0.39655,7.2694,1,1.2744,11.954,12.55,6.845
-0.087004,9.4433,0.21943,0.39876,9.4464,0.21835,0.39829,7.2892,1,1.2845,11.964,12.55,6.845
-0.088025,9.4409,0.22053,0.40049,9.444,0.21943,0.40003,7.3091,1,1.2945,11.975,12.55,6.845
-0.089047,9.4385,0.22162,0.40222,9.4416,0.22051,0.40177,7.3289,1,1.3046,11.985,12.55,6.845
-0.090156,9.436,0.22288,0.40401,9.4392,0.22176,0.40357,7.3481,1,1.3146,11.995,12.55,6.845
-0.091292,9.4336,0.2242,0.40582,9.4368,0.22305,0.40539,7.367,1,1.3246,12.005,12.55,6.845
-0.092427,9.4312,0.22551,0.40762,9.4344,0.22435,0.4072,7.386,1,1.3347,12.015,12.55,6.845
-0.093563,9.4287,0.22683,0.40943,9.432,0.22564,0.40902,7.405,1,1.3447,12.025,12.55,6.845
-0.094698,9.4263,0.22814,0.41124,9.4296,0.22694,0.41084,7.4239,1,1.3547,12.035,12.55,6.845
-0.095834,9.4239,0.22945,0.41304,9.4272,0.22823,0.41266,7.4429,1,1.3648,12.045,12.55,6.845
-0.096969,9.4214,0.23077,0.41485,9.4248,0.22953,0.41447,7.4618,1,1.3748,12.055,12.55,6.845
-0.098105,9.419,0.23208,0.41666,9.4224,0.23082,0.41629,7.4808,1,1.3848,12.065,12.55,6.845
-0.099292,9.4164,0.23327,0.41851,9.4198,0.232,0.41816,7.5013,1,1.3949,12.075,12.55,6.845
-0.10048,9.4139,0.23445,0.42037,9.4173,0.23316,0.42002,7.522,1,1.4049,12.085,12.55,6.845
-0.10167,9.4113,0.23563,0.42223,9.4147,0.23433,0.42189,7.5427,1,1.4149,12.095,12.55,6.845
-0.10295,9.4087,0.23697,0.42414,9.4122,0.23564,0.42382,7.5627,1,1.425,12.105,12.55,6.845
-0.10428,9.4061,0.23839,0.42608,9.4097,0.23704,0.42577,7.5823,1,1.435,12.115,12.55,6.845
-0.10561,9.4035,0.23981,0.42803,9.4071,0.23844,0.42773,7.6019,1,1.445,12.125,12.55,6.845
-0.10695,9.401,0.24123,0.42997,9.4046,0.23983,0.42968,7.6216,1,1.4551,12.135,12.55,6.845
-0.10828,9.3984,0.24265,0.43191,9.402,0.24123,0.43164,7.6412,1,1.4651,12.145,12.55,6.845
-0.10961,9.3958,0.24407,0.43385,9.3995,0.24263,0.43359,7.6608,1,1.4751,12.155,12.55,6.845
-0.11094,9.3932,0.24549,0.4358,9.3969,0.24403,0.43555,7.6804,1,1.4852,12.165,12.55,6.845
-0.11227,9.3906,0.24691,0.43774,9.3944,0.24542,0.4375,7.7001,1,1.4952,12.175,12.55,6.845
-0.11365,9.388,0.24824,0.43972,9.3917,0.24673,0.4395,7.721,1,1.5052,12.185,12.55,6.845
-0.11505,9.3852,0.24951,0.44172,9.389,0.24799,0.44151,7.7425,1,1.5153,12.195,12.55,6.845
-0.11644,9.3825,0.25079,0.44372,9.3863,0.24924,0.44352,7.7641,1,1.5253,12.205,12.55,6.845
-0.1179,9.3797,0.25216,0.44575,9.3836,0.25059,0.44556,7.7852,1,1.5354,12.215,12.55,6.845
-0.11947,9.377,0.2537,0.44785,9.3809,0.2521,0.44767,7.8055,1,1.5454,12.225,12.55,6.845
-0.12104,9.3742,0.25524,0.44994,9.3782,0.25361,0.44978,7.8257,1,1.5554,12.235,12.55,6.845
-0.12261,9.3715,0.25678,0.45204,9.3755,0.25512,0.45189,7.846,1,1.5655,12.245,12.55,6.845
-0.12418,9.3688,0.25832,0.45413,9.3728,0.25664,0.454,7.8663,1,1.5755,12.255,12.55,6.845
-0.12576,9.366,0.25986,0.45623,9.3701,0.25815,0.45611,7.8866,1,1.5855,12.266,12.55,6.845
-0.12733,9.3633,0.2614,0.45832,9.3674,0.25966,0.45822,7.9068,1,1.5956,12.276,12.55,6.845
-0.1289,9.3605,0.26294,0.46042,9.3647,0.26117,0.46033,7.9271,1,1.6056,12.286,12.55,6.845
-0.13049,9.3578,0.26444,0.46253,9.362,0.26265,0.46246,7.9479,1,1.6156,12.296,12.55,6.845
-0.13214,9.3548,0.26583,0.46468,9.3591,0.26401,0.46463,7.9703,1,1.6257,12.306,12.55,6.845
-0.13379,9.3519,0.26722,0.46684,9.3563,0.26537,0.4668,7.9928,1,1.6357,12.316,12.55,6.845
-0.13545,9.349,0.2686,0.469,9.3534,0.26673,0.46897,8.0152,1,1.6457,12.326,12.55,6.845
-0.13728,9.3461,0.27024,0.47125,9.3505,0.26833,0.47124,8.0363,1,1.6558,12.336,12.55,6.845
-0.13915,9.3432,0.27191,0.47352,9.3477,0.26998,0.47352,8.0572,1,1.6658,12.346,12.55,6.845
-0.14102,9.3402,0.27359,0.47578,9.3448,0.27162,0.4758,8.0781,1,1.6758,12.356,12.55,6.845
-0.14289,9.3373,0.27527,0.47805,9.3419,0.27326,0.47809,8.099,1,1.6859,12.366,12.55,6.845
-0.14476,9.3344,0.27694,0.48032,9.339,0.2749,0.48037,8.1199,1,1.6959,12.376,12.55,6.845
-0.14663,9.3315,0.27862,0.48258,9.3362,0.27654,0.48266,8.1408,1,1.7059,12.386,12.55,6.845
-0.14849,9.3286,0.2803,0.48485,9.3333,0.27818,0.48494,8.1617,1,1.716,12.396,12.55,6.845
-0.15036,9.3256,0.28197,0.48712,9.3304,0.27983,0.48722,8.1826,1,1.726,12.406,12.55,6.845
-0.1523,9.3226,0.28354,0.48943,9.3274,0.28136,0.48955,8.205,1,1.7361,12.416,12.55,6.845
-0.15426,9.3195,0.28505,0.49176,9.3244,0.28284,0.4919,8.2283,1,1.7461,12.426,12.55,6.845
-0.15623,9.3164,0.28656,0.4941,9.3213,0.28432,0.49425,8.2516,1,1.7561,12.436,12.55,6.845
-0.15825,9.3132,0.28813,0.49646,9.3183,0.28586,0.49663,8.2745,1,1.7662,12.446,12.55,6.845
-0.16049,9.3101,0.28996,0.49892,9.3152,0.28764,0.49911,8.296,1,1.7762,12.456,12.55,6.845
-0.16273,9.307,0.29179,0.50138,9.3122,0.28943,0.50159,8.3174,1,1.7862,12.466,12.55,6.845
-0.16497,9.3039,0.29363,0.50384,9.3091,0.29122,0.50407,8.3389,1,1.7963,12.476,12.55,6.845
-0.16722,9.3008,0.29546,0.5063,9.306,0.29301,0.50655,8.3604,1,1.8063,12.486,12.55,6.845
-0.16946,9.2977,0.29729,0.50876,9.303,0.29479,0.50903,8.3818,1,1.8163,12.496,12.55,6.845
-0.1717,9.2945,0.29912,0.51122,9.2999,0.29658,0.51151,8.4033,1,1.8264,12.506,12.55,6.845
-0.17394,9.2914,0.30095,0.51368,9.2969,0.29837,0.51399,8.4247,1,1.8364,12.516,12.55,6.845
-0.17618,9.2883,0.30278,0.51614,9.2938,0.30016,0.51647,8.4462,1,1.8464,12.526,12.55,6.845
-0.17853,9.285,0.30445,0.51867,9.2906,0.30179,0.51902,8.47,1,1.8565,12.536,12.55,6.845
-0.18089,9.2817,0.3061,0.52121,9.2873,0.3034,0.52157,8.4942,1,1.8665,12.547,12.55,6.845
-0.18325,9.2783,0.30775,0.52374,9.284,0.30501,0.52412,8.5183,1,1.8765,12.557,12.55,6.845
-0.18574,9.275,0.30953,0.52633,9.2808,0.30674,0.52673,8.5416,1,1.8866,12.567,12.55,6.845
-0.18846,9.2716,0.31154,0.52901,9.2775,0.3087,0.52943,8.5636,1,1.8966,12.577,12.55,6.845
-0.19117,9.2683,0.31355,0.53169,9.2742,0.31065,0.53214,8.5855,1,1.9066,12.587,12.55,6.845
-0.19388,9.265,0.31556,0.53438,9.271,0.3126,0.53484,8.6074,1,1.9167,12.597,12.55,6.845
-0.19659,9.2616,0.31756,0.53706,9.2677,0.31456,0.53755,8.6294,1,1.9267,12.607,12.55,6.845
-0.1993,9.2583,0.31957,0.53974,9.2645,0.31651,0.54025,8.6513,1,1.9368,12.617,12.55,6.845
-0.20202,9.255,0.32158,0.54242,9.2612,0.31846,0.54295,8.6732,1,1.9468,12.627,12.55,6.845
-0.20473,9.2516,0.32359,0.5451,9.2579,0.32042,0.54566,8.6952,1,1.9568,12.637,12.55,6.845
-0.20744,9.2483,0.32559,0.54778,9.2547,0.32237,0.54836,8.7171,1,1.9669,12.647,12.55,6.845
-0.21029,9.2447,0.32742,0.55054,9.2512,0.32414,0.55114,8.7418,1,1.9769,12.657,12.55,6.845
-0.21316,9.2412,0.32923,0.5533,9.2477,0.3259,0.55392,8.7668,1,1.9869,12.667,12.55,6.845
-0.21602,9.2376,0.33103,0.55607,9.2442,0.32766,0.5567,8.7917,1,1.997,12.677,12.55,6.845
-0.21905,9.234,0.33299,0.55889,9.2407,0.32956,0.55955,8.8157,1,2.007,12.687,12.55,6.845
-0.22237,9.2304,0.3352,0.56182,9.2372,0.3317,0.56251,8.838,1,2.017,12.697,12.55,6.845
-0.22569,9.2268,0.33741,0.56476,9.2337,0.33384,0.56547,8.8603,1,2.0271,12.707,12.55,6.845
-0.22901,9.2233,0.33962,0.56769,9.2302,0.33598,0.56843,8.8825,1,2.0371,12.717,12.55,6.845
-0.23233,9.2197,0.34183,0.57063,9.2267,0.33813,0.57139,8.9048,1,2.0471,12.727,12.55,6.845
-0.23565,9.2161,0.34404,0.57356,9.2232,0.34027,0.57435,8.9271,1,2.0572,12.737,12.55,6.845
