"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.5973,0.11084,-0.013532,9.598,0.11046,-0.013918,6.6301,1,0,10.68,12.25,3.155
9.5958,0.11135,-0.014137,9.5964,0.11097,-0.014525,6.6452,1,0.010035,10.69,12.25,3.155
9.5942,0.11186,-0.014743,9.5949,0.11148,-0.015132,6.6603,1,0.02007,10.7,12.25,3.155
9.5927,0.11237,-0.015348,9.5934,0.11198,-0.015739,6.6755,1,0.030105,10.71,12.25,3.155
9.5911,0.11288,-0.015954,9.5918,0.11249,-0.016346,6.6906,1,0.04014,10.72,12.25,3.155
9.5896,0.11339,-0.01656,9.5903,0.11299,-0.016953,6.7057,1,0.050175,10.73,12.25,3.155
9.588,0.1139,-0.017165,9.5887,0.1135,-0.01756,6.7208,1,0.060209,10.74,12.25,3.155
9.5865,0.11441,-0.017771,9.5872,0.114,-0.018167,6.736,1,0.070245,10.75,12.25,3.155
9.585,0.11492,-0.018376,9.5857,0.11451,-0.018774,6.7511,1,0.080279,10.76,12.25,3.155
9.5834,0.11543,-0.018982,9.5841,0.11502,-0.019381,6.7662,1,0.090315,10.77,12.25,3.155
9.5819,0.11594,-0.019588,9.5826,0.11552,-0.019988,6.7813,1,0.10035,10.78,12.25,3.155
9.5803,0.11645,-0.020193,9.581,0.11603,-0.020595,6.7965,1,0.11038,10.79,12.25,3.155
9.5788,0.11696,-0.020799,9.5795,0.11653,-0.021202,6.8116,1,0.12042,10.8,12.25,3.155
9.5773,0.11747,-0.021404,9.5779,0.11704,-0.021809,6.8267,1,0.13046,10.81,12.25,3.155
9.5757,0.11798,-0.02201,9.5764,0.11754,-0.022416,6.8418,1,0.14049,10.82,12.25,3.155
9.5741,0.11844,-0.022625,9.5748,0.118,-0.023032,6.8573,1,0.15053,10.831,12.25,3.155
9.5725,0.11894,-0.02328,9.5732,0.11849,-0.023689,6.8732,1,0.16056,10.841,12.25,3.155
9.5709,0.11949,-0.023963,9.5716,0.11904,-0.024374,6.8894,1,0.1706,10.851,12.25,3.155
9.5692,0.12005,-0.024646,9.5699,0.11959,-0.025059,6.9055,1,0.18063,10.861,12.25,3.155
9.5676,0.1206,-0.02533,9.5683,0.12014,-0.025744,6.9217,1,0.19066,10.871,12.25,3.155
9.566,0.12116,-0.026013,9.5666,0.12069,-0.026429,6.9379,1,0.2007,10.881,12.25,3.155
9.5643,0.12171,-0.026697,9.565,0.12124,-0.027114,6.954,1,0.21073,10.891,12.25,3.155
9.5627,0.12227,-0.02738,9.5634,0.12179,-0.0278,6.9702,1,0.22077,10.901,12.25,3.155
9.561,0.12282,-0.028063,9.5617,0.12234,-0.028485,6.9864,1,0.2308,10.911,12.25,3.155
9.5594,0.12338,-0.028747,9.5601,0.12289,-0.02917,7.0026,1,0.24084,10.921,12.25,3.155
9.5577,0.12393,-0.02943,9.5584,0.12344,-0.029855,7.0187,1,0.25087,10.931,12.25,3.155
9.5561,0.12449,-0.030114,9.5568,0.12399,-0.03054,7.0349,1,0.26091,10.941,12.25,3.155
9.5545,0.12504,-0.030797,9.5551,0.12454,-0.031225,7.0511,1,0.27094,10.951,12.25,3.155
9.5528,0.1256,-0.03148,9.5535,0.12509,-0.03191,7.0672,1,0.28098,10.961,12.25,3.155
9.5512,0.12616,-0.032164,9.5518,0.12564,-0.032595,7.0834,1,0.29101,10.971,12.25,3.155
9.5495,0.12663,-0.032861,9.5502,0.1261,-0.033295,7.1001,1,0.30105,10.981,12.25,3.155
9.5477,0.12722,-0.033619,9.5484,0.12669,-0.034055,7.1172,1,0.31108,10.991,12.25,3.155
9.546,0.12782,-0.034384,9.5466,0.12728,-0.034822,7.1345,1,0.32112,11.001,12.25,3.155
9.5442,0.12842,-0.035149,9.5449,0.12788,-0.035589,7.1517,1,0.33115,11.011,12.25,3.155
9.5424,0.12902,-0.035914,9.5431,0.12847,-0.036356,7.169,1,0.34119,11.021,12.25,3.155
9.5407,0.12963,-0.036679,9.5413,0.12907,-0.037123,7.1862,1,0.35122,11.031,12.25,3.155
9.5389,0.13023,-0.037444,9.5396,0.12966,-0.037889,7.2034,1,0.36126,11.041,12.25,3.155
9.5371,0.13083,-0.038209,9.5378,0.13026,-0.038656,7.2207,1,0.37129,11.051,12.25,3.155
9.5354,0.13143,-0.038974,9.536,0.13085,-0.039423,7.2379,1,0.38133,11.061,12.25,3.155
9.5336,0.13203,-0.039738,9.5343,0.13145,-0.04019,7.2552,1,0.39137,11.071,12.25,3.155
9.5318,0.13263,-0.040503,9.5325,0.13204,-0.040957,7.2724,1,0.4014,11.081,12.25,3.155
9.5301,0.13324,-0.041268,9.5307,0.13264,-0.041724,7.2897,1,0.41144,11.091,12.25,3.155
9.5283,0.13384,-0.042033,9.5289,0.13323,-0.042491,7.3069,1,0.42147,11.101,12.25,3.155
