"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.011896,9.7416,-0.00095751,-0.0067019,9.7429,0.00010233,-0.0075526,4.5423,1,0,10.68,11.25,3.155
-0.012075,9.7405,-0.0009684,-0.0071003,9.7418,0.00010306,-0.0079562,4.5528,1,0.010035,10.69,11.25,3.155
-0.012254,9.7393,-0.00097929,-0.0074988,9.7406,0.00010378,-0.0083598,4.5632,1,0.02007,10.7,11.25,3.155
-0.012434,9.7381,-0.00099018,-0.0078973,9.7394,0.00010451,-0.0087634,4.5736,1,0.030105,10.71,11.25,3.155
-0.012613,9.7369,-0.0010011,-0.0082957,9.7383,0.00010523,-0.0091671,4.584,1,0.04014,10.72,11.25,3.155
-0.012793,9.7357,-0.001012,-0.0086942,9.7371,0.00010596,-0.0095707,4.5945,1,0.050175,10.73,11.25,3.155
-0.012972,9.7345,-0.0010228,-0.0090926,9.7359,0.00010668,-0.0099742,4.6049,1,0.060209,10.74,11.25,3.155
-0.013152,9.7334,-0.0010337,-0.0094911,9.7348,0.00010741,-0.010378,4.6153,1,0.070245,10.75,11.25,3.155
-0.013331,9.7322,-0.0010446,-0.0098896,9.7336,0.00010813,-0.010781,4.6258,1,0.080279,10.76,11.25,3.155
-0.01351,9.731,-0.0010555,-0.010288,9.7324,0.00010886,-0.011185,4.6362,1,0.090315,10.77,11.25,3.155
-0.01369,9.7298,-0.0010664,-0.010686,9.7312,0.00010958,-0.011589,4.6466,1,0.10035,10.78,11.25,3.155
-0.013869,9.7286,-0.0010773,-0.011085,9.7301,0.00011031,-0.011992,4.657,1,0.11038,10.79,11.25,3.155
-0.014049,9.7275,-0.0010882,-0.011483,9.7289,0.00011103,-0.012396,4.6675,1,0.12042,10.8,11.25,3.155
-0.014228,9.7263,-0.0010991,-0.011882,9.7277,0.00011176,-0.0128,4.6779,1,0.13046,10.81,11.25,3.155
-0.014408,9.7251,-0.00111,-0.01228,9.7266,0.00011248,-0.013203,4.6883,1,0.14049,10.82,11.25,3.155
-0.014587,9.7239,-0.0011209,-0.012679,9.7254,0.00011321,-0.013607,4.6988,1,0.15053,10.831,11.25,3.155
-0.014812,9.7227,-0.001133,-0.013107,9.7241,0.00011402,-0.01404,4.7097,1,0.16056,10.841,11.25,3.155
-0.015073,9.7213,-0.001146,-0.013559,9.7228,0.00011491,-0.014498,4.7212,1,0.1706,10.851,11.25,3.155
-0.015334,9.72,-0.0011591,-0.01401,9.7216,0.0001158,-0.014955,4.7326,1,0.18063,10.861,11.25,3.155
-0.015595,9.7187,-0.0011721,-0.014462,9.7203,0.00011668,-0.015412,4.744,1,0.19066,10.871,11.25,3.155
-0.015856,9.7174,-0.0011852,-0.014914,9.719,0.00011757,-0.01587,4.7555,1,0.2007,10.881,11.25,3.155
-0.016117,9.7161,-0.0011982,-0.015365,9.7177,0.00011845,-0.016327,4.7669,1,0.21073,10.891,11.25,3.155
-0.016378,9.7148,-0.0012113,-0.015817,9.7164,0.00011934,-0.016784,4.7783,1,0.22077,10.901,11.25,3.155
-0.016639,9.7135,-0.0012243,-0.016268,9.7151,0.00012022,-0.017241,4.7897,1,0.2308,10.911,11.25,3.155
-0.0169,9.7122,-0.0012374,-0.01672,9.7138,0.00012111,-0.017699,4.8012,1,0.24084,10.921,11.25,3.155
-0.017161,9.7109,-0.0012504,-0.017172,9.7125,0.00012199,-0.018156,4.8126,1,0.25087,10.931,11.25,3.155
