"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7851,0.058489,0.16251,9.785,0.058626,0.16224,3.8099,1,0,10.68,12.25,6.845
9.7842,0.058773,0.16307,9.7841,0.058912,0.16281,3.8186,1,0.010035,10.69,12.25,6.845
9.7833,0.059058,0.16364,9.7832,0.059198,0.16337,3.8273,1,0.02007,10.7,12.25,6.845
9.7824,0.059342,0.1642,9.7823,0.059485,0.16394,3.836,1,0.030105,10.71,12.25,6.845
9.7815,0.059626,0.16477,9.7815,0.059771,0.1645,3.8447,1,0.04014,10.72,12.25,6.845
9.7806,0.05991,0.16534,9.7806,0.060057,0.16507,3.8535,1,0.050175,10.73,12.25,6.845
9.7797,0.060195,0.1659,9.7797,0.060343,0.16563,3.8622,1,0.060209,10.74,12.25,6.845
9.7788,0.060479,0.16647,9.7788,0.06063,0.16619,3.8709,1,0.070245,10.75,12.25,6.845
9.778,0.060763,0.16704,9.7779,0.060916,0.16676,3.8796,1,0.080279,10.76,12.25,6.845
9.7771,0.061048,0.1676,9.777,0.061202,0.16732,3.8883,1,0.090315,10.77,12.25,6.845
9.7762,0.061332,0.16817,9.7761,0.061489,0.16789,3.897,1,0.10035,10.78,12.25,6.845
9.7753,0.061616,0.16874,9.7752,0.061775,0.16845,3.9057,1,0.11038,10.79,12.25,6.845
9.7744,0.061901,0.1693,9.7743,0.062061,0.16901,3.9144,1,0.12042,10.8,12.25,6.845
9.7735,0.062185,0.16987,9.7734,0.062348,0.16958,3.9231,1,0.13046,10.81,12.25,6.845
9.7726,0.062469,0.17044,9.7725,0.062634,0.17014,3.9318,1,0.14049,10.82,12.25,6.845
9.7717,0.062733,0.17101,9.7716,0.0629,0.17071,3.9406,1,0.15053,10.831,12.25,6.845
9.7708,0.062975,0.17158,9.7707,0.063143,0.17129,3.9495,1,0.16056,10.841,12.25,6.845
9.7698,0.063277,0.17221,9.7697,0.063448,0.17191,3.959,1,0.1706,10.851,12.25,6.845
9.7688,0.063601,0.17285,9.7687,0.063775,0.17254,3.9688,1,0.18063,10.861,12.25,6.845
9.7678,0.063925,0.17349,9.7677,0.064102,0.17318,3.9785,1,0.19066,10.871,12.25,6.845
9.7668,0.064249,0.17413,9.7668,0.064428,0.17382,3.9882,1,0.2007,10.881,12.25,6.845
9.7659,0.064573,0.17477,9.7658,0.064755,0.17445,3.9979,1,0.21073,10.891,12.25,6.845
9.7649,0.064897,0.17541,9.7648,0.065082,0.17509,4.0077,1,0.22077,10.901,12.25,6.845
9.7639,0.065221,0.17605,9.7638,0.065408,0.17573,4.0174,1,0.2308,10.911,12.25,6.845
9.7629,0.065545,0.17669,9.7628,0.065735,0.17636,4.0271,1,0.24084,10.921,12.25,6.845
9.7619,0.065869,0.17733,9.7618,0.066062,0.177,4.0369,1,0.25087,10.931,12.25,6.845
9.7609,0.066193,0.17797,9.7608,0.066389,0.17764,4.0466,1,0.26091,10.941,12.25,6.845
9.7599,0.066516,0.17861,9.7598,0.066715,0.17827,4.0563,1,0.27094,10.951,12.25,6.845
9.7589,0.06684,0.17925,9.7588,0.067042,0.17891,4.066,1,0.28098,10.961,12.25,6.845
9.7579,0.067164,0.17989,9.7578,0.067369,0.17955,4.0758,1,0.29101,10.971,12.25,6.845
9.7569,0.067488,0.18053,9.7568,0.067696,0.18019,4.0855,1,0.30105,10.981,12.25,6.845
9.7559,0.067812,0.18117,9.7558,0.068022,0.18082,4.0952,1,0.31108,10.991,12.25,6.845
9.7549,0.068136,0.18181,9.7548,0.068349,0.18146,4.105,1,0.32112,11.001,12.25,6.845
9.7539,0.06846,0.18245,9.7538,0.068676,0.1821,4.1147,1,0.33115,11.011,12.25,6.845
9.7529,0.068784,0.18308,9.7528,0.069002,0.18273,4.1244,1,0.34119,11.021,12.25,6.845
9.7519,0.069108,0.18372,9.7518,0.069329,0.18337,4.1341,1,0.35122,11.031,12.25,6.845
9.7509,0.069428,0.18437,9.7508,0.069652,0.18401,4.1439,1,0.36126,11.041,12.25,6.845
9.7499,0.069704,0.18502,9.7498,0.06993,0.18466,4.1538,1,0.37129,11.051,12.25,6.845
9.7489,0.070011,0.18568,9.7487,0.070241,0.18531,4.1641,1,0.38133,11.061,12.25,6.845
9.7478,0.070352,0.18635,9.7477,0.070586,0.18598,4.1748,1,0.39137,11.071,12.25,6.845
9.7468,0.070693,0.18702,9.7467,0.07093,0.18665,4.1855,1,0.4014,11.081,12.25,6.845
9.7458,0.071034,0.18769,9.7456,0.071275,0.18731,4.1962,1,0.41144,11.091,12.25,6.845
9.7447,0.071375,0.18836,9.7446,0.071619,0.18798,4.2069,1,0.42147,11.101,12.25,6.845
