"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.39901,4.1549,-0.040266,-0.7165,4.1653,-0.037777,-0.71896,-8.3832,1,0,19.68,12.25,5
-0.39972,4.1577,-0.037863,-0.71707,4.1681,-0.035347,-0.71953,-8.3833,1,0.0033751,19.68,12.25,5.0034
-0.40044,4.1606,-0.03546,-0.71764,4.1709,-0.032917,-0.7201,-8.3834,1,0.0067501,19.68,12.25,5.0068
-0.40116,4.1634,-0.033057,-0.71821,4.1737,-0.030487,-0.72067,-8.3834,1,0.010125,19.68,12.25,5.0101
-0.40188,4.1662,-0.030654,-0.71878,4.1765,-0.028057,-0.72124,-8.3835,1,0.0135,19.68,12.25,5.0135
-0.4026,4.169,-0.028251,-0.71935,4.1793,-0.025627,-0.72181,-8.3835,1,0.016875,19.68,12.25,5.0169
-0.40331,4.1718,-0.025848,-0.71992,4.1821,-0.023197,-0.72239,-8.3836,1,0.02025,19.68,12.25,5.0202
-0.40403,4.1746,-0.023445,-0.7205,4.1849,-0.020767,-0.72296,-8.3837,1,0.023625,19.68,12.25,5.0236
-0.40475,4.1774,-0.021042,-0.72107,4.1877,-0.018337,-0.72353,-8.3837,1,0.027,19.68,12.25,5.027
-0.40547,4.1802,-0.018639,-0.72164,4.1905,-0.015907,-0.7241,-8.3838,1,0.030375,19.68,12.25,5.0304
-0.40619,4.183,-0.016236,-0.72221,4.1933,-0.013477,-0.72467,-8.3839,1,0.03375,19.68,12.25,5.0338
-0.4069,4.1859,-0.013833,-0.72278,4.1961,-0.011047,-0.72524,-8.3839,1,0.037125,19.68,12.25,5.0371
-0.40762,4.1887,-0.01143,-0.72335,4.1989,-0.0086172,-0.72581,-8.384,1,0.0405,19.68,12.25,5.0405
-0.40834,4.1915,-0.0090269,-0.72392,4.2017,-0.0061872,-0.72638,-8.3841,1,0.043875,19.68,12.25,5.0439
-0.40906,4.1943,-0.0066242,-0.7245,4.2045,-0.0037575,-0.72695,-8.3841,1,0.04725,19.68,12.25,5.0472
-0.40978,4.1971,-0.0042211,-0.72507,4.2073,-0.0013275,-0.72752,-8.3842,1,0.050625,19.68,12.25,5.0506
-0.41049,4.1999,-0.0018181,-0.72564,4.2101,0.0011025,-0.72809,-8.3843,1,0.054,19.68,12.25,5.054
-0.41121,4.2027,0.00058501,-0.72621,4.2129,0.0035325,-0.72866,-8.3843,1,0.057375,19.68,12.25,5.0574
-0.41193,4.2055,0.0029881,-0.72678,4.2157,0.0059625,-0.72924,-8.3844,1,0.06075,19.68,12.25,5.0608
-0.41265,4.2084,0.0053912,-0.72735,4.2185,0.0083926,-0.72981,-8.3844,1,0.064125,19.68,12.25,5.0641
-0.41316,4.2111,0.00795,-0.72796,4.2212,0.010978,-0.73041,-8.3846,1,0.0675,19.68,12.25,5.0675
-0.41304,4.2139,0.010984,-0.72867,4.224,0.014036,-0.73112,-8.3849,1,0.070875,19.68,12.25,5.0709
-0.41292,4.2166,0.014018,-0.72938,4.2267,0.017094,-0.73183,-8.3853,1,0.07425,19.68,12.25,5.0743
-0.4128,4.2193,0.017052,-0.73009,4.2294,0.020152,-0.73255,-8.3856,1,0.077625,19.68,12.25,5.0776
-0.41268,4.2221,0.020086,-0.7308,4.2322,0.02321,-0.73326,-8.386,1,0.081,19.68,12.25,5.081
-0.41256,4.2248,0.02312,-0.73151,4.2349,0.026268,-0.73397,-8.3863,1,0.084375,19.68,12.25,5.0844
-0.41284,4.2256,0.026037,-0.73124,4.2356,0.029213,-0.7337,-8.3859,1,0.08775,19.68,12.25,5.0877
-0.41321,4.2259,0.028929,-0.73075,4.2359,0.032132,-0.73321,-8.3853,1,0.091125,19.68,12.25,5.0911
-0.41357,4.2262,0.03182,-0.73026,4.2362,0.035051,-0.73272,-8.3847,1,0.0945,19.68,12.25,5.0945
-0.41394,4.2265,0.034711,-0.72977,4.2365,0.03797,-0.73222,-8.384,1,0.097875,19.68,12.25,5.0979
-0.41431,4.2269,0.037602,-0.72928,4.2368,0.040889,-0.73173,-8.3834,1,0.10125,19.68,12.25,5.1013
-0.41468,4.2272,0.040494,-0.72879,4.2371,0.043808,-0.73124,-8.3828,1,0.10463,19.68,12.25,5.1046
-0.41505,4.2275,0.043385,-0.7283,4.2374,0.046726,-0.73075,-8.3822,1,0.108,19.68,12.25,5.108
-0.41542,4.2278,0.046276,-0.72781,4.2377,0.049645,-0.73026,-8.3816,1,0.11137,19.68,12.25,5.1114
-0.41579,4.2281,0.049167,-0.72732,4.238,0.052564,-0.72976,-8.381,1,0.11475,19.68,12.25,5.1147
-0.41615,4.2285,0.052058,-0.72683,4.2383,0.055483,-0.72927,-8.3803,1,0.11812,19.68,12.25,5.1181
-0.41652,4.2288,0.05495,-0.72634,4.2386,0.058402,-0.72878,-8.3797,1,0.1215,19.68,12.25,5.1215
-0.41689,4.2291,0.057841,-0.72585,4.2389,0.061321,-0.72829,-8.3791,1,0.12488,19.68,12.25,5.1249
-0.41726,4.2294,0.060732,-0.72536,4.2392,0.06424,-0.7278,-8.3785,1,0.12825,19.68,12.25,5.1283
-0.41763,4.2298,0.063623,-0.72487,4.2395,0.067159,-0.72731,-8.3779,1,0.13163,19.68,12.25,5.1316
-0.418,4.2301,0.066515,-0.72438,4.2398,0.070078,-0.72681,-8.3773,1,0.135,19.68,12.25,5.135
-0.41837,4.2304,0.069406,-0.72389,4.2401,0.072997,-0.72632,-8.3766,1,0.13837,19.68,12.25,5.1384
-0.41874,4.2307,0.072297,-0.7234,4.2404,0.075916,-0.72583,-8.376,1,0.14175,19.68,12.25,5.1417
-0.4191,4.231,0.075188,-0.72291,4.2407,0.078835,-0.72534,-8.3754,1,0.14512,19.68,12.25,5.1451
-0.41947,4.2314,0.078079,-0.72242,4.241,0.081754,-0.72485,-8.3748,1,0.1485,19.68,12.25,5.1485
-0.41984,4.2317,0.080971,-0.72193,4.2413,0.084673,-0.72435,-8.3742,1,0.15188,19.68,12.25,5.1519
-0.42021,4.232,0.083862,-0.72144,4.2416,0.087592,-0.72386,-8.3736,1,0.15525,19.68,12.25,5.1553
-0.42058,4.2323,0.086753,-0.72095,4.2419,0.090511,-0.72337,-8.3729,1,0.15863,19.68,12.25,5.1586
-0.42095,4.2326,0.089645,-0.72046,4.2422,0.09343,-0.72288,-8.3723,1,0.162,19.68,12.25,5.162
-0.42132,4.233,0.092536,-0.71997,4.2425,0.096349,-0.72239,-8.3717,1,0.16538,19.68,12.25,5.1654
-0.42168,4.2333,0.095427,-0.71948,4.2428,0.099267,-0.72189,-8.3711,1,0.16875,19.68,12.25,5.1687
-0.42205,4.2336,0.098318,-0.71899,4.2431,0.10219,-0.7214,-8.3705,1,0.17212,19.68,12.25,5.1721
-0.42242,4.2339,0.10121,-0.7185,4.2434,0.10511,-0.72091,-8.3699,1,0.1755,19.68,12.25,5.1755
-0.42279,4.2342,0.1041,-0.71802,4.2437,0.10802,-0.72042,-8.3693,1,0.17887,19.68,12.25,5.1789
-0.42316,4.2346,0.10699,-0.71753,4.244,0.11094,-0.71993,-8.3686,1,0.18225,19.68,12.25,5.1823
-0.42353,4.2349,0.10988,-0.71704,4.2443,0.11386,-0.71943,-8.368,1,0.18563,19.68,12.25,5.1856
-0.4239,4.2352,0.11277,-0.71655,4.2446,0.11678,-0.71894,-8.3674,1,0.189,19.68,12.25,5.189
-0.42427,4.2355,0.11567,-0.71606,4.2449,0.1197,-0.71845,-8.3668,1,0.19238,19.68,12.25,5.1924
-0.42463,4.2358,0.11856,-0.71557,4.2451,0.12262,-0.71796,-8.3662,1,0.19575,19.68,12.25,5.1958
-0.425,4.2362,0.12145,-0.71508,4.2454,0.12554,-0.71747,-8.3656,1,0.19912,19.68,12.25,5.1991
-0.42537,4.2365,0.12434,-0.71459,4.2457,0.12846,-0.71697,-8.3649,1,0.2025,19.68,12.25,5.2025
-0.42574,4.2368,0.12723,-0.7141,4.246,0.13138,-0.71648,-8.3643,1,0.20587,19.68,12.25,5.2059
-0.42611,4.2371,0.13012,-0.71361,4.2463,0.13429,-0.71599,-8.3637,1,0.20925,19.68,12.25,5.2092
-0.42648,4.2375,0.13301,-0.71312,4.2466,0.13721,-0.7155,-8.3631,1,0.21263,19.68,12.25,5.2126
-0.42685,4.2378,0.1359,-0.71263,4.2469,0.14013,-0.71501,-8.3625,1,0.216,19.68,12.25,5.216
-0.42721,4.2381,0.1388,-0.71214,4.2472,0.14305,-0.71452,-8.3619,1,0.21938,19.68,12.25,5.2194
-0.42758,4.2384,0.14169,-0.71165,4.2475,0.14597,-0.71402,-8.3612,1,0.22275,19.68,12.25,5.2228
-0.42795,4.2387,0.14458,-0.71116,4.2478,0.14889,-0.71353,-8.3606,1,0.22612,19.68,12.25,5.2261
-0.42832,4.2391,0.14747,-0.71067,4.2481,0.15181,-0.71304,-8.36,1,0.2295,19.68,12.25,5.2295
-0.42869,4.2394,0.15036,-0.71018,4.2484,0.15473,-0.71255,-8.3594,1,0.23287,19.68,12.25,5.2329
-0.42906,4.2397,0.15325,-0.70969,4.2487,0.15765,-0.71206,-8.3588,1,0.23625,19.68,12.25,5.2362
-0.42943,4.24,0.15614,-0.7092,4.249,0.16057,-0.71156,-8.3582,1,0.23962,19.68,12.25,5.2396
-0.4298,4.2403,0.15903,-0.70871,4.2493,0.16348,-0.71107,-8.3575,1,0.243,19.68,12.25,5.243
-0.43016,4.2407,0.16193,-0.70822,4.2496,0.1664,-0.71058,-8.3569,1,0.24638,19.68,12.25,5.2464
-0.43053,4.241,0.16482,-0.70773,4.2499,0.16932,-0.71009,-8.3563,1,0.24975,19.68,12.25,5.2498
-0.4309,4.2413,0.16771,-0.70724,4.2502,0.17224,-0.7096,-8.3557,1,0.25313,19.68,12.25,5.2531
-0.43127,4.2416,0.1706,-0.70675,4.2505,0.17516,-0.7091,-8.3551,1,0.2565,19.68,12.25,5.2565
-0.43164,4.2419,0.17349,-0.70626,4.2508,0.17808,-0.70861,-8.3545,1,0.25987,19.68,12.25,5.2599
-0.43201,4.2423,0.17638,-0.70577,4.2511,0.181,-0.70812,-8.3538,1,0.26325,19.68,12.25,5.2632
