"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.7691,9.6688,0.097558,0.26024,1,0,7.68,12.25,6.845
5.9018,9.6545,0.1018,0.26922,1,0.10035,7.7804,12.25,6.845
6.055,9.6381,0.10707,0.27974,1,0.2007,7.8807,12.25,6.845
6.2082,9.6217,0.11235,0.29026,1,0.30105,7.9811,12.25,6.845
6.3613,9.6053,0.11763,0.30078,1,0.4014,8.0814,12.25,6.845
6.5348,9.5868,0.12351,0.31283,1,0.50175,8.1818,12.25,6.845
6.7143,9.5677,0.12988,0.32537,1,0.6021,8.2821,12.25,6.845
6.8939,9.5487,0.13624,0.33791,1,0.70245,8.3825,12.25,6.845
7.0929,9.5276,0.14316,0.35195,1,0.8028,8.4828,12.25,6.845
7.3031,9.5055,0.15079,0.36688,1,0.90315,8.5831,12.25,6.845
7.5134,9.4834,0.15843,0.38181,1,1.0035,8.6835,12.25,6.845
7.7486,9.4589,0.16679,0.39867,1,1.1038,8.7838,12.25,6.845
7.9949,9.4334,0.1759,0.41641,1,1.2042,8.8842,12.25,6.845
8.2417,9.4079,0.18485,0.43419,1,1.3046,8.9846,12.25,6.845
8.5276,9.3789,0.19535,0.45495,1,1.4049,9.0849,12.25,6.845
8.817,9.3496,0.20613,0.476,1,1.5053,9.1853,12.25,6.845
9.1238,9.3188,0.21721,0.49833,1,1.6056,9.2856,12.25,6.845
9.4655,9.2853,0.22989,0.52324,1,1.706,9.386,12.25,6.845
9.8074,9.2518,0.24245,0.54817,1,1.8063,9.4863,12.25,6.845
10.207,9.2139,0.25681,0.57713,1,1.9067,9.5866,12.25,6.845
10.613,9.1757,0.27165,0.60656,1,2.007,9.687,12.25,6.845
11.069,9.134,0.28752,0.63924,1,2.1073,9.7873,12.25,6.845
11.557,9.0904,0.30473,0.67395,1,2.2077,9.8877,12.25,6.845
12.092,9.0438,0.32271,0.71157,1,2.3081,9.9881,12.25,6.845
12.684,8.9942,0.34255,0.75246,1,2.4084,10.088,12.25,6.845
13.336,8.9413,0.36319,0.79665,1,2.5088,10.189,12.25,6.845
14.063,8.885,0.38589,0.84479,1,2.6091,10.289,12.25,6.845
14.888,8.824,0.40978,0.89774,1,2.7095,10.389,12.25,6.845
