"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7496,0.014373,0.18974,9.7808,0.012789,0.16205,1,0,7.68,11.445,6.845
9.7383,0.014983,0.19665,9.7709,0.013361,0.1681,1,0.10035,7.7804,11.445,6.845
9.7253,0.015954,0.20485,9.7594,0.014279,0.17534,1,0.2007,7.8807,11.445,6.845
9.7122,0.016619,0.21306,9.7479,0.014917,0.18259,1,0.30105,7.9811,11.445,6.845
9.6992,0.017283,0.22127,9.7363,0.015555,0.18985,1,0.4014,8.0814,11.445,6.845
9.6845,0.018445,0.23069,9.7233,0.016672,0.19823,1,0.50175,8.1818,11.445,6.845
9.6691,0.019235,0.24058,9.7096,0.017452,0.20705,1,0.6021,8.2821,11.445,6.845
9.6537,0.020024,0.25046,9.696,0.018232,0.21587,1,0.70245,8.3825,11.445,6.845
9.6369,0.021353,0.26152,9.681,0.019542,0.22579,1,0.8028,8.4828,11.445,6.845
9.6189,0.022275,0.27338,9.665,0.02049,0.23646,1,0.90315,8.5831,11.445,6.845
9.6009,0.023197,0.28525,9.649,0.021438,0.24714,1,1.0035,8.6835,11.445,6.845
9.581,0.024724,0.29864,9.6312,0.023003,0.25925,1,1.1038,8.7838,11.445,6.845
9.5601,0.025781,0.31283,9.6124,0.024146,0.27212,1,1.2042,8.8842,11.445,6.845
9.5392,0.026837,0.32703,9.5937,0.02529,0.28499,1,1.3046,8.9846,11.445,6.845
9.5153,0.028579,0.34365,9.5722,0.027188,0.30016,1,1.4049,9.0849,11.445,6.845
9.491,0.029757,0.36056,9.5503,0.028557,0.3156,1,1.5053,9.1853,11.445,6.845
9.4656,0.031499,0.37844,9.5274,0.030526,0.33196,1,1.6056,9.2856,11.445,6.845
9.4376,0.03287,0.39849,9.5019,0.032254,0.35037,1,1.706,9.386,11.445,6.845
9.4096,0.034138,0.41853,9.4765,0.033882,0.3688,1,1.8063,9.4863,11.445,6.845
9.3778,0.03613,0.44176,9.4475,0.036458,0.39024,1,1.9067,9.5866,11.445,6.845
9.3455,0.037427,0.46541,9.4179,0.038381,0.41211,1,2.007,9.687,11.445,6.845
9.3103,0.039435,0.49155,9.3855,0.041265,0.43633,1,2.1073,9.7873,11.445,6.845
9.2732,0.040656,0.51932,9.3512,0.04352,0.46214,1,2.2077,9.8877,11.445,6.845
9.2335,0.042574,0.54927,9.3144,0.046786,0.49001,1,2.3081,9.9881,11.445,6.845
9.1909,0.043549,0.58171,9.2744,0.049413,0.52031,1,2.4084,10.088,11.445,6.845
9.1454,0.045149,0.61658,9.2317,0.05315,0.55289,1,2.5088,10.189,11.445,6.845
9.0966,0.045623,0.65427,9.1852,0.056192,0.58827,1,2.6091,10.289,11.445,6.845
9.0437,0.046474,0.69541,9.1345,0.060503,0.62687,1,2.7095,10.389,11.445,6.845
8.9879,0.046072,0.73895,9.0802,0.064005,0.66795,1,2.8098,10.49,11.445,6.845
8.9255,0.045405,0.7879,9.0188,0.069012,0.71409,1,2.9102,10.59,11.445,6.845
8.8604,0.043704,0.83905,8.954,0.0737,0.76244,1,3.0105,10.691,11.445,6.845
8.7876,0.040108,0.8964,8.8792,0.078877,0.81689,1,3.1108,10.791,11.445,6.845
8.7087,0.034906,0.95851,8.797,0.085118,0.87572,1,3.2112,10.891,11.445,6.845
8.6251,0.027428,1.0244,8.7069,0.091043,0.93853,1,3.3116,10.992,11.445,6.845
8.5312,0.016058,1.0977,8.6002,0.097842,1.0086,1,3.4119,11.092,11.445,6.845
8.4342,2.671e-05,1.1727,8.4857,0.10535,1.08,1,3.5123,11.192,11.445,6.845
8.3285,-0.022242,1.2556,8.3523,0.11354,1.159,1,3.6126,11.293,11.445,6.845
8.2119,-0.052914,1.3512,8.1885,0.12302,1.2509,1,3.713,11.393,11.445,6.845
8.0974,-0.091831,1.4529,8.001,0.13304,1.3494,1,3.8133,11.493,11.445,6.845
