"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7567,-0.071214,0.49175,7.8596,-0.011571,0.38046,1,0,16.68,11.055,5
7.7878,0.0048424,0.51001,7.8774,0.053585,0.39526,1,0.03375,16.68,11.055,5.0338
7.802,0.074388,0.52674,7.8815,0.11283,0.40805,1,0.0675,16.68,11.055,5.0675
7.7565,0.13705,0.53286,7.8325,0.16437,0.41143,1,0.10125,16.68,11.055,5.1013
7.6576,0.19656,0.52857,7.7352,0.2115,0.40598,1,0.135,16.68,11.055,5.135
7.5586,0.25606,0.52428,7.638,0.25862,0.40053,1,0.16875,16.68,11.055,5.1687
7.4597,0.31557,0.52,7.5407,0.30574,0.39508,1,0.2025,16.68,11.055,5.2025
7.3607,0.37507,0.51571,7.4434,0.35286,0.38964,1,0.23625,16.68,11.055,5.2362
7.2618,0.43458,0.51142,7.3461,0.39998,0.38419,1,0.27,16.68,11.055,5.27
7.1791,0.49075,0.50563,7.2666,0.44448,0.37739,1,0.30375,16.68,11.055,5.3038
7.1313,0.53495,0.49527,7.227,0.47906,0.36673,1,0.3375,16.68,11.055,5.3375
7.054,0.55742,0.47978,7.165,0.49385,0.35296,1,0.37125,16.68,11.055,5.3713
6.9768,0.57989,0.46428,7.1031,0.50863,0.33919,1,0.405,16.68,11.055,5.405
6.8995,0.60236,0.44879,7.0411,0.52342,0.32543,1,0.43875,16.68,11.055,5.4387
6.8223,0.62482,0.4333,6.9792,0.53821,0.31166,1,0.4725,16.68,11.055,5.4725
6.7451,0.64729,0.41781,6.9172,0.553,0.29789,1,0.50625,16.68,11.055,5.5062
6.6678,0.66976,0.40231,6.8553,0.56779,0.28413,1,0.54,16.68,11.055,5.54
6.6231,0.68911,0.38284,6.8229,0.58089,0.26704,1,0.57375,16.68,11.055,5.5738
6.5591,0.69093,0.36976,6.7758,0.57971,0.25448,1,0.6075,16.68,11.055,5.6075
6.4904,0.68879,0.35818,6.7251,0.5753,0.24299,1,0.64125,16.68,11.055,5.6413
6.4216,0.68666,0.3466,6.6744,0.57089,0.2315,1,0.675,16.68,11.055,5.675
6.3529,0.68452,0.33502,6.6237,0.56648,0.22001,1,0.70875,16.68,11.055,5.7087
6.2841,0.68238,0.32344,6.573,0.56207,0.20852,1,0.7425,16.68,11.055,5.7425
6.2154,0.68025,0.31186,6.5223,0.55767,0.19702,1,0.77625,16.68,11.055,5.7762
6.1551,0.67944,0.29614,6.4791,0.55456,0.18208,1,0.81,16.68,11.055,5.81
6.0865,0.673,0.28318,6.4311,0.5475,0.16846,1,0.84375,16.68,11.055,5.8438
6.0034,0.65963,0.27589,6.3728,0.53533,0.1585,1,0.8775,16.68,11.055,5.8775
5.9204,0.64627,0.26861,6.3146,0.52316,0.14854,1,0.91125,16.68,11.055,5.9113
5.8373,0.6329,0.26132,6.2564,0.51099,0.13859,1,0.945,16.68,11.055,5.945
5.7542,0.61953,0.25403,6.1982,0.49883,0.12863,1,0.97875,16.68,11.055,5.9788
5.6712,0.60616,0.24675,6.14,0.48666,0.11867,1,1.0125,16.68,11.055,6.0125
5.59,0.59389,0.23774,6.0835,0.47543,0.10725,1,1.0462,16.68,11.055,6.0462
5.511,0.5835,0.22584,6.0306,0.46603,0.093037,1,1.08,16.68,11.055,6.08
5.4166,0.56833,0.22175,5.973,0.45374,0.083416,1,1.1137,16.68,11.055,6.1137
5.3223,0.55317,0.21767,5.9155,0.44145,0.073794,1,1.1475,16.68,11.055,6.1475
5.2279,0.53801,0.21358,5.8579,0.42915,0.064173,1,1.1813,16.68,11.055,6.1813
5.1336,0.52285,0.20949,5.8004,0.41686,0.054552,1,1.215,16.68,11.055,6.215
5.0392,0.50769,0.2054,5.7428,0.40457,0.04493,1,1.2488,16.68,11.055,6.2488
4.9449,0.49253,0.20131,5.6853,0.39227,0.035309,1,1.2825,16.68,11.055,6.2825
4.855,0.48021,0.19293,5.6315,0.38268,0.022087,1,1.3162,16.68,11.055,6.3162
4.766,0.46792,0.18949,5.5913,0.37366,0.01012,1,1.35,16.68,11.055,6.35
4.6772,0.4556,0.18722,5.5542,0.36475,-0.001524,1,1.3837,16.68,11.055,6.3837
4.5884,0.44328,0.18495,5.5171,0.35584,-0.013168,1,1.4175,16.68,11.055,6.4175
4.4997,0.43096,0.18268,5.4799,0.34693,-0.024812,1,1.4513,16.68,11.055,6.4513
4.4109,0.41864,0.1804,5.4428,0.33801,-0.036456,1,1.485,16.68,11.055,6.485
