"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7496,-0.014072,0.1898,9.7807,-0.012338,0.16207,1,0,7.68,11.055,6.845
9.7384,-0.01497,0.1967,9.7709,-0.013139,0.16811,1,0.10035,7.7804,11.055,6.845
9.7254,-0.015687,0.20492,9.7593,-0.013771,0.17536,1,0.2007,7.8807,11.055,6.845
9.7123,-0.016404,0.21314,9.7478,-0.014403,0.18262,1,0.30105,7.9811,11.055,6.845
9.6993,-0.017296,0.22135,9.7363,-0.015196,0.18987,1,0.4014,8.0814,11.055,6.845
9.6846,-0.018315,0.23079,9.7232,-0.016098,0.19827,1,0.50175,8.1818,11.055,6.845
9.6692,-0.0192,0.24068,9.7096,-0.016874,0.20708,1,0.6021,8.2821,11.055,6.845
9.6539,-0.020162,0.25057,9.6959,-0.017721,0.2159,1,0.70245,8.3825,11.055,6.845
9.6371,-0.021496,0.26164,9.6809,-0.018902,0.22582,1,0.8028,8.4828,11.055,6.845
9.6192,-0.022586,0.27351,9.6649,-0.019848,0.2365,1,0.90315,8.5831,11.055,6.845
9.6013,-0.023799,0.28538,9.6489,-0.020911,0.24717,1,1.0035,8.6835,11.055,6.845
9.5815,-0.025386,0.29879,9.6311,-0.022302,0.25929,1,1.1038,8.7838,11.055,6.845
9.5607,-0.026727,0.31299,9.6124,-0.023449,0.27216,1,1.2042,8.8842,11.055,6.845
9.5399,-0.028463,0.32717,9.5937,-0.024977,0.28501,1,1.3046,8.9846,11.055,6.845
9.5161,-0.030191,0.34382,9.5721,-0.026442,0.30021,1,1.4049,9.0849,11.055,6.845
9.492,-0.03184,0.36073,9.5503,-0.027825,0.31565,1,1.5053,9.1853,11.055,6.845
9.4669,-0.034163,0.3786,9.5273,-0.029841,0.33201,1,1.6056,9.2856,11.055,6.845
9.4391,-0.036189,0.39864,9.5019,-0.031497,0.35043,1,1.706,9.386,11.055,6.845
9.4115,-0.038637,0.41865,9.4765,-0.033582,0.36884,1,1.8063,9.4863,11.055,6.845
9.3801,-0.041254,0.44184,9.4474,-0.035703,0.3903,1,1.9067,9.5866,11.055,6.845
9.3482,-0.043742,0.46545,9.4179,-0.037675,0.41217,1,2.007,9.687,11.055,6.845
9.3137,-0.04722,0.49148,9.3855,-0.04055,0.43638,1,2.1073,9.7873,11.055,6.845
9.2773,-0.050274,0.51915,9.3512,-0.042885,0.46219,1,2.2077,9.8877,11.055,6.845
9.2386,-0.05433,0.5489,9.3144,-0.04617,0.49004,1,2.3081,9.9881,11.055,6.845
9.197,-0.058071,0.58113,9.2745,-0.04892,0.52034,1,2.4084,10.088,11.055,6.845
9.1531,-0.062888,0.61561,9.2318,-0.05272,0.5529,1,2.5088,10.189,11.055,6.845
9.1058,-0.06745,0.65291,9.1854,-0.055942,0.58827,1,2.6091,10.289,11.055,6.845
9.0551,-0.073256,0.69331,9.1348,-0.060383,0.62683,1,2.7095,10.389,11.055,6.845
9.0015,-0.078928,0.73617,9.0806,-0.064368,0.6679,1,2.8098,10.49,11.055,6.845
8.9424,-0.085799,0.78378,9.0192,-0.069369,0.71398,1,2.9102,10.59,11.055,6.845
8.8809,-0.093125,0.83348,8.9545,-0.074905,0.76231,1,3.0105,10.691,11.055,6.845
8.8122,-0.10074,0.88874,8.8797,-0.079914,0.81666,1,3.1108,10.791,11.055,6.845
8.7387,-0.10938,0.94774,8.7975,-0.086541,0.87538,1,3.2112,10.891,11.055,6.845
8.6602,-0.11831,1.0103,8.7076,-0.093662,0.93824,1,3.3116,10.992,11.055,6.845
8.5714,-0.12716,1.0786,8.6009,-0.1002,1.0081,1,3.4119,11.092,11.055,6.845
8.4796,-0.13565,1.1469,8.4865,-0.10824,1.0793,1,3.5123,11.192,11.055,6.845
8.3769,-0.14298,1.221,8.3534,-0.11693,1.1582,1,3.6126,11.293,11.055,6.845
8.2569,-0.14703,1.305,8.1902,-0.12661,1.2498,1,3.713,11.393,11.055,6.845
8.1248,-0.14507,1.3927,8.0033,-0.13663,1.3478,1,3.8133,11.493,11.055,6.845
7.9723,-0.13406,1.482,7.776,-0.1462,1.4507,1,3.9137,11.594,11.055,6.845
7.7918,-0.10807,1.5708,7.5488,-0.15296,1.5569,1,4.014,11.694,11.055,6.845
7.5858,-0.058629,1.6565,7.356,-0.14261,1.6602,1,4.1143,11.794,11.055,6.845
7.3218,0.012312,1.7294,6.926,-0.085129,1.7305,1,4.2147,11.895,11.055,6.845
6.9094,0.065543,1.7595,6.1042,0.018596,1.7035,1,4.3151,11.995,11.055,6.845
6.4546,0.051801,1.7023,5.8832,0.093092,1.5603,1,4.4154,12.095,11.055,6.845
6.0953,0.021467,1.5678,5.929,0.12016,1.3962,1,4.5158,12.196,11.055,6.845
5.7474,0.034917,1.4117,5.6126,0.14319,1.2548,1,4.6161,12.296,11.055,6.845
5.4359,0.082001,1.2688,5.3498,0.16056,1.1353,1,4.7165,12.396,11.055,6.845
5.1938,0.13099,1.1471,5.1946,0.17382,1.0315,1,4.8168,12.497,11.055,6.845
5.0176,0.16532,1.0435,5.0924,0.18523,0.93962,1,4.9172,12.597,11.055,6.845
4.8785,0.18437,0.95401,5.0049,0.19571,0.85771,1,5.0175,12.698,11.055,6.845
4.7587,0.19171,0.87782,4.9234,0.20478,0.78528,1,5.1178,12.798,11.055,6.845
4.6592,0.19303,0.81357,4.8522,0.21285,0.72117,1,5.2182,12.898,11.055,6.845
4.5754,0.19407,0.75776,4.7913,0.22091,0.66257,1,5.3186,12.999,11.055,6.845
4.5046,0.19431,0.70908,4.7394,0.22836,0.60855,1,5.4189,13.099,11.055,6.845
4.4444,0.19483,0.66631,4.6954,0.23531,0.55824,1,5.5193,13.199,11.055,6.845
4.3924,0.19614,0.62885,4.659,0.24126,0.51144,1,5.6196,13.3,11.055,6.845
4.3472,0.2014,0.59549,4.6297,0.24706,0.46759,1,5.72,13.4,11.055,6.845
4.3068,0.20916,0.56436,4.6058,0.25266,0.42585,1,5.8203,13.5,11.055,6.845
4.2699,0.2188,0.53472,4.5866,0.25786,0.38606,1,5.9207,13.601,11.055,6.845
4.2356,0.23037,0.50603,4.5725,0.26216,0.34844,1,6.021,13.701,11.055,6.845
4.2047,0.24302,0.47752,4.564,0.26613,0.31313,1,6.1213,13.801,11.055,6.845
4.1754,0.25541,0.44884,4.5592,0.26986,0.27948,1,6.2217,13.902,11.055,6.845
4.147,0.26737,0.41995,4.5579,0.27319,0.24741,1,6.3221,14.002,11.055,6.845
4.1199,0.27807,0.39113,4.5609,0.2754,0.21768,1,6.4224,14.102,11.055,6.845
4.0934,0.28668,0.36258,4.5677,0.27774,0.18964,1,6.5228,14.203,11.055,6.845
4.0671,0.29388,0.33466,4.577,0.27974,0.16299,1,6.6231,14.303,11.055,6.845
4.0415,0.29908,0.30826,4.5893,0.28086,0.13813,1,6.7235,14.403,11.055,6.845
4.016,0.30226,0.28393,4.6053,0.2821,0.11501,1,6.8238,14.504,11.055,6.845
3.991,0.30446,0.26139,4.6232,0.2831,0.092987,1,6.9241,14.604,11.055,6.845
3.9664,0.30514,0.24161,4.6434,0.28343,0.072381,1,7.0245,14.705,11.055,6.845
3.9425,0.30514,0.22513,4.6667,0.28384,0.053221,1,7.1248,14.805,11.055,6.845
3.9193,0.30486,0.21074,4.6915,0.28412,0.034862,1,7.2252,14.905,11.055,6.845
3.8965,0.30372,0.19945,4.7184,0.28381,0.017691,1,7.3256,15.006,11.055,6.845
