"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2139,0.043341,0.090976,9.2914,0.039336,0.067853,1,0,9.48,11.445,5
9.2136,0.04331,0.097641,9.2912,0.039327,0.0741,1,0.03375,9.48,11.445,5.0338
9.2134,0.04328,0.10431,9.2909,0.039317,0.080347,1,0.0675,9.48,11.445,5.0675
9.2135,0.043207,0.11099,9.2911,0.03929,0.086596,1,0.10125,9.48,11.445,5.1013
9.2142,0.0431,0.1177,9.2918,0.039252,0.092854,1,0.135,9.48,11.445,5.135
9.2148,0.043021,0.12443,9.2924,0.039229,0.09912,1,0.16875,9.48,11.445,5.1687
9.2155,0.042943,0.13117,9.2931,0.039205,0.10539,1,0.2025,9.48,11.445,5.2025
9.2162,0.042864,0.1379,9.2938,0.039181,0.11165,1,0.23625,9.48,11.445,5.2362
9.2168,0.042785,0.14463,9.2944,0.039158,0.11792,1,0.27,9.48,11.445,5.27
9.2175,0.042706,0.15137,9.2951,0.039134,0.12419,1,0.30375,9.48,11.445,5.3038
9.2183,0.042614,0.1581,9.2959,0.039103,0.13044,1,0.3375,9.48,11.445,5.3375
9.2199,0.04244,0.16479,9.2975,0.039028,0.13664,1,0.37125,9.48,11.445,5.3713
9.2216,0.042318,0.17151,9.299,0.038989,0.14286,1,0.405,9.48,11.445,5.405
9.2232,0.042197,0.17823,9.3006,0.03895,0.14908,1,0.43875,9.48,11.445,5.4387
9.2249,0.042076,0.18495,9.3022,0.038911,0.15529,1,0.4725,9.48,11.445,5.4725
9.2265,0.041955,0.19168,9.3038,0.038872,0.16151,1,0.50625,9.48,11.445,5.5062
9.2282,0.041834,0.1984,9.3054,0.038833,0.16773,1,0.54,9.48,11.445,5.54
9.2298,0.041713,0.20512,9.307,0.038794,0.17394,1,0.57375,9.48,11.445,5.5738
9.2323,0.041509,0.21172,9.3094,0.038695,0.18002,1,0.6075,9.48,11.445,5.6075
9.235,0.041332,0.21831,9.3119,0.03862,0.18609,1,0.64125,9.48,11.445,5.6413
9.2377,0.041178,0.22491,9.3145,0.038562,0.19216,1,0.675,9.48,11.445,5.675
9.2403,0.041024,0.23151,9.317,0.038504,0.19823,1,0.70875,9.48,11.445,5.7087
9.243,0.040871,0.23811,9.3196,0.038446,0.2043,1,0.7425,9.48,11.445,5.7425
9.2457,0.040717,0.24471,9.3221,0.038388,0.21037,1,0.77625,9.48,11.445,5.7762
9.2484,0.040563,0.25131,9.3247,0.03833,0.21645,1,0.81,9.48,11.445,5.81
9.2516,0.040355,0.25777,9.3277,0.038223,0.22237,1,0.84375,9.48,11.445,5.8438
9.2554,0.040119,0.26408,9.3313,0.03809,0.22816,1,0.8775,9.48,11.445,5.8775
9.2591,0.039943,0.27041,9.3348,0.038008,0.23396,1,0.91125,9.48,11.445,5.9113
9.2629,0.039767,0.27674,9.3384,0.037926,0.23976,1,0.945,9.48,11.445,5.945
9.2667,0.03959,0.28306,9.3419,0.037845,0.24556,1,0.97875,9.48,11.445,5.9788
9.2704,0.039414,0.28939,9.3455,0.037763,0.25136,1,1.0125,9.48,11.445,6.0125
9.2742,0.039238,0.29572,9.3491,0.037681,0.25716,1,1.0462,9.48,11.445,6.0462
9.2781,0.039042,0.30198,9.3528,0.037579,0.26289,1,1.08,9.48,11.445,6.08
9.2829,0.038736,0.30784,9.3573,0.037362,0.26823,1,1.1137,9.48,11.445,6.1137
9.2878,0.038546,0.31371,9.3619,0.037251,0.2736,1,1.1475,9.48,11.445,6.1475
9.2926,0.038356,0.31959,9.3664,0.037141,0.27897,1,1.1813,9.48,11.445,6.1813
9.2975,0.038166,0.32546,9.371,0.03703,0.28434,1,1.215,9.48,11.445,6.215
9.3023,0.037976,0.33134,9.3755,0.036919,0.28971,1,1.2488,9.48,11.445,6.2488
9.3072,0.037786,0.33721,9.3801,0.036809,0.29507,1,1.2825,9.48,11.445,6.2825
9.312,0.037596,0.34309,9.3846,0.036698,0.30044,1,1.3162,9.48,11.445,6.3162
9.3177,0.037277,0.34842,9.39,0.036445,0.30528,1,1.35,9.48,11.445,6.35
9.3235,0.037029,0.35364,9.3955,0.036254,0.31003,1,1.3837,9.48,11.445,6.3837
9.3294,0.036831,0.35886,9.401,0.03611,0.31478,1,1.4175,9.48,11.445,6.4175
9.3352,0.036632,0.36408,9.4065,0.035966,0.31953,1,1.4513,9.48,11.445,6.4513
9.3411,0.036434,0.36931,9.412,0.035822,0.32429,1,1.485,9.48,11.445,6.485
9.347,0.036235,0.37453,9.4175,0.035678,0.32904,1,1.5188,9.48,11.445,6.5188
9.3528,0.036036,0.37976,9.423,0.035534,0.3338,1,1.5525,9.48,11.445,6.5525
9.3591,0.035745,0.38456,9.4289,0.035287,0.33815,1,1.5862,9.48,11.445,6.5862
9.3658,0.035418,0.38893,9.4353,0.03499,0.34208,1,1.62,9.48,11.445,6.62
9.3726,0.035212,0.3933,9.4416,0.03481,0.34603,1,1.6537,9.48,11.445,6.6537
9.3793,0.035007,0.39768,9.4479,0.03463,0.34998,1,1.6875,9.48,11.445,6.6875
9.3861,0.034801,0.40205,9.4543,0.03445,0.35393,1,1.7213,9.48,11.445,6.7213
9.3928,0.034595,0.40643,9.4606,0.03427,0.35789,1,1.755,9.48,11.445,6.755
9.3995,0.03439,0.41081,9.467,0.034091,0.36184,1,1.7888,9.48,11.445,6.7888
9.4064,0.034151,0.41503,9.4734,0.033874,0.36565,1,1.8225,9.48,11.445,6.8225
9.4138,0.033719,0.41838,9.4804,0.033447,0.36861,1,1.8562,9.48,11.445,6.8562
9.4212,0.033505,0.42175,9.4873,0.033232,0.3716,1,1.89,9.48,11.445,6.89
9.4286,0.033291,0.42512,9.4943,0.033018,0.3746,1,1.9237,9.48,11.445,6.9237
9.436,0.033077,0.42848,9.5013,0.032803,0.37759,1,1.9575,9.48,11.445,6.9575
9.4434,0.032864,0.43185,9.5083,0.032588,0.38058,1,1.9913,9.48,11.445,6.9913
9.4509,0.03265,0.43522,9.5152,0.032374,0.38358,1,2.025,9.48,11.445,7.025
9.4583,0.032436,0.43859,9.5222,0.032159,0.38657,1,2.0588,9.48,11.445,7.0588
9.466,0.032011,0.44104,9.5295,0.031721,0.38868,1,2.0925,9.48,11.445,7.0925
9.4738,0.031707,0.4433,9.5368,0.031397,0.39062,1,2.1262,9.48,11.445,7.1262
9.4816,0.031483,0.44557,9.5442,0.031152,0.39256,1,2.16,9.48,11.445,7.16
9.4894,0.031259,0.44784,9.5515,0.030907,0.3945,1,2.1937,9.48,11.445,7.1937
9.4973,0.031035,0.4501,9.5589,0.030662,0.39644,1,2.2275,9.48,11.445,7.2275
9.5051,0.030812,0.45237,9.5662,0.030417,0.39838,1,2.2613,9.48,11.445,7.2613
