"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.9479,9.6459,0.00040033,0.26768,1,0,7.68,11.25,6.845
6.0839,9.6307,0.00042432,0.27725,1,0.10035,7.7804,11.25,6.845
6.2458,9.6125,0.00045688,0.28826,1,0.2007,7.8807,11.25,6.845
6.4077,9.5943,0.00048945,0.29927,1,0.30105,7.9811,11.25,6.845
6.5681,9.5762,0.0005221,0.31036,1,0.4014,8.0814,11.25,6.845
6.7452,9.5561,0.00056631,0.32314,1,0.50175,8.1818,11.25,6.845
6.9328,9.5347,0.00061439,0.33628,1,0.6021,8.2821,11.25,6.845
7.1204,9.5134,0.00066246,0.34943,1,0.70245,8.3825,11.25,6.845
7.3187,9.4905,0.00072657,0.3644,1,0.8028,8.4828,11.25,6.845
7.5342,9.4656,0.00080033,0.38006,1,0.90315,8.5831,11.25,6.845
7.7498,9.4407,0.00087408,0.39573,1,1.0035,8.6835,11.25,6.845
7.9779,9.414,0.00097206,0.41369,1,1.1038,8.7838,11.25,6.845
8.2234,9.385,0.0010823,0.43229,1,1.2042,8.8842,11.25,6.845
8.4629,9.3568,0.0011927,0.45116,1,1.3046,8.9846,11.25,6.845
8.7344,9.324,0.0013493,0.47296,1,1.4049,9.0849,11.25,6.845
9.0114,9.2906,0.0015106,0.49495,1,1.5053,9.1853,11.25,6.845
9.2887,9.2567,0.0016981,0.51862,1,1.6056,9.2856,11.25,6.845
9.5978,9.2182,0.001943,0.5445,1,1.706,9.386,11.25,6.845
9.9003,9.1804,0.0021866,0.57067,1,1.8063,9.4863,11.25,6.845
10.233,9.1374,0.0025455,0.60068,1,1.9067,9.5866,11.25,6.845
10.573,9.0933,0.0029202,0.63098,1,2.007,9.687,11.25,6.845
10.918,9.0466,0.0034079,0.66487,1,2.1073,9.7873,11.25,6.845
11.288,8.9961,0.0039792,0.70013,1,2.2077,9.8877,11.25,6.845
11.654,8.9438,0.0046827,0.73865,1,2.3081,9.9881,11.25,6.845
12.048,8.886,0.0055602,0.77941,1,2.4084,10.088,11.25,6.845
