"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.851,9.6594,0.074638,0.26347,1,0,7.68,12,6.845
5.9879,9.6445,0.077738,0.27266,1,0.10035,7.7804,12,6.845
6.1445,9.6276,0.082214,0.28335,1,0.2007,7.8807,12,6.845
6.3025,9.6105,0.086194,0.29413,1,0.30105,7.9811,12,6.845
6.4615,9.5932,0.08983,0.30497,1,0.4014,8.0814,12,6.845
6.6385,9.5741,0.094771,0.31722,1,0.50175,8.1818,12,6.845
6.8229,9.5542,0.099827,0.33003,1,0.6021,8.2821,12,6.845
7.009,9.534,0.10422,0.34297,1,0.70245,8.3825,12,6.845
7.2123,9.5122,0.10988,0.35727,1,0.8028,8.4828,12,6.845
7.4276,9.4892,0.116,0.37253,1,0.90315,8.5831,12,6.845
7.6447,9.4657,0.12127,0.38793,1,1.0035,8.6835,12,6.845
7.8843,9.4403,0.12818,0.40511,1,1.1038,8.7838,12,6.845
8.1361,9.4136,0.13527,0.42328,1,1.2042,8.8842,12,6.845
8.389,9.3864,0.14155,0.44158,1,1.3046,8.9846,12,6.845
8.679,9.3564,0.15043,0.46271,1,1.4049,9.0849,12,6.845
8.9734,9.3253,0.15827,0.48433,1,1.5053,9.1853,12,6.845
9.284,9.2929,0.16674,0.50718,1,1.6056,9.2856,12,6.845
9.6288,9.2578,0.177,0.53256,1,1.706,9.386,12,6.845
9.9724,9.2219,0.18571,0.55818,1,1.8063,9.4863,12,6.845
10.373,9.1825,0.19778,0.58755,1,1.9067,9.5866,12,6.845
10.776,9.1416,0.20822,0.61766,1,2.007,9.687,12,6.845
11.228,9.0979,0.22096,0.6508,1,2.1073,9.7873,12,6.845
11.705,9.0516,0.23361,0.68606,1,2.2077,9.8877,12,6.845
12.228,9.0025,0.24754,0.7241,1,2.3081,9.9881,12,6.845
12.796,8.9499,0.26228,0.76535,1,2.4084,10.088,12,6.845
13.42,8.8941,0.27809,0.80976,1,2.5088,10.189,12,6.845
14.099,8.8342,0.29463,0.8579,1,2.6091,10.289,12,6.845
14.874,8.7702,0.31312,0.91063,1,2.7095,10.389,12,6.845
15.677,8.7019,0.33101,0.96654,1,2.8098,10.49,12,6.845
16.677,8.6276,0.35292,1.0301,1,2.9102,10.59,12,6.845
17.659,8.5488,0.37257,1.096,1,3.0105,10.691,12,6.845
18.888,8.4622,0.39622,1.1716,1,3.1108,10.791,12,6.845
20.292,8.3694,0.42104,1.2541,1,3.2112,10.891,12,6.845
21.681,8.2695,0.44482,1.3408,1,3.3116,10.992,12,6.845
23.43,8.1579,0.47224,1.4406,1,3.4119,11.092,12,6.845
25.426,8.0436,0.49863,1.5448,1,3.5123,11.192,12,6.845
27.611,7.9174,0.52639,1.6612,1,3.6126,11.293,12,6.845
29.931,7.7746,0.55969,1.7982,1,3.713,11.393,12,6.845
