"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00387e-01,1.07229e+00,2.47591e+01,9.26994e+00,7.91142e+00,-5.04148e-02,1.84172e+00,1,0.00000e+00,7.68000e+00,1.12500e+01,6.84500e+00
1.11934e-01,1.22463e+00,2.39371e+01,9.50271e+00,7.51940e+00,-6.30983e-02,1.91295e+00,1,1.00350e-01,7.78035e+00,1.12500e+01,6.84500e+00
1.23480e-01,1.37697e+00,2.31151e+01,9.73548e+00,7.12737e+00,-7.57817e-02,1.98417e+00,1,2.00700e-01,7.88070e+00,1.12500e+01,6.84500e+00
1.35026e-01,1.52930e+00,2.22931e+01,9.96825e+00,6.73535e+00,-8.84651e-02,2.05539e+00,1,3.01050e-01,7.98105e+00,1.12500e+01,6.84500e+00
1.46573e-01,1.68164e+00,2.14711e+01,1.02010e+01,6.34333e+00,-1.01149e-01,2.12661e+00,1,4.01400e-01,8.08140e+00,1.12500e+01,6.84500e+00
1.58119e-01,1.83397e+00,2.06492e+01,1.04338e+01,5.95130e+00,-1.13832e-01,2.19783e+00,1,5.01750e-01,8.18175e+00,1.12500e+01,6.84500e+00
1.69665e-01,1.98631e+00,1.98272e+01,1.06666e+01,5.55928e+00,-1.26515e-01,2.26905e+00,1,6.02100e-01,8.28210e+00,1.12500e+01,6.84500e+00
1.81211e-01,2.13864e+00,1.90052e+01,1.08993e+01,5.16725e+00,-1.39199e-01,2.34028e+00,1,7.02450e-01,8.38245e+00,1.12500e+01,6.84500e+00
1.92758e-01,2.29098e+00,1.81832e+01,1.11321e+01,4.77523e+00,-1.51882e-01,2.41150e+00,1,8.02800e-01,8.48280e+00,1.12500e+01,6.84500e+00
1.98102e-01,2.36213e+00,1.53079e+01,1.12620e+01,4.46915e+00,-1.54897e-01,2.38194e+00,1,9.03150e-01,8.58315e+00,1.12500e+01,6.84500e+00
1.98050e-01,2.36265e+00,1.06462e+01,1.13025e+01,4.23782e+00,-1.49502e-01,2.26472e+00,1,1.00350e+00,8.68350e+00,1.12500e+01,6.84500e+00
1.97999e-01,2.36317e+00,5.98461e+00,1.13430e+01,4.00651e+00,-1.44106e-01,2.14750e+00,1,1.10385e+00,8.78385e+00,1.12500e+01,6.84500e+00
1.97948e-01,2.36369e+00,1.32295e+00,1.13835e+01,3.77519e+00,-1.38710e-01,2.03027e+00,1,1.20420e+00,8.88420e+00,1.12500e+01,6.84500e+00
