"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00075424,0.0083498,7.4035,11.515,9.529,-0.033563,0.3994,9.5405,-0.032349,0.39232,1,0,4.68,11.055,6.845
0.0007457,0.0082191,7.6324,11.419,9.5082,-0.035665,0.42031,9.5209,-0.034277,0.41318,1,0.10035,4.7804,11.055,6.845
0.00073716,0.0080884,7.8614,11.322,9.4875,-0.037768,0.44121,9.5012,-0.036205,0.43404,1,0.2007,4.8807,11.055,6.845
0.00072862,0.0079578,8.0903,11.225,9.4667,-0.039873,0.46211,9.4815,-0.038134,0.45491,1,0.30105,4.9811,11.055,6.845
0.00072008,0.0078271,8.3193,11.129,9.4459,-0.041978,0.48301,9.4619,-0.040064,0.47577,1,0.4014,5.0814,11.055,6.845
0.00071154,0.0076965,8.5483,11.032,9.4251,-0.044084,0.50391,9.4422,-0.041995,0.49664,1,0.50175,5.1817,11.055,6.845
0.00070301,0.0075659,8.7772,10.935,9.4043,-0.046191,0.52482,9.4225,-0.043927,0.5175,1,0.6021,5.2821,11.055,6.845
0.00069447,0.0074353,9.0062,10.838,9.3835,-0.0483,0.54572,9.4028,-0.04586,0.53836,1,0.70245,5.3825,11.055,6.845
0.00068594,0.0073047,9.2352,10.742,9.3627,-0.050409,0.56662,9.3832,-0.047794,0.55923,1,0.8028,5.4828,11.055,6.845
0.00074548,0.0076813,9.4506,10.645,9.3285,-0.052712,0.58868,9.3503,-0.04986,0.58118,1,0.90315,5.5831,11.055,6.845
0.0010521,0.0098986,9.6171,10.547,9.2457,-0.055719,0.61496,9.2698,-0.052402,0.60708,1,1.0035,5.6835,11.054,6.845
0.0013587,0.012116,9.7836,10.45,9.1629,-0.058726,0.64123,9.1892,-0.054946,0.63299,1,1.1039,5.7839,11.054,6.845
0.0016653,0.014333,9.9502,10.352,9.0801,-0.061735,0.6675,9.1086,-0.05749,0.65889,1,1.2042,5.8842,11.054,6.845
0.0019719,0.01655,10.117,10.255,8.9974,-0.064746,0.69377,9.0281,-0.060037,0.68479,1,1.3046,5.9845,11.054,6.845
0.0022785,0.018767,10.283,10.157,8.9146,-0.067758,0.72005,8.9475,-0.062584,0.7107,1,1.4049,6.0849,11.054,6.845
0.0025851,0.020985,10.45,10.06,8.8318,-0.070772,0.74632,8.867,-0.065132,0.7366,1,1.5053,6.1852,11.054,6.845
0.0028916,0.023202,10.617,9.962,8.749,-0.073787,0.77259,8.7864,-0.067682,0.76251,1,1.6056,6.2856,11.054,6.845
