"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,10,0,0,1,0,7.68,11.25,6.845
0,10,0,0,1,0.10035,7.7804,11.25,6.845
0,10,0,0,1,0.2007,7.8807,11.25,6.845
0,10,0,0,1,0.30105,7.9811,11.25,6.845
0,10,0,0,1,0.4014,8.0814,11.25,6.845
0,10,0,0,1,0.50175,8.1818,11.25,6.845
0,10,0,0,1,0.6021,8.2821,11.25,6.845
0,10,0,0,1,0.70245,8.3825,11.25,6.845
0,10,0,0,1,0.8028,8.4828,11.25,6.845
0,10,0,0,1,0.90315,8.5831,11.25,6.845
0,10,0,0,1,1.0035,8.6835,11.25,6.845
0,10,0,0,1,1.1038,8.7838,11.25,6.845
0,10,0,0,1,1.2042,8.8842,11.25,6.845
0,10,0,0,1,1.3046,8.9846,11.25,6.845
0,10,0,0,1,1.4049,9.0849,11.25,6.845
0,10,0,0,1,1.5053,9.1853,11.25,6.845
0,10,0,0,1,1.6056,9.2856,11.25,6.845
0,10,0,0,1,1.706,9.386,11.25,6.845
0,10,0,0,1,1.8063,9.4863,11.25,6.845
0,10,0,0,1,1.9067,9.5866,11.25,6.845
0,10,0,0,1,2.007,9.687,11.25,6.845
0,10,0,0,1,2.1073,9.7873,11.25,6.845
0,10,0,0,1,2.2077,9.8877,11.25,6.845
0,10,0,0,1,2.3081,9.9881,11.25,6.845
0,10,0,0,1,2.4084,10.088,11.25,6.845
0,10,0,0,1,2.5088,10.189,11.25,6.845
0,10,0,0,1,2.6091,10.289,11.25,6.845
0,10,0,0,1,2.7095,10.389,11.25,6.845
0,10,0,0,1,2.8098,10.49,11.25,6.845
0,10,0,0,1,2.9102,10.59,11.25,6.845
0,10,0,0,1,3.0105,10.691,11.25,6.845
0,10,0,0,1,3.1108,10.791,11.25,6.845
0,10,0,0,1,3.2112,10.891,11.25,6.845
0,10,0,0,1,3.3116,10.992,11.25,6.845
0,10,0,0,1,3.4119,11.092,11.25,6.845
0,10,0,0,1,3.5123,11.192,11.25,6.845
0,10,0,0,1,3.6126,11.293,11.25,6.845
0,10,0,0,1,3.713,11.393,11.25,6.845
0,10,0,0,1,3.8133,11.493,11.25,6.845
0,10,0,0,1,3.9137,11.594,11.25,6.845
0,10,0,0,1,4.014,11.694,11.25,6.845
0,10,0,0,1,4.1143,11.794,11.25,6.845
0,10,0,0,1,4.2147,11.895,11.25,6.845
0,10,0,0,1,4.3151,11.995,11.25,6.845
0,10,0,0,1,4.4154,12.095,11.25,6.845
0,10,0,0,1,4.5158,12.196,11.25,6.845
0,10,0,0,1,4.6161,12.296,11.25,6.845
0,10,0,0,1,4.7165,12.396,11.25,6.845
0,10,0,0,1,4.8168,12.497,11.25,6.845
0,10,0,0,1,4.9172,12.597,11.25,6.845
0,10,0,0,1,5.0175,12.698,11.25,6.845
0,10,0,0,1,5.1178,12.798,11.25,6.845
0,10,0,0,1,5.2182,12.898,11.25,6.845
0,10,0,0,1,5.3186,12.999,11.25,6.845
0,10,0,0,1,5.4189,13.099,11.25,6.845
0,10,0,0,1,5.5193,13.199,11.25,6.845
0,10,0,0,1,5.6196,13.3,11.25,6.845
0,10,0,0,1,5.72,13.4,11.25,6.845
0,10,0,0,1,5.8203,13.5,11.25,6.845
0,10,0,0,1,5.9207,13.601,11.25,6.845
0,10,0,0,1,6.021,13.701,11.25,6.845
0,10,0,0,1,6.1213,13.801,11.25,6.845
0,10,0,0,1,6.2217,13.902,11.25,6.845
0,10,0,0,1,6.3221,14.002,11.25,6.845
0,10,0,0,1,6.4224,14.102,11.25,6.845
0,10,0,0,1,6.5228,14.203,11.25,6.845
0,10,0,0,1,6.6231,14.303,11.25,6.845
0,10,0,0,1,6.7235,14.403,11.25,6.845
0,10,0,0,1,6.8238,14.504,11.25,6.845
0,10,0,0,1,6.9241,14.604,11.25,6.845
0,10,0,0,1,7.0245,14.705,11.25,6.845
0,10,0,0,1,7.1248,14.805,11.25,6.845
0,10,0,0,1,7.2252,14.905,11.25,6.845
0,10,0,0,1,7.3256,15.006,11.25,6.845
0,10,0,0,1,7.4259,15.106,11.25,6.845
0,10,0,0,1,7.5263,15.206,11.25,6.845
0,10,0,0,1,7.6266,15.307,11.25,6.845
0,10,0,0,1,7.727,15.407,11.25,6.845
0,10,0,0,1,7.8273,15.507,11.25,6.845
0,10,0,0,1,7.9276,15.608,11.25,6.845
0,10,0,0,1,8.028,15.708,11.25,6.845
0,10,0,0,1,8.1283,15.808,11.25,6.845
0,10,0,0,1,8.2287,15.909,11.25,6.845
0,10,0,0,1,8.3291,16.009,11.25,6.845
0,10,0,0,1,8.4294,16.109,11.25,6.845
0,10,0,0,1,8.5297,16.21,11.25,6.845
0,10,0,0,1,8.6301,16.31,11.25,6.845
0,10,0,0,1,8.7304,16.41,11.25,6.845
0,10,0,0,1,8.8308,16.511,11.25,6.845
0,10,0,0,1,8.9312,16.611,11.25,6.845
0,10,0,0,1,9.0315,16.712,11.25,6.845
0,10,0,0,1,9.1318,16.812,11.25,6.845
0,10,0,0,1,9.2322,16.912,11.25,6.845
0,10,0,0,1,9.3326,17.013,11.25,6.845
0,10,0,0,1,9.4329,17.113,11.25,6.845
0,10,0,0,1,9.5332,17.213,11.25,6.845
0,10,0,0,1,9.6336,17.314,11.25,6.845
0,10,0,0,1,9.7339,17.414,11.25,6.845
0,10,0,0,1,9.8343,17.514,11.25,6.845
0,10,0,0,1,9.9347,17.615,11.25,6.845
0,10,0,0,1,10.035,17.715,11.25,6.845
