"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1145,9.9394,-0.00017422,0.055453,1,0,7.68,11.25,6.845
1.1456,9.9354,-0.00019294,0.057709,1,0.10035,7.7804,11.25,6.845
1.1768,9.9314,-0.00021165,0.059966,1,0.2007,7.8807,11.25,6.845
1.208,9.9274,-0.00023036,0.062222,1,0.30105,7.9811,11.25,6.845
1.2367,9.9238,-0.00024858,0.064646,1,0.4014,8.0814,11.25,6.845
1.2629,9.9206,-0.00026628,0.067244,1,0.50175,8.1818,11.25,6.845
1.2891,9.9175,-0.00028399,0.069841,1,0.6021,8.2821,11.25,6.845
1.3153,9.9143,-0.00030169,0.072439,1,0.70245,8.3825,11.25,6.845
1.3415,9.9111,-0.00031939,0.075036,1,0.8028,8.4828,11.25,6.845
1.383,9.9061,-0.00036235,0.078271,1,0.90315,8.5831,11.25,6.845
1.4378,9.8995,-0.00042728,0.08206,1,1.0035,8.6835,11.25,6.845
1.4927,9.8929,-0.00049222,0.08585,1,1.1038,8.7838,11.25,6.845
1.5475,9.8863,-0.00055715,0.089639,1,1.2042,8.8842,11.25,6.845
1.5925,9.8813,-0.00061106,0.09407,1,1.3046,8.9846,11.25,6.845
1.6368,9.8764,-0.00066418,0.098548,1,1.4049,9.0849,11.25,6.845
1.6811,9.8715,-0.0007173,0.10303,1,1.5053,9.1853,11.25,6.845
1.7253,9.8666,-0.00077042,0.1075,1,1.6056,9.2856,11.25,6.845
1.7951,9.8591,-0.00089867,0.11278,1,1.706,9.386,11.25,6.845
1.8984,9.8481,-0.0011262,0.11912,1,1.8063,9.4863,11.25,6.845
2.0017,9.8371,-0.0013538,0.12546,1,1.9067,9.5866,11.25,6.845
2.1011,9.8266,-0.0015689,0.13207,1,2.007,9.687,11.25,6.845
2.18,9.8192,-0.0017185,0.14011,1,2.1073,9.7873,11.25,6.845
2.2588,9.8117,-0.001868,0.14816,1,2.2077,9.8877,11.25,6.845
2.3377,9.8042,-0.0020175,0.15621,1,2.3081,9.9881,11.25,6.845
2.4249,9.7954,-0.0022002,0.16441,1,2.4084,10.088,11.25,6.845
2.6203,9.7696,-0.0028111,0.17467,1,2.5088,10.189,11.25,6.845
2.8158,9.7437,-0.0034221,0.18493,1,2.6091,10.289,11.25,6.845
3.0053,9.7189,-0.0039979,0.19566,1,2.7095,10.389,11.25,6.845
3.1431,9.7036,-0.0042643,0.2105,1,2.8098,10.49,11.25,6.845
3.2809,9.6883,-0.0045306,0.22534,1,2.9102,10.59,11.25,6.845
3.4187,9.6731,-0.0047969,0.24018,1,3.0105,10.691,11.25,6.845
3.7102,9.6631,-0.0058338,0.25684,1,3.1108,10.791,11.25,6.845
4.2429,9.6616,-0.0080789,0.27634,1,3.2112,10.891,11.25,6.845
4.7756,9.6601,-0.010324,0.29585,1,3.3116,10.992,11.25,6.845
5.156,9.6607,-0.011258,0.32675,1,3.4119,11.092,11.25,6.845
5.4687,9.6624,-0.01161,0.36272,1,3.5123,11.192,11.25,6.845
5.7815,9.664,-0.011962,0.39869,1,3.6126,11.293,11.25,6.845
5.95,9.6188,-0.0044895,0.42778,1,3.713,11.393,11.25,6.845
5.8139,9.475,0.019499,0.44235,1,3.8133,11.493,11.25,6.845
5.6778,9.3312,0.043487,0.45693,1,3.9137,11.594,11.25,6.845
5.5327,9.2504,0.056719,0.48181,1,4.014,11.694,11.25,6.845
5.3861,9.1789,0.068381,0.5082,1,4.1143,11.794,11.25,6.845
5.2396,9.1073,0.080042,0.53458,1,4.2147,11.895,11.25,6.845
3.799,9.0237,0.10357,0.52914,1,4.3151,11.995,11.25,6.845
2.0579,8.9373,0.12986,0.5163,1,4.4154,12.095,11.25,6.845
0.67212,8.8772,0.14785,0.4942,1,4.5158,12.196,11.25,6.845
-0.46448,8.8354,0.16003,0.46559,1,4.6161,12.296,11.25,6.845
-1.6011,8.7936,0.1722,0.43699,1,4.7165,12.396,11.25,6.845
-2.6451,8.8389,0.17411,0.41238,1,4.8168,12.497,11.25,6.845
-3.6671,8.905,0.17358,0.38873,1,4.9172,12.597,11.25,6.845
-4.4422,8.9472,0.17427,0.35128,1,5.0175,12.698,11.25,6.845
-5.1513,8.983,0.1753,0.31014,1,5.1178,12.798,11.25,6.845
-5.5341,8.9984,0.17571,0.27589,1,5.2182,12.898,11.25,6.845
-5.0112,8.9573,0.17443,0.26077,1,5.3186,12.999,11.25,6.845
-4.5995,8.9225,0.17406,0.24385,1,5.4189,13.099,11.25,6.845
-4.3346,8.8961,0.17488,0.22456,1,5.5193,13.199,11.25,6.845
-4.0407,8.8703,0.1752,0.20662,1,5.6196,13.3,11.25,6.845
-3.5677,8.8475,0.17248,0.19705,1,5.72,13.4,11.25,6.845
-3.1753,8.8275,0.17058,0.18645,1,5.8203,13.5,11.25,6.845
-2.8721,8.8105,0.16959,0.17472,1,5.9207,13.601,11.25,6.845
-2.6019,8.7957,0.16856,0.16487,1,6.021,13.701,11.25,6.845
-2.3825,8.7843,0.16747,0.15791,1,6.1213,13.801,11.25,6.845
-2.2172,8.7741,0.16699,0.14931,1,6.2217,13.902,11.25,6.845
-2.0593,8.764,0.16659,0.14049,1,6.3221,14.002,11.25,6.845
