"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.4127,9.7331,0.00019046,0.20532,1,0,7.68,11.25,6.845
4.5089,9.7216,0.00020448,0.21273,1,0.10035,7.7804,11.25,6.845
4.6239,9.7077,0.0002235,0.22127,1,0.2007,7.8807,11.25,6.845
4.7388,9.6938,0.00024252,0.22982,1,0.30105,7.9811,11.25,6.845
4.8526,9.6801,0.0002617,0.23842,1,0.4014,8.0814,11.25,6.845
4.9784,9.6648,0.00028858,0.24836,1,0.50175,8.1818,11.25,6.845
5.1118,9.6485,0.00031776,0.2586,1,0.6021,8.2821,11.25,6.845
5.2452,9.6323,0.00034694,0.26884,1,0.70245,8.3825,11.25,6.845
5.3862,9.6149,0.00038526,0.28052,1,0.8028,8.4828,11.25,6.845
5.5398,9.5959,0.00042925,0.29275,1,0.90315,8.5831,11.25,6.845
5.6935,9.577,0.00047325,0.30499,1,1.0035,8.6835,11.25,6.845
5.8563,9.5566,0.00053121,0.31904,1,1.1038,8.7838,11.25,6.845
6.0318,9.5346,0.0005962,0.33362,1,1.2042,8.8842,11.25,6.845
6.2029,9.5131,0.0006612,0.3484,1,1.3046,8.9846,11.25,6.845
6.3976,9.4881,0.00075838,0.36552,1,1.4049,9.0849,11.25,6.845
6.5964,9.4627,0.00085881,0.38281,1,1.5053,9.1853,11.25,6.845
6.7955,9.4368,0.0009765,0.40142,1,1.6056,9.2856,11.25,6.845
7.0185,9.4075,0.0011316,0.42183,1,1.706,9.386,11.25,6.845
7.2366,9.3788,0.0012859,0.44245,1,1.8063,9.4863,11.25,6.845
7.4775,9.3461,0.0015122,0.46616,1,1.9067,9.5866,11.25,6.845
7.7248,9.3124,0.0017482,0.49012,1,2.007,9.687,11.25,6.845
7.9763,9.277,0.0020622,0.51693,1,2.1073,9.7873,11.25,6.845
8.2468,9.2385,0.0024306,0.54489,1,2.2077,9.8877,11.25,6.845
8.5155,9.1989,0.0028918,0.57543,1,2.3081,9.9881,11.25,6.845
8.8063,9.155,0.0034695,0.60783,1,2.4084,10.088,11.25,6.845
9.091,9.1098,0.0041838,0.64308,1,2.5088,10.189,11.25,6.845
9.3962,9.0597,0.0050843,0.68035,1,2.6091,10.289,11.25,6.845
9.6899,9.0074,0.0062561,0.7214,1,2.7095,10.389,11.25,6.845
9.9996,8.9504,0.0076669,0.76393,1,2.8098,10.49,11.25,6.845
10.285,8.8889,0.0096679,0.81188,1,2.9102,10.59,11.25,6.845
10.564,8.8247,0.011957,0.86201,1,3.0105,10.691,11.25,6.845
10.829,8.7504,0.015329,0.91578,1,3.1108,10.791,11.25,6.845
11.041,8.672,0.019582,0.97447,1,3.2112,10.891,11.25,6.845
11.216,8.5876,0.024762,1.0367,1,3.3116,10.992,11.25,6.845
11.311,8.4875,0.032312,1.1012,1,3.4119,11.092,11.25,6.845
11.303,8.3847,0.041281,1.1679,1,3.5123,11.192,11.25,6.845
11.19,8.2671,0.053286,1.2394,1,3.6126,11.293,11.25,6.845
10.883,8.1252,0.070533,1.3192,1,3.713,11.393,11.25,6.845
10.322,7.9655,0.09246,1.4022,1,3.8133,11.493,11.25,6.845
9.4727,7.7774,0.11973,1.4861,1,3.9137,11.594,11.25,6.845
8.3253,7.5569,0.15479,1.5693,1,4.014,11.694,11.25,6.845
6.8973,7.3177,0.20055,1.6491,1,4.1143,11.794,11.25,6.845
5.2838,7.0221,0.24378,1.7164,1,4.2147,11.895,11.25,6.845
3.5319,6.5646,0.23148,1.7396,1,4.3151,11.995,11.25,6.845
1.3935,6.126,0.12608,1.6782,1,4.4154,12.095,11.25,6.845
-0.97422,5.8449,0.037498,1.5638,1,4.5158,12.196,11.25,6.845
-2.9147,5.5302,0.040767,1.4109,1,4.6161,12.296,11.25,6.845
